ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
WP_253478286.1@GCF_024138125.1	TAT(Tat/SPI)	0.006510	0.992705	0.000110	0.000675	CS pos: 34-35. AAA-EG. Pr: 0.6020
WP_248907559.1@GCF_023276375.1	TAT(Tat/SPI)	0.014559	0.877000	0.001007	0.107434	CS pos: 36-37. SRA-TG. Pr: 0.5909
NZ_JAAMTH010000001.1_3313@GCF_018283455.1	SP(Sec/SPI)	0.988035	0.004176	0.005332	0.002457	CS pos: 32-33. VNA-ET. Pr: 0.6415
WP_048057428.1@GCF_000204925.1	OTHER	0.000497	0.000064	0.000055	0.999383	
NZ_LR134263.1_321@GCF_900636325.1	OTHER	0.006459	0.000332	0.000145	0.993065	
WP_110516892.1@GCF_003226345.1	SP(Sec/SPI)	0.984426	0.000793	0.012843	0.001937	CS pos: 31-32. IMA-QD. Pr: 0.7305
NZ_NTUP01000066.1_457@GCF_002561455.1	SP(Sec/SPI)	0.991917	0.002242	0.004488	0.001354	CS pos: 31-32. AGA-EE. Pr: 0.8804
NZ_VSLZ01000004.1_181@GCF_010747475.1	OTHER	0.001231	0.000293	0.000059	0.998418	
WP_195156013.1@GCF_000334895.1	OTHER	0.023683	0.007680	0.012565	0.956072	
WP_081597641.1@GCF_000230735.2	OTHER	0.016165	0.001404	0.001076	0.981356	
AOIR01000038.1_26@GCA_000337115.1	TAT(Tat/SPI)	0.003211	0.981552	0.000678	0.014558	CS pos: 44-45. SQS-DT. Pr: 0.3424
NZ_AJLF01000002.1_27@GCF_000258515.1	SP(Sec/SPI)	0.979547	0.012093	0.004142	0.004218	CS pos: 29-30. AMA-MG. Pr: 0.7366
WP_012943185.1@GCF_000025325.1	TAT(Tat/SPI)	0.004796	0.984372	0.000879	0.009953	CS pos: 37-38. AGS-VG. Pr: 0.2515
NZ_CP102602.1_1598@GCF_024707485.1	SP(Sec/SPI)	0.988368	0.006696	0.001624	0.003312	CS pos: 29-30. AMA-MS. Pr: 0.8849
WP_049926653.1@GCF_000455345.1	TAT(Tat/SPI)	0.002114	0.982689	0.000161	0.015037	CS pos: 40-41. VSA-ER. Pr: 0.7117
WP_228090750.1@GCF_019710475.1	SP(Sec/SPI)	0.985302	0.000260	0.014255	0.000184	CS pos: 23-24. AQA-GP. Pr: 0.7910
NZ_JRNX01000089.1_3@GCF_000786645.1	OTHER	0.003129	0.000310	0.000170	0.996392	
WP_012945653.1@GCF_000025325.1	TAT(Tat/SPI)	0.002434	0.966543	0.000310	0.030712	CS pos: 36-37. ASA-SR. Pr: 0.4784
WP_008634360.1@GCF_000469135.2	SP(Sec/SPI)	0.960974	0.004951	0.028719	0.005357	CS pos: 32-33. VTA-HS. Pr: 0.5862
NZ_JAAMTH010000001.1_858@GCF_018283455.1	SP(Sec/SPI)	0.989448	0.006595	0.003019	0.000939	CS pos: 32-33. AQA-EG. Pr: 0.6330
NOK57773.1@GCA_013122435.1	OTHER	0.001058	0.000110	0.000114	0.998718	
WP_006092146.1@GCF_000383975.1	TAT(Tat/SPI)	0.000827	0.997228	0.000111	0.001834	CS pos: 46-47. VSA-AQ. Pr: 0.5339
WP_014788716.1@GCF_000265525.1	SP(Sec/SPI)	0.988505	0.006196	0.002262	0.003036	CS pos: 29-30. AMA-MS. Pr: 0.8751
NZ_CP084472.1_3305@GCF_020405225.1	TAT(Tat/SPI)	0.006904	0.992252	0.000169	0.000674	CS pos: 38-39. VAA-ED. Pr: 0.8472
WP_009762310.1@GCF_000230955.2	OTHER	0.002114	0.001252	0.000272	0.996362	
WP_161606962.1@GCF_000336935.1	TAT(Tat/SPI)	0.002178	0.995224	0.000128	0.002469	CS pos: 47-48. ASA-KT. Pr: 0.8871
WP_008479858.1@GCF_000297255.1	OTHER	0.023361	0.012399	0.000580	0.963660	
WP_136361702.1@GCF_008124605.1	OTHER	0.092299	0.005390	0.002630	0.899681	
ELZ16389.1@GCA_000337115.1	OTHER	0.000635	0.000147	0.000054	0.999164	
WP_231186491.1@GCF_021083305.1	TAT(Tat/SPI)	0.005085	0.698633	0.000386	0.295896	CS pos: 66-67. ALA-ST. Pr: 0.6132
WP_002456424.1@GCF_006742205.1	SP(Sec/SPI)	0.899921	0.000831	0.098182	0.001066	CS pos: 28-29. VNA-AN. Pr: 0.8127
WP_238538535.1@GCF_000297255.1	OTHER	0.095556	0.002660	0.001803	0.899981	
WP_206536420.1@GCF_000336955.1	TAT(Tat/SPI)	0.006761	0.990902	0.000259	0.002078	CS pos: 34-35. AAA-KG. Pr: 0.5881
CP002989.1_262@GCA_000224475.1	OTHER	0.002114	0.001252	0.000272	0.996362	
NZ_JAIEZV010000002.1_369@GCF_019599545.1	SP(Sec/SPI)	0.989238	0.003680	0.003566	0.003516	CS pos: 31-32. VLA-HG. Pr: 0.8224
WP_148690163.1@GCF_900083515.1	OTHER	0.000645	0.000349	0.000046	0.998960	
WP_164731977.1@GCF_000023965.1	TAT(Tat/SPI)	0.037064	0.868741	0.000788	0.093408	CS pos: 65-66. AQA-NP. Pr: 0.7659
WP_052722646.1@GCF_000969965.1	SP(Sec/SPI)	0.823458	0.006180	0.168580	0.001783	CS pos: 30-31. AIA-CP. Pr: 0.8294
NZ_CP035119.1_2349@GCF_004087835.1	TAT(Tat/SPI)	0.003760	0.992273	0.000161	0.003806	CS pos: 34-35. AAA-DG. Pr: 0.7670
WP_016202224.1@GCF_012933555.1	OTHER	0.000420	0.000068	0.000040	0.999473	
CALUAK010000087.1_2@GCA_943914015.1	OTHER	0.002033	0.006180	0.000412	0.991375	
WP_153552385.1@GCF_009617995.1	SP(Sec/SPI)	0.822630	0.074482	0.001795	0.101094	CS pos: 22-23. AVA-AD. Pr: 0.6716
WP_124193256.1@GCF_003841465.1	OTHER	0.001384	0.001801	0.000179	0.996636	
NZ_FNCA01000005.1_84@GCF_900100715.1	SP(Sec/SPI)	0.904101	0.003495	0.076539	0.015864	CS pos: 33-34. TLA-CP. Pr: 0.8971
WP_015299009.1@GCF_000230735.2	TAT(Tat/SPI)	0.007928	0.916446	0.002297	0.073330	CS pos: 40-41. VGS-RT. Pr: 0.3127
NZ_CP058601.1_2716@GCF_013402815.2	TAT(Tat/SPI)	0.004070	0.991474	0.000359	0.004096	CS pos: 38-39. SSA-SH. Pr: 0.5450
NZ_PPPX01000001.1_513@GCF_002902305.1	SP(Sec/SPI)	0.847230	0.004212	0.148012	0.000546	CS pos: 28-29. ANA-ST. Pr: 0.8004
NZ_PPQH01000083.1_2@GCF_002902385.1	OTHER	0.002898	0.001057	0.000550	0.995494	
WP_135852295.1@GCF_004765815.2	TAT(Tat/SPI)	0.000313	0.998806	0.000069	0.000811	CS pos: 43-44. AAA-KT. Pr: 0.8238
WP_202932656.1@GCF_004765815.2	TAT(Tat/SPI)	0.002159	0.997298	0.000080	0.000462	CS pos: 34-35. AAA-EG. Pr: 0.6025
NZ_AP017570.1_62@GCF_002355655.1	TAT(Tat/SPI)	0.002162	0.955800	0.000388	0.041650	CS pos: 53-54. AAG-SK. Pr: 0.2532
NZ_CP068159.1_483@GCF_016728505.1	SP(Sec/SPI)	0.916331	0.057496	0.001071	0.025103	CS pos: 35-36. ANA-EE. Pr: 0.9597
WP_083864503.1@GCF_000337615.1	TAT(Tat/SPI)	0.007928	0.916446	0.002297	0.073330	CS pos: 40-41. VGS-RT. Pr: 0.3127
WP_091587091.1@GCF_002886255.1	SP(Sec/SPI)	0.990544	0.003611	0.003519	0.002326	CS pos: 29-30. SVA-GE. Pr: 0.4340
WP_139025500.1@GCF_000376445.1	TAT(Tat/SPI)	0.016782	0.978913	0.002991	0.001313	CS pos: 37-38. GSA-KP. Pr: 0.6293
NZ_LMVP01000201.1_31@GCF_002287235.1	OTHER	0.000984	0.000499	0.000061	0.998456	
WP_015298689.1@GCF_000230735.2	TAT(Tat/SPI)	0.002165	0.992439	0.000525	0.004870	CS pos: 38-39. GSA-TG. Pr: 0.3970
WP_015299281.1@GCF_000230735.2	TAT(Tat/SPI)	0.002496	0.905849	0.000238	0.091417	CS pos: 53-54. SRA-EE. Pr: 0.5054
ATMD01000005.1_21@GCA_001856825.1	OTHER	0.000580	0.000104	0.000047	0.999270	
WP_083870254.1@GCF_000337495.1	TAT(Tat/SPI)	0.012185	0.985461	0.000131	0.002223	CS pos: 37-38. AEA-VE. Pr: 0.5428
NZ_CP013659.2_504@GCF_001465795.2	SP(Sec/SPI)	0.989448	0.006595	0.003019	0.000939	CS pos: 32-33. AQA-EG. Pr: 0.6330
WP_082837828.1@GCF_001625445.1	TAT(Tat/SPI)	0.000453	0.998903	0.000090	0.000554	CS pos: 43-44. AKA-QS. Pr: 0.8452
WP_202935063.1@GCF_004143485.2	TAT(Tat/SPI)	0.002424	0.996964	0.000088	0.000525	CS pos: 34-35. AAA-EG. Pr: 0.6345
NZ_CP058601.1_2884@GCF_013402815.2	TAT(Tat/SPI)	0.042460	0.954871	0.000298	0.002371	CS pos: 37-38. ASA-EQ. Pr: 0.9409
WP_004043226.1@GCF_000025685.1	TAT(Tat/SPI)	0.028277	0.961548	0.000197	0.009978	CS pos: 46-47. AVA-AE. Pr: 0.5610
NZ_BIXZ01000012.1_61@GCF_005406125.1	TAT(Tat/SPI)	0.013364	0.971112	0.000418	0.015105	CS pos: 32-33. AAA-LE. Pr: 0.8422
WP_241432498.1@GCF_000337175.1	OTHER	0.067620	0.013123	0.000494	0.918763	
NZ_CP035119.1_1595@GCF_004087835.1	TAT(Tat/SPI)	0.000772	0.998862	0.000063	0.000304	CS pos: 34-35. AAA-EG. Pr: 0.7478
WP_174682227.1@GCF_013342145.1	TAT(Tat/SPI)	0.004451	0.994847	0.000081	0.000621	CS pos: 37-38. AEA-VD. Pr: 0.5305
OAQ51225.1@GCA_000690595.2	OTHER	0.167548	0.003738	0.002829	0.825885	
