#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WP_007110067.1@GCF_000731985.1    -            280 ABC2_membrane_3      PF12698.14   347   8.8e-10   31.8  14.0   1   1   1.7e-11   8.8e-10   31.8  14.0   167   346    66   272    58   273 0.76 -
WP_008456175.1@GCF_000337175.1    -            349 ABC_tran             PF00005.34   137   2.5e-38  125.5   0.0   1   1   2.5e-39   4.2e-38  124.7   0.0     1   136    23   166    23   167 0.98 -
WP_007110053.1@GCF_000731985.1    -            349 ABC_tran             PF00005.34   137   3.6e-38  124.9   0.0   1   1   3.6e-39     6e-38  124.2   0.0     1   136    23   166    23   167 0.98 -
WP_006183086.1@GCF_000230735.2    -            345 ABC_tran             PF00005.34   137   5.4e-38  124.4   0.0   1   1   5.5e-39   9.3e-38  123.6   0.0     1   136    19   162    19   163 0.98 -
WP_006183075.1@GCF_000230735.2    -            249 ABC_tran             PF00005.34   137   2.7e-36  118.8   0.0   1   1   2.2e-37   3.7e-36  118.4   0.0     1   136    26   174    26   175 0.95 -
WP_007110064.1@GCF_000731985.1    -            268 ABC_tran             PF00005.34   137   3.6e-36  118.4   0.0   1   1   2.9e-37     5e-36  118.0   0.0     1   136    25   173    25   174 0.96 -
WP_008456194.1@GCF_000337175.1    -            268 ABC_tran             PF00005.34   137   6.4e-36  117.7   0.0   1   1   5.1e-37   8.6e-36  117.2   0.0     1   136    25   173    25   174 0.96 -
WP_110516875.1@GCF_003226345.1    -            280 ABC_tran             PF00005.34   137   4.7e-35  114.8   0.0   1   1   4.4e-36   7.4e-35  114.2   0.0     2   137    20   168    19   168 0.97 -
WP_008456196.1@GCF_000337175.1    -            312 ABC_tran             PF00005.34   137     2e-30   99.9   0.0   1   1   1.7e-31   2.9e-30   99.3   0.0     1   136    19   157    19   158 0.97 -
WP_007110066.1@GCF_000731985.1    -            312 ABC_tran             PF00005.34   137   3.3e-30   99.1   0.0   1   1     3e-31     5e-30   98.6   0.0     1   136    19   157    19   158 0.97 -
WP_004043237.1@GCF_000025685.1    -            251 ABC_tran             PF00005.34   137   1.7e-29   96.8   0.0   1   1   1.4e-30   2.3e-29   96.4   0.0     2   136    24   161    23   162 0.96 -
WP_015299278.1@GCF_000230735.2    -            313 ABC_tran             PF00005.34   137   7.8e-29   94.7   0.0   1   1   6.8e-30   1.1e-28   94.2   0.0     1   136    19   158    19   159 0.94 -
NZ_LR134263.1_331@GCF_900636325.1 -            259 ABC_tran             PF00005.34   137     7e-27   88.4   0.0   1   1   7.3e-28   1.2e-26   87.6   0.0     2   137    21   173    20   173 0.90 -
WP_082233105.1@GCF_900166625.1 -            310 ABhydrolase-like_N   PF22316.3    106   2.8e-09   30.5   0.0   1   1   8.5e-11   1.7e-08   28.0   0.0     5   103     7   104     3   109 0.91 -
WP_058381512.1@GCF_001465795.2 -            252 Abhydrolase_1        PF00561.27   245   2.3e-10   34.2   0.2   1   1   2.1e-10   4.2e-08   26.7   0.3    71   110   124   161   122   168 0.85 -
WP_058381512.1@GCF_001465795.2 -            252 Abhydrolase_11       PF20408.5    193   1.1e-10   35.2   0.0   1   1   1.4e-12   2.9e-10   33.8   0.0    72   169   118   211    73   237 0.80 -
WP_058381512.1@GCF_001465795.2 -            252 Abhydrolase_5        PF12695.14   164   3.2e-52  170.3   0.1   1   1     2e-54   4.1e-52  169.9   0.1     1   164    67   231    67   231 0.98 -
WP_001829811.1@GCF_006742205.1 -            167 ABM                  PF03992.23    78   5.1e-07   23.5   0.0   1   1   4.1e-09   8.4e-07   22.8   0.0     6    72    70   134    66   138 0.89 -
WP_082233108.1@GCF_900166625.1 -            153 Acetyltransf_1       PF00583.32   116   3.7e-21   69.3   0.0   1   1   9.8e-23   4.9e-21   68.9   0.0     5   116    17   129    13   129 0.84 -
WP_110516879.1@GCF_003226345.1 -            141 Acetyltransf_1       PF00583.32   116   2.2e-16   53.8   0.1   1   1   5.4e-18   2.7e-16   53.6   0.1    10   116    23   129     9   129 0.79 -
WP_103370999.1@GCF_002902305.1 -            195 Acetyltransf_1       PF00583.32   116   1.5e-15   51.2   0.1   1   1   7.8e-17     4e-15   49.8   0.1    23   116    48   164    26   164 0.87 -
WP_110516881.1@GCF_003226345.1 -            272 Acetyltransf_1       PF00583.32   116   1.2e-10   35.4   0.0   1   1   4.8e-12   2.4e-10   34.4   0.0    28   116   174   258   142   258 0.84 -
WP_082233108.1@GCF_900166625.1 -            153 Acetyltransf_10      PF13673.14   127   2.7e-11   37.3   0.0   1   1   6.5e-13   4.4e-11   36.6   0.0    28   111    43   134     4   142 0.83 -
WP_110516879.1@GCF_003226345.1 -            141 Acetyltransf_10      PF13673.14   127   1.5e-08   28.4   0.0   1   1     3e-10     2e-08   28.0   0.0    27   103    39   125    12   137 0.82 -
WP_103370999.1@GCF_002902305.1 -            195 Acetyltransf_10      PF13673.14   127   1.7e-07   25.0   0.0   1   1   4.5e-09     3e-07   24.2   0.0    50   110   108   168    95   183 0.85 -
WP_082233108.1@GCF_900166625.1 -            153 Acetyltransf_7       PF13508.14    84   1.8e-14   47.6   0.0   1   1   4.4e-16   2.9e-14   46.9   0.0     4    83    47   130    44   131 0.81 -
WP_103370999.1@GCF_002902305.1 -            195 Acetyltransf_7       PF13508.14    84   1.1e-12   41.9   0.0   1   1     3e-13     2e-11   37.8   0.0     4    83    56   165    53   166 0.82 -
WP_110516879.1@GCF_003226345.1 -            141 Acetyltransf_7       PF13508.14    84   2.4e-12   40.8   0.1   1   1     5e-14   3.4e-12   40.3   0.1     2    79    42   125    41   131 0.77 -
WP_082233097.1@GCF_900166625.1 -            273 adh_short            PF00106.32   195   1.5e-58  191.2   0.2   1   1   2.7e-60   1.8e-58  190.9   0.2     1   190     7   196     7   201 0.98 -
WP_082233102.1@GCF_900166625.1 -            253 adh_short            PF00106.32   195   8.5e-39  126.7   1.5   1   1   1.5e-40     1e-38  126.4   1.5     2   191     7   202     6   205 0.95 -
WP_082233110.1@GCF_900166625.1 -            260 adh_short            PF00106.32   195   1.3e-17   57.6   1.5   1   1   1.9e-19   1.3e-17   57.6   1.5     3   189    12   203    10   209 0.89 -
WP_082233110.1@GCF_900166625.1 -            260 adh_short_C2         PF13561.13   236     3e-84  275.9   3.3   1   1   5.1e-86   3.4e-84  275.7   3.3     1   236    16   256    16   256 0.98 -
WP_082233097.1@GCF_900166625.1 -            273 adh_short_C2         PF13561.13   236   7.9e-66  215.6   0.1   1   1   1.4e-67   9.2e-66  215.4   0.1     1   235    13   253    13   254 0.94 -
WP_082233102.1@GCF_900166625.1 -            253 adh_short_C2         PF13561.13   236   6.1e-50  163.6   0.5   1   1     1e-51   6.9e-50  163.4   0.5     1   235    12   250    12   251 0.93 -
WP_110516908.1@GCF_003226345.1 -            159 AhpC-TSA             PF00578.28   124   2.9e-10   33.8   0.0   1   1     3e-12     6e-10   32.8   0.0     3    89     3    96     1   141 0.76 -
WP_007110056.1@GCF_000731985.1 -            373 AI-2E_transport      PF01594.22   327   5.7e-34  111.3  30.0   1   1   1.4e-35   9.7e-34  110.6  30.0     8   324    24   329    17   332 0.88 -
WP_006183083.1@GCF_000230735.2 -            371 AI-2E_transport      PF01594.22   327   1.8e-33  109.7  32.6   1   1     8e-35   5.4e-33  108.1  32.6     8   324    24   329    17   332 0.86 -
WP_008456180.1@GCF_000337175.1 -            373 AI-2E_transport      PF01594.22   327   2.2e-31  102.8  33.2   1   1   7.4e-33     5e-31  101.7  33.2     8   324    24   329    17   332 0.87 -
WP_004043221.1@GCF_000025685.1 -            489 Aldedh               PF00171.28   461    2e-146  481.7   0.1   1   1  1.2e-148  2.4e-146  481.5   0.1     1   457    19   478    19   481 0.98 -
WP_004043219.1@GCF_000025685.1 -            459 Amidohydro_1         PF01979.27   345   8.6e-23   74.7   0.5   1   1   1.6e-24   3.3e-22   72.8   0.5     1   344    52   433    52   434 0.80 -
WP_004043222.1@GCF_000025685.1 -            445 Aminotran_3          PF00202.28   403   3.9e-96  315.8   0.0   1   1   2.4e-98   4.8e-96  315.5   0.0    10   400    35   434    28   437 0.95 -
WP_002469574.1@GCF_006742205.1 -            465 Amino_oxidase        PF01593.31   443   1.4e-58  192.8   0.0   1   1   7.9e-61   1.6e-58  192.6   0.0     1   443    12   462    12   462 0.93 -
WP_002456429.1@GCF_006742205.1 -            474 AMP-binding          PF00501.35   384   2.5e-64  211.0   0.1   1   1   2.3e-66   4.6e-64  210.2   0.1     1   384     5   332     5   332 0.86 -
WP_002456429.1@GCF_006742205.1 -            474 AMP-binding_C        PF13193.13    76     1e-14   48.9   0.0   1   1   9.5e-17   1.9e-14   48.1   0.0     2    76   383   455   382   455 0.94 -
WP_110516885.1@GCF_003226345.1 -            310 APH                  PF01636.30   239     3e-34  112.4   0.3   1   1   1.8e-36   3.7e-34  112.2   0.3     2   230    18   236    17   249 0.87 -
WP_004043223.1@GCF_000025685.1 -            177 AsnC_trans_reg       PF01037.28    73   2.9e-13   43.2   0.5   1   1   2.7e-15   5.4e-13   42.4   0.5     2    73    80   149    78   149 0.92 -
WP_002456431.1@GCF_006742205.1 -            261 BD-FAE               PF20434.6    215     1e-13   45.0   0.0   1   1   2.1e-14   4.3e-12   39.6   0.0   132   215   136   216    33   216 0.71 -
WP_110516906.1@GCF_003226345.1 -            335 Beta-lactamase       PF00144.30   329   7.8e-56  183.2   0.0   1   1   4.9e-58     1e-55  182.8   0.0    28   313    28   322     5   333 0.91 -
NZ_LR134263.1_329@GCF_900636325.1 -            329 BPD_transp_1         PF00528.28   184   1.2e-42  139.4  12.3   1   1   2.9e-44   1.2e-42  139.4  12.3     1   183   117   308   117   309 0.99 -
WP_006183085.1@GCF_000230735.2    -            633 BPD_transp_1         PF00528.28   184   2.4e-30   99.2  40.0   1   2   2.3e-19   9.4e-18   58.2  13.4     1   161   150   325   146   340 0.83 -
WP_006183085.1@GCF_000230735.2    -            633 BPD_transp_1         PF00528.28   184   2.4e-30   99.2  40.0   2   2   5.5e-17   2.2e-15   50.5  13.5     1   181   447   630   443   633 0.83 -
WP_007110054.1@GCF_000731985.1    -            637 BPD_transp_1         PF00528.28   184   5.7e-30   98.0  42.9   1   2     2e-19   8.2e-18   58.4  13.7     1   164   154   328   150   344 0.82 -
WP_007110054.1@GCF_000731985.1    -            637 BPD_transp_1         PF00528.28   184   5.7e-30   98.0  42.9   2   2     2e-17   8.1e-16   51.9  13.7     2   181   448   634   437   637 0.80 -
NZ_LR134263.1_330@GCF_900636325.1 -            275 BPD_transp_1         PF00528.28   184   6.5e-30   97.9  10.1   1   1   1.6e-31   6.5e-30   97.9  10.1     1   179    87   266    87   269 0.96 -
WP_008456176.1@GCF_000337175.1    -            637 BPD_transp_1         PF00528.28   184   7.6e-30   97.6  43.3   1   2   2.7e-19   1.1e-17   58.0  13.9     1   164   154   328   150   344 0.81 -
WP_008456176.1@GCF_000337175.1    -            637 BPD_transp_1         PF00528.28   184   7.6e-30   97.6  43.3   2   2   1.5e-17     6e-16   52.3  13.5     2   181   448   634   444   637 0.82 -
NZ_LR134263.1_329@GCF_900636325.1 -            329 BPD_transp_1_N       PF19300.5    114   5.4e-10   33.2   0.4   1   1   1.4e-11   2.8e-09   30.9   0.1     8    74     9    78     3   106 0.81 -
WP_103370995.1@GCF_002902305.1 -            329 BPL_LplA_LipB        PF03099.25   133   3.8e-10   33.5   0.0   1   1   3.9e-12   7.8e-10   32.5   0.0     9   130    47   152    41   155 0.88 -
WP_082233098.1@GCF_900166625.1 -            455 Branch_AA_trans      PF05525.20   429  6.9e-150  493.3  42.0   1   1  4.6e-152  9.4e-150  492.9  42.0     6   425    11   440     8   443 0.98 -
WP_001829861.1@GCF_006742205.1 -            205 Cad                  PF03596.19   192     5e-76  248.5  12.2   1   1   2.9e-78   5.9e-76  248.3  12.2     1   191    12   202    12   203 0.99 -
NZ_LR134263.1_323@GCF_900636325.1 -            381 Cas12f1-like_TNB     PF07282.19    60   3.9e-26   84.7   1.3   1   1   1.9e-28   3.9e-26   84.7   1.3     1    60   302   369   302   369 0.93 -
NZ_LR134263.1_319@GCF_900636325.1 -            690 CHAP                 PF05257.23    81   9.3e-26   83.9   0.9   1   1   9.4e-28   1.9e-25   82.9   0.9     3    81   571   659   569   659 0.92 -
WP_103371000.1@GCF_002902305.1 -            450 Chorismate_bind      PF00425.25   257     2e-70  230.9   0.0   1   1   1.9e-72   3.8e-70  230.0   0.0     2   257   186   436   185   436 0.98 -
WP_172637306.1@GCF_000230735.2 -            622 CitMHS               PF03600.23   336     3e-80  263.4  11.6   1   1   5.9e-82     3e-80  263.4  11.6     1   335    12   566    12   567 0.95 -
WP_007110050.1@GCF_000731985.1 -            627 CitMHS               PF03600.23   336   1.2e-78  258.2  13.1   1   1   2.4e-80   1.2e-78  258.2  13.1     1   335    12   571    12   572 0.94 -
WP_014862879.1@GCF_000337175.1 -            642 CitMHS               PF03600.23   336     4e-78  256.4  20.6   1   1   1.1e-79   5.5e-78  256.0  14.1     1   335    27   586    27   587 0.94 -
WP_110516904.1@GCF_003226345.1 -            475 CitMHS               PF03600.23   336   2.7e-56  184.7  45.1   1   1     7e-57   3.5e-55  181.0  35.2     2   335    44   415    43   416 0.88 -
WP_058381520.1@GCF_001465795.2 -            180 Cob_adeno_trans      PF01923.24   171   2.5e-14   47.3   0.0   1   1   1.5e-16     3e-14   47.0   0.0    31   171    25   152    13   152 0.88 -
WP_186303058.1@GCF_002902305.1 -            188 ComK                 PF06338.18   152   5.4e-42  136.7   0.2   1   1   3.4e-44   6.8e-42  136.4   0.2     5   150     5   152     2   154 0.93 -
WP_013035193.1@GCF_000025685.1 -            590 Cpn60_TCP1           PF00118.30   489   1.6e-99  327.4   0.3   1   1   7.6e-99   1.5e-96  317.5   0.4    22   487    71   555    63   556 0.90 -
WP_007110048.1@GCF_000731985.1 -            165 CTP_transf_like      PF01467.33   133   9.5e-22   71.3   0.0   1   1   1.7e-23   1.1e-21   71.1   0.0     2   114    14   124    13   150 0.90 -
WP_008456167.1@GCF_000337175.1 -            165 CTP_transf_like      PF01467.33   133   2.3e-21   70.0   0.0   1   1   4.2e-23   2.8e-21   69.8   0.0     2   132    14   142    13   143 0.92 -
WP_006183091.1@GCF_000230735.2 -            163 CTP_transf_like      PF01467.33   133   1.8e-20   67.2   0.0   1   1   3.1e-22   2.1e-20   67.0   0.0     2   133    14   143    13   143 0.94 -
NZ_PPQH01000083.1_4@GCF_002902385.1 -            478 Cu-oxidase           PF00394.29   157   2.7e-13   44.0   2.6   1   1   4.9e-09     1e-06   22.6   0.1    26   147   355   469   340   477 0.71 -
NZ_PPQH01000083.1_4@GCF_002902385.1 -            478 Cu-oxidase_2         PF07731.21   137   1.4e-35  115.8   1.5   1   1   1.4e-33   2.8e-31  101.8   0.5     2   134   350   476   348   477 0.85 -
NZ_PPQH01000083.1_4@GCF_002902385.1 -            478 Cu-oxidase_3         PF07732.22   119   6.1e-39  126.5   1.8   1   1   1.2e-35   2.4e-33  108.5   0.0     3   118    88   202    86   203 0.93 -
WP_082233101.1@GCF_900166625.1 -            193 Cupin_2              PF07883.18    70   3.6e-13   42.8   0.1   1   1   2.5e-15   5.1e-13   42.3   0.1     5    69   121   187   117   190 0.88 -
WP_002469574.1@GCF_006742205.1 -            465 DAO                  PF01266.31   355   8.3e-12   38.9   0.0   1   1   8.3e-11   1.7e-08   28.0   0.0     1    36     4    41     4    72 0.88 -
WP_004043219.1@GCF_000025685.1 -            459 DHOase               PF12890.14   192     3e-07   24.1   0.5   1   1   2.8e-09   5.6e-07   23.2   0.5     3   190    52   247    50   249 0.73 -
WP_007110066.1@GCF_000731985.1 -            312 DrrA1-3_C            PF13732.13    81     4e-10   34.0   0.1   1   1   3.2e-11   2.2e-09   31.7   0.0     2    80   212   300   212   301 0.83 -
WP_008456196.1@GCF_000337175.1 -            312 DrrA1-3_C            PF13732.13    81   7.5e-10   33.2   0.0   1   1   6.7e-11   4.5e-09   30.7   0.0     2    80   212   300   212   301 0.81 -
WP_015299278.1@GCF_000230735.2 -            313 DrrA1-3_C            PF13732.13    81   9.6e-09   29.6   0.0   1   1   5.8e-10   3.9e-08   27.7   0.0     2    80   213   301   213   302 0.82 -
WP_002471890.1@GCF_002902305.1 -             61 DUF2187              PF09953.16    60   2.3e-29   94.9   1.4   1   1   1.2e-31   2.5e-29   94.8   1.4     2    60     3    57     2    57 0.98 -
WP_058381510.1@GCF_001465795.2 -            343 DUF2268              PF10026.16   195   6.9e-30   97.7   0.2   1   1   5.1e-32     1e-29   97.1   0.2     5   194   143   332   139   333 0.90 -
WP_058381522.1@GCF_001465795.2 -            159 DUF2975              PF11188.14   130   7.4e-38  123.1   9.2   1   1   3.7e-40   7.4e-38  123.1   9.2    12   130    40   159    30   159 0.97 -
WP_179133982.1@GCF_900166625.1    -            740 DUF3533              PF12051.15   380   1.8e-10   33.9  14.0   1   1   8.3e-11   8.4e-09   28.4   0.1    20   130    43   139    29   178 0.73 -
WP_142669852.1@GCF_003226345.1 -            121 DUF4181              PF13789.12   108   2.9e-21   69.7   0.2   1   1   1.7e-23   3.5e-21   69.4   0.2     3   108     2   112     1   112 0.90 -
WP_006183077.1@GCF_000230735.2 -            181 DUF5518              PF17647.7    116   2.6e-18   59.9  32.2   1   1   4.6e-20   3.1e-18   59.7  32.2     3   116     9   116     7   116 0.93 -
WP_007110062.1@GCF_000731985.1 -            200 DUF5518              PF17647.7    116   1.1e-17   57.9  35.5   1   1     2e-19   1.3e-17   57.7  35.5     2   116     8   116     7   116 0.90 -
WP_008456191.1@GCF_000337175.1 -            200 DUF5518              PF17647.7    116   1.3e-16   54.4  37.4   1   1   2.3e-18   1.6e-16   54.2  37.4     2   116     8   116     7   116 0.89 -
WP_058381519.1@GCF_001465795.2 -             82 DUF6487              PF20097.5     67   1.8e-23   76.5   0.1   1   1     1e-25   2.1e-23   76.3   0.1     1    66     9    76     9    77 0.98 -
WP_006183090.1@GCF_000230735.2 -            102 DUF7521              PF24365.2     82   6.3e-27   87.5  14.3   1   1   1.5e-28   7.5e-27   87.2  14.3     1    82     8    88     8    88 0.97 -
WP_008456168.1@GCF_000337175.1 -            131 DUF7521              PF24365.2     82   3.9e-24   78.5  15.9   1   1   1.1e-25   5.5e-24   78.0  15.9     1    82    37   117    37   117 0.97 -
WP_007110049.1@GCF_000731985.1 -            146 DUF7521              PF24365.2     82   1.1e-23   77.0  14.1   1   1     3e-25   1.5e-23   76.6  14.1     1    82    52   132    52   132 0.97 -
WP_004043233.1@GCF_000025685.1 -            107 DUF7521              PF24365.2     82   7.7e-14   45.5   9.7   1   1   3.6e-12   1.8e-10   34.7   4.7     2    50    16    64    15    83 0.84 -
WP_049914851.1@GCF_000025685.1 -            235 DUF7847              PF25231.2    258   2.4e-48  158.3  39.0   1   1   2.7e-50   2.7e-48  158.2  39.0    22   258     2   233     1   233 0.92 -
WP_004043231.1@GCF_000025685.1 -            315 DUF7847              PF25231.2    258   3.5e-48  157.8  38.3   1   1   4.4e-50   4.4e-48  157.4  38.3     1   258     3   284     3   284 0.95 -
WP_004043225.1@GCF_000025685.1 -            230 DUF8054_C            PF26237.1     41   1.6e-09   31.3  12.8   1   1   1.4e-11   2.7e-09   30.5  12.8     1    40   188   227   188   228 0.97 -
WP_004043225.1@GCF_000025685.1 -            230 DUF8054_M            PF26238.1    122   5.1e-16   52.9   0.3   1   1   3.8e-18   7.7e-16   52.3   0.3     4   121    73   184    70   185 0.89 -
WP_004043225.1@GCF_000025685.1 -            230 DUF8054_N            PF26236.1     81   6.6e-21   67.8   1.9   1   1     8e-23   1.6e-20   66.5   1.9    21    81     1    61     1    61 0.96 -
WP_236995443.1@GCF_000025685.1 -            235 DUF8071              PF26268.1    145   2.1e-50  164.1   6.9   1   1   1.1e-52   2.1e-50  164.1   6.9     1   144    57   224    57   225 0.97 -
WP_004043238.1@GCF_000025685.1 -            193 DUF8130              PF26451.1    193   9.2e-90  293.0   0.0   1   1     5e-92     1e-89  292.8   0.0     1   192     1   192     1   193 0.99 -
WP_082233104.1@GCF_900166625.1 -            333 Dus                  PF01207.24   311   7.7e-50  163.3   0.0   1   1   4.6e-52   9.3e-50  163.1   0.0     2   303    17   316    16   322 0.86 -
NZ_PPQH01000083.1_3@GCF_002902385.1 -            682 E1-E2_ATPase         PF00122.26   102   8.1e-29   93.2   4.0   1   1     4e-31   8.1e-29   93.2   4.0     3   101   173   272   171   273 0.93 -
WP_103370989.1@GCF_002902305.1 -            520 EF-G_D2              PF22042.3     84   3.9e-25   81.5   0.1   1   1   3.4e-27   6.8e-25   80.7   0.1     1    82   289   374   289   376 0.98 -
WP_103370989.1@GCF_002902305.1 -            520 EFG_III              PF14492.13    75   1.6e-09   31.4   0.1   1   1   2.2e-11   4.5e-09   30.0   0.1     7    74   393   459   389   460 0.93 -
WP_082233100.1@GCF_900166625.1 -            327 EmrE                 PF13536.13   261  1.4e-111  365.8  16.9   1   1  8.7e-114  1.8e-111  365.5  16.9     1   261    38   305    38   305 0.98 -
WP_002456431.1@GCF_006742205.1 -            261 Epimerase            PF01370.28   240   7.3e-07   22.4   0.0   1   1   5.8e-09   1.2e-06   21.8   0.0     1    73    48   120    48   129 0.81 -
WP_110516869.1@GCF_003226345.1 -            336 FecCD                PF01032.24   312   2.9e-90  296.0  35.8   1   1   3.6e-92   3.6e-90  295.7  35.8     1   312    20   335    20   335 0.98 -
WP_110516871.1@GCF_003226345.1 -            334 FecCD                PF01032.24   312   1.7e-89  293.5  36.2   1   1   2.1e-91   2.1e-89  293.2  36.2     1   312    20   329    19   329 0.98 -
WP_058381517.1@GCF_001465795.2 -            165 Ferritin             PF00210.31   142     2e-37  122.0   5.5   1   1   1.1e-39   2.3e-37  121.8   5.5     2   140     8   142     7   144 0.95 -
WP_001829846.1@GCF_006742205.1 -            307 Ferrochelatase       PF00762.25   317   1.4e-84  277.4   0.1   1   1   8.3e-87   1.7e-84  277.1   0.1     2   316     5   306     4   307 0.97 -
WP_004043227.1@GCF_000025685.1 -            264 FilR1_middle         PF08350.18   128   2.4e-30   99.0   0.0   1   1   5.4e-32   3.6e-30   98.3   0.0     1   127   122   252   122   253 0.96 -
WP_006183081.1@GCF_000230735.2 -            273 FilR1_middle         PF08350.18   128   3.8e-20   65.9   0.0   1   1   1.2e-21   7.8e-20   64.9   0.0     1   113   135   246   135   262 0.94 -
WP_007110058.1@GCF_000731985.1 -            269 FilR1_middle         PF08350.18   128   2.4e-18   60.1   0.0   1   1   5.7e-20   3.8e-18   59.5   0.0     1   126   134   260   134   262 0.90 -
WP_082233108.1@GCF_900166625.1 -            153 FR47                 PF08445.17    86   1.7e-08   28.0   0.0   1   1     3e-10     3e-08   27.3   0.0    19    79    68   131    54   138 0.84 -
WP_110516881.1@GCF_003226345.1 -            272 FR47                 PF08445.17    86     7e-07   22.9   0.0   1   1   1.2e-08   1.2e-06   22.1   0.0     3    82   181   263   179   267 0.88 -
WP_110516902.1@GCF_003226345.1 -            438 FTSW_RODA_SPOVE      PF01098.25   356   6.3e-46  150.6  27.9   1   1   3.7e-48   7.5e-46  150.3  27.9    34   354   107   431    76   433 0.83 -
WP_008456193.1@GCF_000337175.1 -            435 FtsX                 PF02687.28   120   7.5e-26   84.2   6.2   1   1   1.1e-27   7.5e-26   84.2   6.2     3   120   316   428   314   428 0.98 -
WP_007110063.1@GCF_000731985.1 -            438 FtsX                 PF02687.28   120   8.2e-26   84.1   6.6   1   1   1.2e-27   8.2e-26   84.1   6.6     3   120   319   431   317   431 0.98 -
WP_006183076.1@GCF_000230735.2 -            430 FtsX                 PF02687.28   120   8.5e-26   84.1   5.6   1   1   1.3e-27   8.5e-26   84.1   5.6     3   120   311   423   309   423 0.98 -
WP_058381530.1@GCF_001465795.2 -            252 Gluconate_2-dh3      PF13618.12   135   4.5e-32  104.9   0.0   1   1   3.4e-34   6.9e-32  104.3   0.0     2   135    70   224    69   224 0.92 -
