#                                                                                   --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                  accession  query name                     accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#          ------------------- ----------           -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
WP_006183088.1@GCF_000230735.2 -          WP_007110051.1@GCF_000731985.1 -            1.1e-16   54.3  16.1   1.4e-16   54.1  16.1   1.2   1   0   0   1   1   1   1 -
WP_007110052.1@GCF_000731985.1 -          WP_007110052.1@GCF_000731985.1 -            1.7e-67  217.6   2.1   1.9e-67  217.5   2.1   1.0   1   0   0   1   1   1   1 -
WP_008456173.1@GCF_000337175.1 -          WP_007110052.1@GCF_000731985.1 -              5e-54  174.5   0.8   5.9e-54  174.2   0.8   1.1   1   0   0   1   1   1   1 -
WP_006183087.1@GCF_000230735.2 -          WP_007110052.1@GCF_000731985.1 -            1.9e-44  143.8   1.7   2.1e-44  143.6   1.7   1.0   1   0   0   1   1   1   1 -
WP_007110053.1@GCF_000731985.1    -          WP_007110053.1@GCF_000731985.1 -           1.3e-234  771.1  10.8  1.5e-234  771.0  10.8   1.0   1   0   0   1   1   1   1 -
WP_008456175.1@GCF_000337175.1    -          WP_007110053.1@GCF_000731985.1 -           2.4e-220  724.3   9.2  2.6e-220  724.2   9.2   1.0   1   0   0   1   1   1   1 -
WP_006183086.1@GCF_000230735.2    -          WP_007110053.1@GCF_000731985.1 -           2.2e-176  579.7   9.0  2.5e-176  579.6   9.0   1.0   1   0   0   1   1   1   1 -
WP_006183075.1@GCF_000230735.2    -          WP_007110053.1@GCF_000731985.1 -            4.8e-34  111.8   4.7   5.7e-34  111.5   4.7   1.0   1   0   0   1   1   1   1 -
WP_008456194.1@GCF_000337175.1    -          WP_007110053.1@GCF_000731985.1 -            3.6e-31  102.3   5.2   4.3e-31  102.1   5.2   1.1   1   0   0   1   1   1   1 -
WP_007110064.1@GCF_000731985.1    -          WP_007110053.1@GCF_000731985.1 -            6.3e-31  101.5   5.1   7.6e-31  101.3   5.1   1.1   1   0   0   1   1   1   1 -
WP_007110066.1@GCF_000731985.1    -          WP_007110053.1@GCF_000731985.1 -            7.1e-27   88.2   2.8   7.1e-27   88.2   2.8   1.5   1   1   0   1   1   1   1 -
WP_008456196.1@GCF_000337175.1    -          WP_007110053.1@GCF_000731985.1 -            1.3e-26   87.3   3.7   1.4e-26   87.2   2.6   1.5   1   1   0   1   1   1   1 -
WP_110516875.1@GCF_003226345.1    -          WP_007110053.1@GCF_000731985.1 -            6.3e-26   85.1   0.0   8.1e-26   84.7   0.0   1.0   1   0   0   1   1   1   1 -
WP_004043237.1@GCF_000025685.1    -          WP_007110053.1@GCF_000731985.1 -            8.5e-25   81.4   5.6     1e-24   81.1   5.6   1.1   1   0   0   1   1   1   1 -
WP_015299278.1@GCF_000230735.2    -          WP_007110053.1@GCF_000731985.1 -            8.8e-25   81.3   3.9   1.2e-24   80.9   3.0   1.6   1   1   0   2   2   2   1 -
NZ_LR134263.1_331@GCF_900636325.1 -          WP_007110053.1@GCF_000731985.1 -            7.9e-16   51.9   0.0     1e-15   51.5   0.0   1.0   1   0   0   1   1   1   1 -
WP_007110054.1@GCF_000731985.1 -          WP_007110054.1@GCF_000731985.1 -                  0 1326.4  58.4         0 1326.2  58.4   1.0   1   0   0   1   1   1   1 -
WP_008456176.1@GCF_000337175.1 -          WP_007110054.1@GCF_000731985.1 -                  0 1293.2  58.7         0 1293.0  58.7   1.0   1   0   0   1   1   1   1 -
WP_006183085.1@GCF_000230735.2 -          WP_007110054.1@GCF_000731985.1 -                  0 1107.0  59.4         0 1106.7  59.4   1.0   1   0   0   1   1   1   1 -
WP_049900695.1@GCF_000731985.1 -          WP_049900695.1@GCF_000731985.1 -           1.8e-246  810.9  14.2    2e-246  810.8  14.2   1.0   1   0   0   1   1   1   1 -
WP_008456178.1@GCF_000337175.1 -          WP_049900695.1@GCF_000731985.1 -           2.3e-232  764.5  12.9  2.5e-232  764.4  12.9   1.0   1   0   0   1   1   1   1 -
WP_006183084.1@GCF_000230735.2 -          WP_049900695.1@GCF_000731985.1 -           5.6e-142  467.2  26.7  1.2e-141  466.1  26.7   1.5   1   1   0   1   1   1   1 -
WP_007110056.1@GCF_000731985.1 -          WP_007110056.1@GCF_000731985.1 -           3.7e-233  766.8  29.2  4.2e-233  766.6  29.2   1.0   1   0   0   1   1   1   1 -
WP_008456180.1@GCF_000337175.1 -          WP_007110056.1@GCF_000731985.1 -           2.2e-223  734.7  31.6  2.5e-223  734.5  31.6   1.0   1   0   0   1   1   1   1 -
WP_006183083.1@GCF_000230735.2 -          WP_007110056.1@GCF_000731985.1 -           2.5e-183  603.0  29.4  2.8e-183  602.8  29.4   1.0   1   0   0   1   1   1   1 -
WP_007110057.1@GCF_000731985.1 -          WP_007110057.1@GCF_000731985.1 -           5.5e-162  530.1  15.4  6.1e-162  530.0  15.4   1.0   1   0   0   1   1   1   1 -
WP_015299281.1@GCF_000230735.2 -          WP_007110057.1@GCF_000731985.1 -              2e-99  325.4  17.3   2.5e-99  325.1  17.3   1.1   1   0   0   1   1   1   1 -
WP_241432498.1@GCF_000337175.1 -          WP_007110057.1@GCF_000731985.1 -            7.5e-64  209.0  15.6   8.2e-64  208.9  15.6   1.0   1   0   0   1   1   1   1 -
WP_004043226.1@GCF_000025685.1 -          WP_007110057.1@GCF_000731985.1 -            1.5e-37  122.9  28.3   3.7e-37  121.7  28.3   1.5   1   1   0   1   1   1   1 -
WP_007110058.1@GCF_000731985.1 -          WP_007110058.1@GCF_000731985.1 -           1.1e-181  595.4   0.5  1.3e-181  595.2   0.5   1.0   1   0   0   1   1   1   1 -
WP_006183081.1@GCF_000230735.2 -          WP_007110058.1@GCF_000731985.1 -              2e-88  289.9   0.2   2.5e-88  289.6   0.2   1.0   1   0   0   1   1   1   1 -
WP_004043227.1@GCF_000025685.1 -          WP_007110058.1@GCF_000731985.1 -            8.8e-14   45.3   0.0   1.2e-13   44.9   0.0   1.0   1   0   0   1   1   1   1 -
WP_007110059.1@GCF_000731985.1 -          WP_007110059.1@GCF_000731985.1 -            1.7e-44  142.1   2.0   1.8e-44  142.0   2.0   1.0   1   0   0   1   1   1   1 -
WP_049888469.1@GCF_000337175.1 -          WP_007110059.1@GCF_000731985.1 -              2e-39  126.0   1.6   2.1e-39  125.9   1.6   1.0   1   0   0   1   1   1   1 -
WP_006183080.1@GCF_000230735.2 -          WP_007110059.1@GCF_000731985.1 -            1.2e-32  104.7   1.5   1.3e-32  104.5   1.5   1.0   1   0   0   1   1   1   1 -
WP_049914850.1@GCF_000025685.1 -          WP_007110059.1@GCF_000731985.1 -            3.8e-08   27.3   2.0   4.3e-08   27.1   2.0   1.0   1   0   0   1   1   1   1 -
WP_007110060.1@GCF_000731985.1 -          WP_007110060.1@GCF_000731985.1 -                  0 1117.0  56.9         0 1116.8  56.9   1.0   1   0   0   1   1   1   1 -
WP_008456185.1@GCF_000337175.1 -          WP_007110060.1@GCF_000731985.1 -           1.3e-304 1004.0  55.2  1.5e-304 1003.8  55.2   1.0   1   0   0   1   1   1   1 -
WP_006183079.1@GCF_000230735.2 -          WP_007110060.1@GCF_000731985.1 -           8.1e-171  562.6  45.6  9.1e-171  562.4  45.6   1.0   1   0   0   1   1   1   1 -
WP_239647725.1@GCF_000731985.1 -          WP_239647725.1@GCF_000731985.1 -            3.7e-44  140.9   1.1   4.1e-44  140.8   1.1   1.0   1   0   0   1   1   1   1 -
WP_241432499.1@GCF_000337175.1 -          WP_239647725.1@GCF_000731985.1 -              8e-34  108.3   0.8   8.7e-34  108.2   0.8   1.0   1   0   0   1   1   1   1 -
WP_006183078.1@GCF_000230735.2 -          WP_239647725.1@GCF_000731985.1 -            1.7e-23   75.8   1.2   1.8e-23   75.7   1.2   1.0   1   0   0   1   1   1   1 -
WP_007110062.1@GCF_000731985.1 -          WP_007110062.1@GCF_000731985.1 -           1.3e-131  429.8  12.3  1.5e-131  429.6  12.3   1.0   1   0   0   1   1   1   1 -
WP_008456191.1@GCF_000337175.1 -          WP_007110062.1@GCF_000731985.1 -           1.6e-113  370.8  12.9  1.8e-113  370.6  12.9   1.0   1   0   0   1   1   1   1 -
WP_006183077.1@GCF_000230735.2 -          WP_007110062.1@GCF_000731985.1 -            2.5e-57  187.3  10.7   3.2e-57  186.9  10.7   1.2   1   0   0   1   1   1   1 -
WP_007110063.1@GCF_000731985.1 -          WP_007110063.1@GCF_000731985.1 -           4.2e-282  929.0  25.4  4.7e-282  928.8  25.4   1.0   1   0   0   1   1   1   1 -
WP_008456193.1@GCF_000337175.1 -          WP_007110063.1@GCF_000731985.1 -           1.7e-270  890.7  23.7  1.9e-270  890.5  23.7   1.0   1   0   0   1   1   1   1 -
WP_006183076.1@GCF_000230735.2 -          WP_007110063.1@GCF_000731985.1 -           2.2e-236  778.3  21.2  2.5e-236  778.2  21.2   1.0   1   0   0   1   1   1   1 -
WP_007110064.1@GCF_000731985.1    -          WP_007110064.1@GCF_000731985.1 -           2.6e-175  574.3  11.4  2.9e-175  574.1  11.4   1.0   1   0   0   1   1   1   1 -
WP_008456194.1@GCF_000337175.1    -          WP_007110064.1@GCF_000731985.1 -           4.1e-164  537.6  10.6  4.6e-164  537.4  10.6   1.0   1   0   0   1   1   1   1 -
WP_006183075.1@GCF_000230735.2    -          WP_007110064.1@GCF_000731985.1 -           1.1e-135  444.5   7.0  1.2e-135  444.3   7.0   1.0   1   0   0   1   1   1   1 -
WP_008456175.1@GCF_000337175.1    -          WP_007110064.1@GCF_000731985.1 -            1.4e-32  106.7   1.9   2.5e-32  105.9   1.9   1.3   1   0   0   1   1   1   1 -
WP_007110053.1@GCF_000731985.1    -          WP_007110064.1@GCF_000731985.1 -            1.5e-31  103.3   2.5   1.9e-31  102.9   2.5   1.1   1   0   0   1   1   1   1 -
WP_006183086.1@GCF_000230735.2    -          WP_007110064.1@GCF_000731985.1 -            3.1e-30   99.0   1.3   4.4e-30   98.5   1.3   1.2   1   0   0   1   1   1   1 -
WP_007110066.1@GCF_000731985.1    -          WP_007110064.1@GCF_000731985.1 -            2.7e-22   73.0   3.9   3.5e-22   72.6   3.2   1.5   1   1   0   1   1   1   1 -
WP_004043237.1@GCF_000025685.1    -          WP_007110064.1@GCF_000731985.1 -            3.2e-22   72.7   4.0   3.8e-22   72.5   4.0   1.1   1   0   0   1   1   1   1 -
WP_008456196.1@GCF_000337175.1    -          WP_007110064.1@GCF_000731985.1 -            6.5e-22   71.7   3.8   8.6e-22   71.3   3.3   1.4   1   1   0   1   1   1   1 -
WP_015299278.1@GCF_000230735.2    -          WP_007110064.1@GCF_000731985.1 -            1.5e-21   70.6   4.3   1.9e-21   70.2   3.8   1.4   1   1   0   1   1   1   1 -
WP_110516875.1@GCF_003226345.1    -          WP_007110064.1@GCF_000731985.1 -            3.4e-15   49.7   0.1     6e-15   48.9   0.1   1.3   1   1   0   1   1   1   1 -
NZ_LR134263.1_331@GCF_900636325.1 -          WP_007110064.1@GCF_000731985.1 -            2.2e-14   47.0   0.0   3.5e-14   46.4   0.0   1.2   1   0   0   1   1   1   1 -
WP_007110065.1@GCF_000731985.1 -          WP_007110065.1@GCF_000731985.1 -            9.2e-66  212.4   8.5     1e-65  212.3   8.5   1.0   1   0   0   1   1   1   1 -
WP_008456195.1@GCF_000337175.1 -          WP_007110065.1@GCF_000731985.1 -            9.1e-59  189.9   5.8     1e-58  189.8   5.8   1.0   1   0   0   1   1   1   1 -
WP_006183074.1@GCF_000230735.2 -          WP_007110065.1@GCF_000731985.1 -            8.7e-44  141.8   4.2   9.7e-44  141.6   4.2   1.0   1   0   0   1   1   1   1 -
WP_007110066.1@GCF_000731985.1    -          WP_007110066.1@GCF_000731985.1 -           3.5e-203  666.6  10.2  3.9e-203  666.4  10.2   1.0   1   0   0   1   1   1   1 -
WP_008456196.1@GCF_000337175.1    -          WP_007110066.1@GCF_000731985.1 -           6.6e-198  649.3  10.7  7.4e-198  649.1  10.7   1.0   1   0   0   1   1   1   1 -
WP_015299278.1@GCF_000230735.2    -          WP_007110066.1@GCF_000731985.1 -           1.4e-167  549.7  10.2  1.6e-167  549.6  10.2   1.0   1   0   0   1   1   1   1 -
WP_004043237.1@GCF_000025685.1    -          WP_007110066.1@GCF_000731985.1 -            1.2e-84  277.6   5.5   1.6e-84  277.1   5.5   1.2   1   1   0   1   1   1   1 -
WP_006183086.1@GCF_000230735.2    -          WP_007110066.1@GCF_000731985.1 -            4.2e-31  101.8   1.7   5.4e-31  101.4   1.7   1.2   1   0   0   1   1   1   1 -
WP_007110053.1@GCF_000731985.1    -          WP_007110066.1@GCF_000731985.1 -            2.5e-27   89.4   1.8   3.1e-27   89.1   1.8   1.3   1   0   0   1   1   1   1 -
WP_008456175.1@GCF_000337175.1    -          WP_007110066.1@GCF_000731985.1 -            1.2e-24   80.6   2.7   1.7e-24   80.1   2.1   1.4   1   1   0   1   1   1   1 -
WP_006183075.1@GCF_000230735.2    -          WP_007110066.1@GCF_000731985.1 -            3.3e-23   75.9   3.0   4.5e-23   75.4   3.0   1.2   1   0   0   1   1   1   1 -
WP_007110064.1@GCF_000731985.1    -          WP_007110066.1@GCF_000731985.1 -            3.8e-22   72.4   4.2     5e-22   72.0   4.2   1.2   1   0   0   1   1   1   1 -
WP_008456194.1@GCF_000337175.1    -          WP_007110066.1@GCF_000731985.1 -            6.6e-22   71.6   3.7   8.7e-22   71.2   3.7   1.1   1   0   0   1   1   1   1 -
WP_110516875.1@GCF_003226345.1    -          WP_007110066.1@GCF_000731985.1 -            3.5e-14   46.2   0.0   6.1e-14   45.5   0.0   1.3   1   1   0   1   1   1   1 -
NZ_LR134263.1_331@GCF_900636325.1 -          WP_007110066.1@GCF_000731985.1 -            2.5e-11   36.9   0.0   2.2e-07   23.9   0.0   2.0   2   0   0   2   2   2   2 -
WP_007110067.1@GCF_000731985.1 -          WP_007110067.1@GCF_000731985.1 -           5.4e-175  574.0  26.8    6e-175  573.8  26.8   1.0   1   0   0   1   1   1   1 -
WP_008456197.1@GCF_000337175.1 -          WP_007110067.1@GCF_000731985.1 -           8.4e-161  527.5  27.1  9.4e-161  527.3  27.1   1.0   1   0   0   1   1   1   1 -
WP_006183072.1@GCF_000230735.2 -          WP_007110067.1@GCF_000731985.1 -           7.4e-127  416.2  26.4  8.2e-127  416.0  26.4   1.0   1   0   0   1   1   1   1 -
WP_013035087.1@GCF_000025685.1 -          WP_007110067.1@GCF_000731985.1 -            1.6e-16   54.4  25.2   2.1e-14   47.4  25.2   2.3   1   1   0   1   1   1   1 -
WP_007110068.1@GCF_000731985.1 -          WP_007110068.1@GCF_000731985.1 -           1.4e-150  492.7  18.7  1.6e-150  492.6  18.7   1.0   1   0   0   1   1   1   1 -
WP_008456198.1@GCF_000337175.1 -          WP_007110068.1@GCF_000731985.1 -           1.7e-144  472.9  18.4  1.8e-144  472.7  18.4   1.0   1   0   0   1   1   1   1 -
WP_006183071.1@GCF_000230735.2 -          WP_007110068.1@GCF_000731985.1 -           1.6e-126  414.0  19.2  1.8e-126  413.9  19.2   1.0   1   0   0   1   1   1   1 -
WP_008456167.1@GCF_000337175.1 -          WP_008456167.1@GCF_000337175.1 -           1.1e-109  357.1   8.7  1.2e-109  357.0   8.7   1.0   1   0   0   1   1   1   1 -
WP_007110048.1@GCF_000731985.1 -          WP_008456167.1@GCF_000337175.1 -            1.7e-93  304.5   9.5   1.9e-93  304.3   9.5   1.0   1   0   0   1   1   1   1 -
WP_006183091.1@GCF_000230735.2 -          WP_008456167.1@GCF_000337175.1 -            4.7e-78  254.2   8.8   5.2e-78  254.1   8.8   1.0   1   0   0   1   1   1   1 -
WP_008456168.1@GCF_000337175.1 -          WP_008456168.1@GCF_000337175.1 -            6.8e-79  255.2  12.7   7.6e-79  255.0  12.7   1.0   1   0   0   1   1   1   1 -
WP_007110049.1@GCF_000731985.1 -          WP_008456168.1@GCF_000337175.1 -            3.6e-65  211.0  13.5   1.3e-62  202.7  13.5   2.0   1   1   0   1   1   1   1 -
WP_006183090.1@GCF_000230735.2 -          WP_008456168.1@GCF_000337175.1 -            1.6e-42  137.9  12.1   1.8e-42  137.8  12.1   1.0   1   0   0   1   1   1   1 -
WP_014862879.1@GCF_000337175.1 -          WP_014862879.1@GCF_000337175.1 -                  0 1368.4  32.8         0 1368.3  32.8   1.0   1   0   0   1   1   1   1 -
WP_007110050.1@GCF_000731985.1 -          WP_014862879.1@GCF_000337175.1 -                  0 1293.5  31.2         0 1293.3  31.2   1.0   1   0   0   1   1   1   1 -
WP_172637306.1@GCF_000230735.2 -          WP_014862879.1@GCF_000337175.1 -                  0 1188.8  32.4         0 1188.6  32.4   1.0   1   0   0   1   1   1   1 -
WP_110516904.1@GCF_003226345.1 -          WP_014862879.1@GCF_000337175.1 -            3.3e-15   49.3  26.4   1.1e-11   37.7   8.6   3.1   2   1   0   2   2   2   2 -
WP_008456173.1@GCF_000337175.1 -          WP_008456173.1@GCF_000337175.1 -            1.7e-66  214.4   1.4   1.9e-66  214.2   1.4   1.0   1   0   0   1   1   1   1 -
WP_007110052.1@GCF_000731985.1 -          WP_008456173.1@GCF_000337175.1 -            5.8e-55  177.5   3.1   2.1e-53  172.5   3.1   2.0   1   1   0   1   1   1   1 -
WP_006183087.1@GCF_000230735.2 -          WP_008456173.1@GCF_000337175.1 -            2.3e-36  117.9   1.1   4.2e-36  117.1   1.1   1.4   1   1   0   1   1   1   1 -
WP_008456175.1@GCF_000337175.1    -          WP_008456175.1@GCF_000337175.1 -           4.7e-234  769.3   8.2  5.2e-234  769.2   8.2   1.0   1   0   0   1   1   1   1 -
WP_007110053.1@GCF_000731985.1    -          WP_008456175.1@GCF_000337175.1 -           2.9e-220  724.0   9.2  3.2e-220  723.8   9.2   1.0   1   0   0   1   1   1   1 -
WP_006183086.1@GCF_000230735.2    -          WP_008456175.1@GCF_000337175.1 -           1.8e-173  570.1   7.8    2e-173  570.0   7.8   1.0   1   0   0   1   1   1   1 -
WP_006183075.1@GCF_000230735.2    -          WP_008456175.1@GCF_000337175.1 -            9.5e-35  114.1   4.0   1.1e-34  113.9   4.0   1.0   1   0   0   1   1   1   1 -
WP_008456194.1@GCF_000337175.1    -          WP_008456175.1@GCF_000337175.1 -              4e-32  105.5   4.3   4.8e-32  105.2   4.3   1.1   1   0   0   1   1   1   1 -
WP_007110064.1@GCF_000731985.1    -          WP_008456175.1@GCF_000337175.1 -            8.5e-32  104.4   4.4     1e-31  104.2   4.4   1.1   1   0   0   1   1   1   1 -
WP_004043237.1@GCF_000025685.1    -          WP_008456175.1@GCF_000337175.1 -            3.6e-25   82.6   3.8   4.5e-25   82.3   3.8   1.1   1   0   0   1   1   1   1 -
WP_110516875.1@GCF_003226345.1    -          WP_008456175.1@GCF_000337175.1 -            4.3e-25   82.4   0.0   5.4e-25   82.0   0.0   1.0   1   0   0   1   1   1   1 -
WP_007110066.1@GCF_000731985.1    -          WP_008456175.1@GCF_000337175.1 -            1.4e-24   80.7   3.2   1.5e-24   80.6   2.2   1.4   1   1   0   1   1   1   1 -
WP_008456196.1@GCF_000337175.1    -          WP_008456175.1@GCF_000337175.1 -            2.5e-24   79.9   2.8     3e-24   79.6   2.0   1.4   1   1   0   1   1   1   1 -
WP_015299278.1@GCF_000230735.2    -          WP_008456175.1@GCF_000337175.1 -            1.5e-23   77.3   3.2   1.7e-23   77.1   2.2   1.5   1   1   0   1   1   1   1 -
NZ_LR134263.1_331@GCF_900636325.1 -          WP_008456175.1@GCF_000337175.1 -            4.1e-15   49.6   0.0   5.4e-15   49.2   0.0   1.0   1   0   0   1   1   1   1 -
WP_008456176.1@GCF_000337175.1 -          WP_008456176.1@GCF_000337175.1 -                  0 1326.0  59.0         0 1325.8  59.0   1.0   1   0   0   1   1   1   1 -
WP_007110054.1@GCF_000731985.1 -          WP_008456176.1@GCF_000337175.1 -                  0 1293.6  58.5         0 1293.5  58.5   1.0   1   0   0   1   1   1   1 -
WP_006183085.1@GCF_000230735.2 -          WP_008456176.1@GCF_000337175.1 -                  0 1106.8  59.6         0 1106.5  59.6   1.0   1   0   0   1   1   1   1 -
WP_008456178.1@GCF_000337175.1 -          WP_008456178.1@GCF_000337175.1 -           3.5e-246  809.9  12.5  3.9e-246  809.7  12.5   1.0   1   0   0   1   1   1   1 -
WP_049900695.1@GCF_000731985.1 -          WP_008456178.1@GCF_000337175.1 -           2.9e-232  764.1  13.3  3.2e-232  763.9  13.3   1.0   1   0   0   1   1   1   1 -
WP_006183084.1@GCF_000230735.2 -          WP_008456178.1@GCF_000337175.1 -           4.9e-141  464.0  24.3  9.1e-141  463.1  24.3   1.4   1   1   0   1   1   1   1 -
WP_008456180.1@GCF_000337175.1 -          WP_008456180.1@GCF_000337175.1 -           1.6e-231  761.4  33.9  1.8e-231  761.2  33.9   1.0   1   0   0   1   1   1   1 -
WP_007110056.1@GCF_000731985.1 -          WP_008456180.1@GCF_000337175.1 -           1.1e-223  735.6  30.8  1.3e-223  735.4  30.8   1.0   1   0   0   1   1   1   1 -
WP_006183083.1@GCF_000230735.2 -          WP_008456180.1@GCF_000337175.1 -           1.1e-180  594.2  31.7  1.2e-180  594.1  31.7   1.0   1   0   0   1   1   1   1 -
WP_241432498.1@GCF_000337175.1 -          WP_241432498.1@GCF_000337175.1 -            2.5e-73  237.2  15.8   2.8e-73  237.0  15.8   1.0   1   0   0   1   1   1   1 -
WP_007110057.1@GCF_000731985.1 -          WP_241432498.1@GCF_000337175.1 -            2.8e-64  208.0  15.8   4.8e-64  207.3  15.8   1.4   1   0   0   1   1   1   1 -
WP_015299281.1@GCF_000230735.2 -          WP_241432498.1@GCF_000337175.1 -            1.8e-43  141.0  19.1     2e-43  140.9  17.8   1.8   2   0   0   2   2   2   1 -
WP_004043226.1@GCF_000025685.1 -          WP_241432498.1@GCF_000337175.1 -              2e-23   76.5  22.3   1.2e-22   74.0  21.4   2.4   1   1   1   2   2   2   1 -
WP_049888469.1@GCF_000337175.1 -          WP_049888469.1@GCF_000337175.1 -            3.6e-45  144.3   2.1   3.9e-45  144.2   2.1   1.0   1   0   0   1   1   1   1 -
WP_007110059.1@GCF_000731985.1 -          WP_049888469.1@GCF_000337175.1 -              2e-39  126.1   1.6   2.2e-39  126.0   1.6   1.0   1   0   0   1   1   1   1 -
WP_006183080.1@GCF_000230735.2 -          WP_049888469.1@GCF_000337175.1 -            4.4e-34  109.3   1.5   4.8e-34  109.1   1.5   1.0   1   0   0   1   1   1   1 -
WP_049914850.1@GCF_000025685.1 -          WP_049888469.1@GCF_000337175.1 -            1.3e-08   28.8   2.4   1.4e-08   28.7   2.4   1.0   1   0   0   1   1   1   1 -
WP_008456185.1@GCF_000337175.1 -          WP_008456185.1@GCF_000337175.1 -                  0 1121.7  55.2         0 1121.6  55.2   1.0   1   0   0   1   1   1   1 -
WP_007110060.1@GCF_000731985.1 -          WP_008456185.1@GCF_000337175.1 -           1.8e-304 1003.8  55.8  2.1e-304 1003.6  55.8   1.0   1   0   0   1   1   1   1 -
WP_006183079.1@GCF_000230735.2 -          WP_008456185.1@GCF_000337175.1 -             1e-166  549.3  45.9  1.1e-166  549.1  45.9   1.0   1   0   0   1   1   1   1 -
WP_241432499.1@GCF_000337175.1 -          WP_241432499.1@GCF_000337175.1 -            4.5e-45  143.9   1.4   4.9e-45  143.7   1.4   1.0   1   0   0   1   1   1   1 -
WP_239647725.1@GCF_000731985.1 -          WP_241432499.1@GCF_000337175.1 -            7.6e-34  108.4   0.7   8.2e-34  108.3   0.7   1.0   1   0   0   1   1   1   1 -
WP_006183078.1@GCF_000230735.2 -          WP_241432499.1@GCF_000337175.1 -            3.1e-25   81.3   1.0   3.2e-25   81.2   1.0   1.0   1   0   0   1   1   1   1 -
WP_008456191.1@GCF_000337175.1 -          WP_008456191.1@GCF_000337175.1 -           9.4e-129  420.5  13.9    1e-128  420.3  13.9   1.0   1   0   0   1   1   1   1 -
WP_007110062.1@GCF_000731985.1 -          WP_008456191.1@GCF_000337175.1 -           9.2e-114  371.5  11.3    1e-113  371.4  11.3   1.0   1   0   0   1   1   1   1 -
WP_006183077.1@GCF_000230735.2 -          WP_008456191.1@GCF_000337175.1 -            1.8e-54  178.0  15.9     3e-54  177.3  15.9   1.3   1   1   0   1   1   1   1 -
WP_008456193.1@GCF_000337175.1 -          WP_008456193.1@GCF_000337175.1 -           6.2e-280  921.6  23.2  6.9e-280  921.5  23.2   1.0   1   0   0   1   1   1   1 -
WP_007110063.1@GCF_000731985.1 -          WP_008456193.1@GCF_000337175.1 -           2.6e-270  889.9  24.4  2.9e-270  889.7  24.4   1.0   1   0   0   1   1   1   1 -
WP_006183076.1@GCF_000230735.2 -          WP_008456193.1@GCF_000337175.1 -           2.3e-235  774.8  20.6  2.5e-235  774.7  20.6   1.0   1   0   0   1   1   1   1 -
WP_008456194.1@GCF_000337175.1    -          WP_008456194.1@GCF_000337175.1 -           3.9e-176  577.0  10.9  4.4e-176  576.8  10.9   1.0   1   0   0   1   1   1   1 -
WP_007110064.1@GCF_000731985.1    -          WP_008456194.1@GCF_000337175.1 -           4.2e-164  537.6  10.9  4.7e-164  537.4  10.9   1.0   1   0   0   1   1   1   1 -
WP_006183075.1@GCF_000230735.2    -          WP_008456194.1@GCF_000337175.1 -           2.5e-138  453.1   6.7  2.8e-138  453.0   6.7   1.0   1   0   0   1   1   1   1 -
