#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_PPQH01000083.1_2@GCF_002902385.1 -            228 TIGR04449            TIGR04449     69   5.8e-10   33.7  15.9   1   1   4.8e-11     8e-10   33.2  15.9     4    64   172   227   170   227 0.95 -
NZ_LR134263.1_321@GCF_900636325.1   -            122 TIGR04449            TIGR04449     69   6.1e-10   33.6  15.5   1   1   4.7e-11   7.9e-10   33.3  15.5     4    64    66   121    64   121 0.94 -
WP_002456424.1@GCF_006742205.1      -            244 TIGR04449            TIGR04449     69   6.6e-10   33.5  14.7   1   1   6.8e-11   1.1e-09   32.8  14.7     4    64   189   244   187   244 0.95 -
WP_058381518.1@GCF_001465795.2      -            261 TIGR04449            TIGR04449     69   7.5e-10   33.3  15.5   1   1   7.1e-11   1.2e-09   32.7  15.5     2    64   204   261   203   261 0.94 -
WP_103159623.1@GCF_002901945.1      -            244 TIGR04449            TIGR04449     69   8.1e-10   33.2  15.5   1   1   7.2e-11   1.2e-09   32.7  15.5     4    64   189   244   187   244 0.95 -
WP_082233103.1@GCF_900166625.1      -            261 TIGR04449            TIGR04449     69   1.3e-09   32.6  16.5   1   1   1.2e-10   2.1e-09   31.9  16.5     2    64   204   261   203   261 0.94 -
NZ_LR134263.1_320@GCF_900636325.1 -            945 TIGR03061            TIGR03061    164   8.2e-47  152.5   0.7   1   1     2e-48     2e-46  151.2   0.7     2   163    11   172    10   173 0.98 -
WP_179133982.1@GCF_900166625.1    -            740 TIGR03061            TIGR03061    164   1.3e-46  151.8   0.2   1   1   2.8e-48   2.9e-46  150.7   0.2     2   159    11   168    10   173 0.95 -
WP_103370989.1@GCF_002902305.1 -            520 TIGR00231            TIGR00231    164   5.1e-26   85.0   0.0   1   1   4.8e-28   9.6e-26   84.1   0.0     6   128    13   147     8   181 0.89 -
WP_103371000.1@GCF_002902305.1 -            450 TIGR00543            TIGR00543    349  4.7e-109  358.3   0.0   1   1  3.4e-111  6.8e-109  357.8   0.0     2   349   103   444   102   444 0.92 -
WP_179133982.1@GCF_900166625.1    -            740 TIGR03062            TIGR03062    208   3.5e-52  170.6  13.0   1   1   4.8e-54   4.8e-52  170.1  13.0     3   202   521   718   519   724 0.96 -
NZ_LR134263.1_320@GCF_900636325.1 -            945 TIGR03062            TIGR03062    208     9e-50  162.7   7.7   1   1   1.3e-51   1.3e-49  162.2   7.7     3   202   722   922   720   927 0.96 -
WP_082233098.1@GCF_900166625.1 -            455 TIGR00796            TIGR00796    405  1.4e-135  446.0  37.0   1   1  7.9e-138  1.6e-135  445.8  37.0     1   405    14   429    14   429 0.98 -
WP_002489635.1@GCF_006742205.1 -            530 TIGR00224            TIGR00224    532  1.1e-239  790.3   1.9   1   1  6.7e-242  1.4e-239  789.9   1.9    18   523    18   521     2   527 0.97 -
WP_002456429.1@GCF_006742205.1 -            474 TIGR01923            TIGR01923    442  7.7e-171  562.3   0.1   1   1  4.3e-173  8.8e-171  562.1   0.1     1   442    26   461    26   461 0.99 -
WP_070502992.1@GCF_002902305.1 -            312 TIGR00751            TIGR00751    284   1.1e-33  110.4   9.6   1   1   6.5e-36   1.3e-33  110.2   9.6     1   284    19   302    19   302 0.90 -
WP_001829861.1@GCF_006742205.1 -            205 TIGR00779            TIGR00779    193   3.3e-81  265.4  14.4   1   1   1.9e-83   3.8e-81  265.2  14.4     1   193    12   205    12   205 0.99 -
NZ_PPQH01000083.1_3@GCF_002902385.1 -            682 TIGR01511            TIGR01511    542  1.2e-187  618.6  15.7   1   1  3.4e-188  6.8e-186  612.8  15.7     2   542    85   679    84   679 0.90 -
WP_103370990.1@GCF_002902305.1 -            264 TIGR03716            TIGR03716    220   4.3e-90  294.7  12.9   1   1   2.8e-92   5.6e-90  294.3  12.9     1   218    12   256    12   258 0.94 -
WP_103370995.1@GCF_002902305.1 -            329 TIGR00545            TIGR00545    326  5.2e-116  380.9   7.6   1   1  2.9e-118  5.8e-116  380.7   7.6     3   324     2   321     1   323 0.98 -
WP_006183071.1@GCF_000230735.2 -            235 TIGR00021            TIGR00021    218   1.9e-76  249.9   0.1   1   1   3.2e-78   2.2e-76  249.6   0.1     2   217    11   230    10   231 0.94 -
WP_008456198.1@GCF_000337175.1 -            235 TIGR00021            TIGR00021    218     9e-74  241.1   0.1   1   1   1.5e-75     1e-73  240.9   0.1     2   217    11   230    10   231 0.95 -
WP_007110068.1@GCF_000731985.1 -            235 TIGR00021            TIGR00021    218   2.2e-73  239.8   0.0   1   1   3.7e-75   2.5e-73  239.6   0.0     2   217    11   230    10   231 0.94 -
WP_002456355.1@GCF_006742205.1 -            353 TIGR01464            TIGR01464    338  8.7e-128  419.6   0.0   1   1  4.9e-130  9.8e-128  419.4   0.0     2   338    17   349    16   349 0.98 -
WP_110516904.1@GCF_003226345.1 -            475 TIGR00785            TIGR00785    444   1.7e-92  303.9  37.1   1   1   9.8e-95     2e-92  303.8  37.1     7   443    29   468    23   469 0.92 -
NZ_LR134263.1_316@GCF_900636325.1 -            128 TIGR00829            TIGR00829     85   2.4e-36  117.6   0.3   1   1   1.7e-38   3.4e-36  117.1   0.3     2    84     5    86     4    87 0.97 -
WP_058381516.1@GCF_001465795.2 -            147 TIGR02532            TIGR02532     24   5.4e-06   19.8   5.1   1   1   5.4e-08   5.4e-06   19.8   5.1     2    21     5    24     4    27 0.92 -
WP_058381515.1@GCF_001465795.2 -            143 TIGR02532            TIGR02532     24     6e-06   19.6   3.6   1   1   1.4e-07   1.4e-05   18.5   3.6     1    23     4    26     4    27 0.93 -
WP_002457867.1@GCF_006742205.1 -             82 TIGR00278            TIGR00278     75   1.2e-33  108.5   0.2   1   1   6.6e-36   1.3e-33  108.3   0.2     1    73     5    77     5    79 0.95 -
WP_082233112.1@GCF_900166625.1 -            518 TIGR03605            TIGR03605    173   3.9e-64  208.9   0.1   1   1     8e-47   1.6e-44  145.0   0.0     2   171    63   237    62   238 0.92 -
WP_007110048.1@GCF_000731985.1 -            165 TIGR00125            TIGR00125     65   7.4e-19   61.4   0.1   1   1   1.6e-20   1.1e-18   60.9   0.1     1    63    11    73    11    75 0.96 -
WP_006183091.1@GCF_000230735.2 -            163 TIGR00125            TIGR00125     65   1.3e-17   57.4   0.2   1   1   2.8e-19   1.9e-17   56.9   0.2     1    63    11    73    11    75 0.96 -
WP_008456167.1@GCF_000337175.1 -            165 TIGR00125            TIGR00125     65   1.2e-16   54.3   0.1   1   1   2.5e-18   1.7e-16   53.9   0.1     1    63    11    73    11    75 0.96 -
NZ_LR134263.1_317@GCF_900636325.1 -            513 TIGR00848            TIGR00848    129   2.4e-38  124.6   0.7   1   1   1.8e-40   3.5e-38  124.0   0.7     3   129   368   493   366   493 0.95 -
WP_001829846.1@GCF_006742205.1 -            307 TIGR00109            TIGR00109    322   9.4e-82  268.5   0.4   1   1   5.4e-84   1.1e-81  268.3   0.4     4   320     3   306     1   307 0.95 -
WP_058381528.1@GCF_001465795.2 -             65 TIGR01411            TIGR01411     47   3.1e-20   65.2   0.3   1   1   3.7e-22   3.8e-20   64.9   0.3     2    45     4    47     3    49 0.95 -
WP_058381526.1@GCF_001465795.2 -             72 TIGR01411            TIGR01411     47   1.8e-18   59.6   0.9   1   1   2.3e-20   2.3e-18   59.2   0.9     2    44     4    46     3    49 0.94 -
NZ_LR134263.1_323@GCF_900636325.1 -            381 TIGR01766            TIGR01766     82   3.4e-16   53.2   0.2   1   1   1.7e-18   3.4e-16   53.2   0.2     3    82   257   329   255   329 0.96 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /Users/rs1521/workspace/data/TIGR/TIGR.hmm
# Target file:     sequences/gene_context/gene_context_proteins.fasta
# Option settings: hmmsearch -o /dev/null --domtblout sequences/gene_context/tigr.domtblout.txt --cut_ga --cpu 4 /Users/rs1521/workspace/data/TIGR/TIGR.hmm sequences/gene_context/gene_context_proteins.fasta 
# Current dir:     /Users/rs1521/Documents/STAPHC8
# Date:            Sun Sep 14 15:18:43 2025
# [ok]
