LABELS
SEPARATOR COMMA
DATA
WP_148183473.1_GCF_000008665.1,Archaeoglobus fulgidus (WP_148183473.1)
WP_006092146.1_GCF_000383975.1,Natronorubrum tibetense (L9VJX3)
CP040678.1_2475_GCA_005954745.1,Halostella pelagica (CP040678.1_2475)
SKSD01000001.1_94_GCA_007118145.1,SKSH01 sp007118145 (SKSD01000001.1_94)
DARA01000066.1_3_GCA_002503135.1,UBA207 sp002503135 (DARA01000066.1_3)
WP_143311560.1_GCF_900196725.1,Methanoperedens nitroreducens A (WP_143311560.1)
WP_250867346.1_GCF_023684405.1,Methanococcoides seepicolus (WP_250867346.1)
WP_091710089.1_GCF_900100715.1,Methanolobus vulcani (A0A7Z7FCV1)
WP_052722646.1_GCF_000969965.1,Methanosarcina sp000969965 (A0A0E3NKG2)
WP_095644465.1_GCF_002287235.1,Methanosarcina spelaei (A0A2A2HTT2)
WP_014788716.1_GCF_000265525.1,Thermococcus cleftensis (I3ZTP7)
WP_258083318.1_GCF_024707485.1,Thermococcus sp024707485 (WP_258083318.1)
WP_010479029.1_GCF_000258515.1,Thermococcus zilligii (WP_010479029.1)
WAKV01000040.1_2_GCA_015523185.1,Thermococcus sp015523185 (WAKV01000040.1_2)
PWKY01000076.1_62_GCA_003560595.1,PWKY01 sp003560595 (PWKY01000076.1_62)
EQB64365.1_GCA_001856825.1,GCA-001856825 sp001856825 (EQB64365.1)
ATMD01000005.1_21_GCA_001856825.1,GCA-001856825 sp001856825 (EQB64365.1)
WP_148690163.1_GCF_900083515.1,Cuniculiplasma divulgatum (A0A1N5WFV7)
WP_021792159.1_GCF_000011185.1,Thermoplasma volcanium (WP_021792159.1)
DAJC01000023.1_20_GCA_002498845.1,UBA509 sp002498845 (DAJC01000023.1_20)
WP_048057428.1_GCF_000204925.1,Metallosphaera cuprina (WP_048057428.1)
WP_228090750.1_GCF_019710475.1,Glycomyces sp019710475 (A0A8G1J0K7)
WP_201822017.1_GCF_016728505.1,Corynebacterium riegelii (WP_201822017.1)
CALUAK010000087.1_2_GCA_943914015.1,Corynebacterium sp943914015 (CALUAK010000087.1_2)
WP_098354128.1_GCF_002561455.1,Rossellomorea sp002561455 (A0A2A8V226)
WP_016202224.1_GCF_012933555.1,Niallia alba (R9C692)
WP_058381518.1_GCF_001465795.2,Planococcus rifietoensis (A0A0U2Z4M8)
WP_211655516.1_GCF_018283455.1,Planococcus sp018283455 (WP_211655516.1)
WP_211653467.1_GCF_018283455.1,Planococcus sp018283455 (WP_211653467.1)
WP_035542916.1_GCF_000786645.1,Halobacillus sp000786645 (A0A0B0D932)
WP_008634360.1_GCF_000469135.2,Halobacillus sp001592845 (L5NAY5)
WP_220584321.1_GCF_019599545.1,Halobacillus sp019599545 (WP_220584321.1)
WP_082233103.1_GCF_900166625.1,Halobacillus A massiliensis (WP_082233103.1)
WP_091587091.1_GCF_002886255.1,Alteribacillus bidgolensis (A0A1G8NNL8)
WP_110516892.1_GCF_003226345.1,Alteribacter lacisalsi (A0A2W0H8Y2)
WP_212922126.1_GCF_018333235.1,Paucisalibacillus bavariensis (WP_212922126.1)
WP_149453579.1_GCF_900538055.1,Pasteuria penetrans (WP_149453579.1)
WP_103370993.1_GCF_002902305.1,Staphylococcus argensis (A0A2K4FEA0)
WP_103159623.1_GCF_002901945.1,Staphylococcus chromogenes (WP_103159623.1)
NZ_LR134263.1_321_GCF_900636325.1,Staphylococcus delphini (A0A447YVF0)
WP_002456424.1_GCF_006742205.1,Staphylococcus epidermidis (A0A0H2VGU6)
NZ_PPQH01000083.1_2_GCF_002902385.1,Staphylococcus intermedius (A0A380FY09)
NOK57773.1_GCA_013122435.1,AL-N1 sp013122435 (A0A972G812)
WP_008479858.1_GCF_000297255.1,Nitrolancea hollandica (I4EKE5)
WP_008479876.1_GCF_000297255.1,Nitrolancea hollandica (WP_008479876.1)
WP_238538535.1_GCF_000297255.1,Nitrolancea hollandica (WP_238538535.1)
MCK4529253.1_GCA_023131835.1,JAGLZA01 sp023131835 (MCK4529253.1)
