Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	C3_20min_Rep_1	C3_20min_Rep_2	C3_20min_Rep_3	C3_3h_Rep_1	C3_3h_Rep_2	C3_3h_Rep_3	Control_20min_Rep_1	Control_20min_Rep_2	Control_20min_Rep_3	Control_3h_Rep_1	Control_3h_Rep_2	Control_3h_Rep_3
sense	CP000029.1	Genbank	CDS	7397	7936	.	+	0	ID=cds10;Parent=gene10;Dbxref=NCBI_GP:AAW53404.1;Name=AAW53404.1;gbkey=CDS;product=transcriptional regulator%2C putative;protein_id=AAW53404.1;transl_table=11	3858.75	18943.100000000002	2630.0	8122.0	6738.833333333333	19506.033333333333	1480.8333333333333	1026.7833333333333	621.5	360.0	297.0	305.5
sense	CP000029.1	Genbank	CDS	8156	8725	.	+	0	ID=cds11;Parent=gene11;Dbxref=NCBI_GP:AAW53405.1;Name=AAW53405.1;Note=identified by match to protein family HMM PF01381;gbkey=CDS;product=transcriptional regulator%2C Cro/CI family;protein_id=AAW53405.1;transl_table=11	70.0	386.75	151.5	328.25	184.33333333333334	394.75	44.0	59.416666666666664	35.0	49.833333333333336	34.5	36.0
sense	CP000029.1	Genbank	CDS	8913	9542	.	-	0	ID=cds12;Parent=gene12;Dbxref=NCBI_GP:AAW53406.1;Name=AAW53406.1;Note=identified by similarity to OMNI:NTL01SA0199;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53406.1;transl_table=11	411.3333333333333	2094.333333333333	597.3333333333334	1005.0000000000001	888.5833333333333	2096.0333333333333	251.66666666666669	322.5833333333333	185.33333333333334	611.6666666666667	651.5	549.0
sense	CP000029.1	Genbank	CDS	9780	10898	.	+	0	ID=cds13;Parent=gene13;Dbxref=NCBI_GP:AAW53407.1;Name=AAW53407.1;Note=identified by similarity to GP:14245964;gbkey=CDS;product=RND family efflux transporter%2C MFP component;protein_id=AAW53407.1;transl_table=11	56.0	105.58333333333333	68.5	198.58333333333331	118.5	149.52777777777777	52.75	74.33333333333333	38.0	143.5	126.0	109.41666666666666
sense	CP000029.1	Genbank	CDS	10895	11581	.	+	0	ID=cds14;Parent=gene14;Dbxref=NCBI_GP:AAW53414.1;Name=AAW53414.1;Note=identified by match to protein family HMM PF00005;gbkey=CDS;product=ABC transporter%2C ATP-binding protein;protein_id=AAW53414.1;transl_table=11	108.83333333333334	190.25	102.5	350.6666666666667	178.0	314.5	83.5	98.0	60.1	158.5	145.05833333333334	146.33333333333334
sense	CP000029.1	Genbank	CDS	11574	12770	.	+	0	ID=cds15;Parent=gene15;Dbxref=NCBI_GP:AAW53415.1;Name=AAW53415.1;Note=identified by match to protein family HMM PF02687;gbkey=CDS;product=ABC transporter%2C permease protein;protein_id=AAW53415.1;transl_table=11	373.16666666666663	1084.8333333333335	456.53333333333336	1150.4333333333332	759.6666666666667	1253.7333333333333	251.83333333333334	255.26666666666668	171.86666666666667	378.0	367.3666666666667	340.0
sense	CP000029.1	Genbank	CDS	12806	12898	.	+	0	ID=cds16;Parent=gene16;Dbxref=NCBI_GP:AAW53416.1;Name=AAW53416.1;Note=identified by Glimmer2%3B putative;gbkey=CDS;product=hypothetical protein;protein_id=AAW53416.1;transl_table=11	40.5	122.0	82.0	187.0	173.5	141.5	26.5	40.5	29.5	57.0	53.5	42.5
sense	CP000029.1	Genbank	CDS	13768	15813	.	+	0	ID=cds17;Parent=gene17;Dbxref=NCBI_GP:AAW53417.1;Name=AAW53417.1;Note=identified by match to protein family HMM PF04650%3B match to protein family HMM TIGR01168;gbkey=CDS;product=lipase%2C putative;protein_id=AAW53417.1;transl_table=11	99.33333333333334	207.99999999999997	120.5	603.5833333333334	421.5	615.3666666666666	93.8095238095238	88.5	78.47619047619048	50.083333333333336	72.6	40.83333333333333
sense	CP000029.1	Genbank	CDS	15885	16076	.	-	0	ID=cds18;Parent=gene18;Dbxref=NCBI_GP:AAW53418.1;Name=AAW53418.1;Note=identified by similarity to OMNI:SA2726;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53418.1;transl_table=11	49.0	129.25	70.0	170.16666666666669	114.16666666666667	170.14285714285714	46.5	46.0	24.0	30.0	43.0	45.0
sense	CP000029.1	Genbank	CDS	16121	18001	.	-	0	ID=cds19;Parent=gene19;Dbxref=NCBI_GP:AAW53419.1;Name=AAW53419.1;Note=identified by similarity to OMNI:NTL01BH0754%3B match to protein family HMM PF02687;gbkey=CDS;product=ABC transporter%2C permease protein;protein_id=AAW53419.1;transl_table=11	116.41666666666666	569.5	181.25	492.25	312.1666666666666	572.0	100.16666666666666	136.20833333333337	66.28333333333333	66.1547619047619	66.58333333333333	64.41666666666666
sense	CP000029.1	Genbank	CDS	17991	18749	.	-	0	ID=cds20;Parent=gene20;Dbxref=NCBI_GP:AAW53420.1;Name=AAW53420.1;Note=identified by match to protein family HMM PF00005;gbkey=CDS;product=ABC transporter%2C ATP-binding protein;protein_id=AAW53420.1;transl_table=11	42.5	184.0	52.58333333333333	212.16666666666669	107.7	190.33333333333334	30.75	22.666666666666664	20.0	15.6	14.5	13.35
sense	CP000029.1	Genbank	CDS	19043	19423	.	+	0	ID=cds21;Parent=gene21;Dbxref=NCBI_GP:AAW53421.1;Name=AAW53421.1;Note=identified by Glimmer2%3B putative;gbkey=CDS;product=hypothetical protein;protein_id=AAW53421.1;transl_table=11	64.5	345.0	112.0	387.0	266.33333333333337	644.0	63.0	98.5	86.5	76.0	37.0	47.5
sense	CP000029.1	Genbank	CDS	19519	19659	.	-	0	ID=cds22;Parent=gene22;Dbxref=NCBI_GP:AAW53422.1;Name=AAW53422.1;Note=identified by Glimmer2%3B putative;gbkey=CDS;product=hypothetical protein;protein_id=AAW53422.1;transl_table=11	159.0	218.5	234.5	710.2	610.0	607.5	100.0	94.5	57.0	87.0	75.0	76.0
sense	CP000029.1	Genbank	CDS	20149	20727	.	+	0	ID=cds23;Parent=gene23;Dbxref=NCBI_GP:AAW53432.1;Name=AAW53432.1;Note=identified by match to protein family HMM PF00461;gbkey=CDS;product=signal peptidase I;protein_id=AAW53432.1;transl_table=11	496.33333333333337	974.6666666666667	797.5	931.25	647.5	897.3333333333333	379.0	449.5	305.75	305.0	270.0	197.33333333333331
sense	CP000029.1	Genbank	CDS	20789	22153	.	-	0	ID=cds24;Parent=gene24;Dbxref=NCBI_GP:AAW53433.1;Name=AAW53433.1;Note=identified by match to protein family HMM PF00083;gbkey=CDS;product=major facilitator family transporter;protein_id=AAW53433.1;transl_table=11	1611.5	2803.625	2532.3333333333335	4763.666666666666	3371.0	3234.0	1253.0	1263.5	1012.5	382.75	416.33333333333337	318.75
sense	CP000029.1	Genbank	CDS	23557	23814	.	+	0	ID=cds25;Parent=gene25;Dbxref=NCBI_GP:AAW53434.1;Name=AAW53434.1;Note=identified by match to protein family HMM PF04650%3B match to protein family HMM TIGR01168;gbkey=CDS;product=sdrF protein%2C truncation;protein_id=AAW53434.1;transl_table=11	64.0	455.0	100.0	310.0	212.0	635.0	43.0	21.0	20.0	12.0	11.333333333333334	8.0
sense	CP000029.1	Genbank	CDS	23740	23994	.	-	0	ID=cds26;Parent=gene26;Dbxref=NCBI_GP:AAW53435.1;Name=AAW53435.1;gbkey=CDS;product=ABC transporter%2C ATP-binding protein%2C truncation;protein_id=AAW53435.1;transl_table=11	62.0	117.5	81.0	147.0	78.0	122.5	47.0	44.5	24.0	63.0	40.0	33.5
sense	CP000029.1	Genbank	CDS	24022	24756	.	-	0	ID=cds27;Parent=gene27;Dbxref=NCBI_GP:AAW53436.1;Name=AAW53436.1;Note=identified by similarity to OMNI:SA0421;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53436.1;transl_table=11	24.083333333333336	107.33333333333334	30.642857142857142	89.0	67.5	93.5	23.0	22.0	14.866666666666667	59.0	29.25	31.833333333333336
sense	CP000029.1	Genbank	CDS	24753	24956	.	-	0	ID=cds28;Parent=gene28;Dbxref=NCBI_GP:AAW53437.1;Name=AAW53437.1;Note=identified by match to protein family HMM PF01381;gbkey=CDS;product=transcriptional regulator%2C Cro/CI family;protein_id=AAW53437.1;transl_table=11	44.111111111111114	132.83333333333331	53.0	220.0	143.75	278.75	45.5	26.2	26.0	200.5	91.0	109.0
sense	CP000029.1	Genbank	CDS	25242	25442	.	+	0	ID=cds29;Parent=gene29;Dbxref=NCBI_GP:AAW53438.1;Name=AAW53438.1;Note=identified by similarity to OMNI:NTL01SA2428;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53438.1;transl_table=11	132.33333333333331	696.1428571428571	119.2	298.5	221.5	944.0	124.0	118.0	76.5	51.0	32.5	47.25
sense	CP000029.1	Genbank	CDS	25560	25652	.	-	0	ID=cds30;Parent=gene30;Dbxref=NCBI_GP:AAW53439.1;Name=AAW53439.1;Note=identified by Glimmer2%3B putative;gbkey=CDS;product=hypothetical protein;protein_id=AAW53439.1;transl_table=11	1.0	7.0	3.0	17.5	8.0	16.0	6.0	1.0	2.0	3.0	5.0	11.0
sense	CP000029.1	Genbank	CDS	26288	27472	.	+	0	ID=cds31;Parent=gene31;Dbxref=NCBI_GP:AAW53454.1;Name=AAW53454.1;Note=identified by match to protein family HMM PF00108%3B match to protein family HMM PF02803%3B match to protein family HMM TIGR01930;gbkey=CDS;product=acetyl-CoA acetyltransferase;protein_id=AAW53454.1;transl_table=11	6081.333333333334	13879.333333333334	4592.25	3738.25	1876.4916666666668	5137.533333333333	3897.5	2582.25	1989.0	2361.833333333333	1954.4166666666665	1558.7916666666665
sense	CP000029.1	Genbank	CDS	27690	28433	.	-	0	ID=cds32;Parent=gene32;Dbxref=NCBI_GP:AAW53455.1;Name=AAW53455.1;Note=identified by similarity to OMNI:SA0427%3B match to protein family HMM PF04199;gbkey=CDS;product=cyclase%2C putative;protein_id=AAW53455.1;transl_table=11	134.66666666666669	657.4	135.25	443.2	251.84285714285713	602.0	85.20833333333333	57.125	34.5	41.45833333333333	37.2	36.166666666666664
sense	CP000029.1	Genbank	CDS	28455	30701	.	-	0	ID=cds33;Parent=gene33;Dbxref=NCBI_GP:AAW53410.1;Name=AAW53410.1;Note=identified by similarity to SP:P80877%3B match to protein family HMM PF01717%3B match to protein family HMM TIGR01371;gbkey=CDS;gene=metE;product=5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase;protein_id=AAW53410.1;transl_table=11	53.083333333333336	350.18452380952385	51.166666666666664	194.95	93.86111111111111	335.3666666666666	41.0	52.0	26.916666666666664	56.0	46.45	49.36666666666667
sense	CP000029.1	Genbank	CDS	30698	32536	.	-	0	ID=cds34;Parent=gene34;Dbxref=NCBI_GP:AAW53411.1;Name=AAW53411.1;Note=identified by match to protein family HMM PF02219%3B match to protein family HMM PF02574;gbkey=CDS;product=homocysteine S-methyltransferase/5-methyltetrahydrofolate--homocysteine methyltransferase%2C putative;protein_id=AAW53411.1;transl_table=11	17.0	39.25	21.7	95.16666666666666	60.75	83.5	36.976190476190474	28.583333333333332	20.03333333333333	39.0	36.2	29.2
sense	CP000029.1	Genbank	CDS	32490	33665	.	-	0	ID=cds35;Parent=gene35;Dbxref=NCBI_GP:AAW53412.1;Name=AAW53412.1;Note=identified by match to protein family HMM PF01053;gbkey=CDS;product=trans-sulfuration enzyme family protein;protein_id=AAW53412.1;transl_table=11	9.416666666666666	20.625	8.153846153846153	38.0	29.0	35.66666666666667	12.820512820512821	13.576923076923077	11.487179487179485	24.5	24.076923076923077	8.076923076923077
sense	CP000029.1	Genbank	CDS	33662	34765	.	-	0	ID=cds36;Parent=gene36;Dbxref=NCBI_GP:AAW53413.1;Name=AAW53413.1;Note=identified by match to protein family HMM PF01053;gbkey=CDS;product=trans-sulfuration enzyme family protein;protein_id=AAW53413.1;transl_table=11	8.5	47.86666666666667	20.5	74.0	56.0	188.03333333333333	12.0	3.611111111111111	5.5	20.833333333333332	24.0	10.0
sense	CP000029.1	Genbank	CDS	35494	36336	.	+	0	ID=cds37;Parent=gene37;Dbxref=NCBI_GP:AAW53423.1;Name=AAW53423.1;Note=identified by similarity to EGAD:13122%3B match to protein family HMM PF02195%3B match to protein family HMM TIGR00180;gbkey=CDS;product=spoOJ protein;protein_id=AAW53423.1;transl_table=11	54.75	101.75	70.0	124.5	117.5	129.41666666666666	78.33333333333333	86.83333333333333	54.0	127.5	79.0	104.5
sense	CP000029.1	Genbank	CDS	36497	37372	.	+	0	ID=cds38;Parent=gene38;Dbxref=NCBI_GP:AAW53424.1;Name=AAW53424.1;Note=identified by similarity to OMNI:SA0433%3B match to protein family HMM PF00924;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53424.1;transl_table=11	912.5	2396.583333333333	1201.5	1820.25	1075.2	1930.0833333333333	859.5333333333333	758.0	556.5	420.0	440.5	369.75
sense	CP000029.1	Genbank	CDS	37393	37596	.	+	0	ID=cds39;Parent=gene39;Dbxref=NCBI_GP:AAW53425.1;Name=AAW53425.1;Note=identified by similarity to OMNI:NTL01SA0362;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53425.1;transl_table=11	428.3333333333333	1074.142857142857	639.3333333333334	728.25	356.41666666666663	788.25	652.75	613.0	458.6666666666667	979.0	989.0	726.0
sense	CP000029.1	Genbank	CDS	37608	38705	.	+	0	ID=cds40;Parent=gene40;Dbxref=NCBI_GP:AAW53426.1;Name=AAW53426.1;Note=identified by match to protein family HMM TIGR00092;gbkey=CDS;product=conserved hypothetical protein TIGR00092;protein_id=AAW53426.1;transl_table=11	1773.7333333333333	5173.7	2574.2	2292.1666666666665	1338.5	2450.25	1482.5	1500.0	967.5	1361.0	1608.0	1011.8333333333334
sense	CP000029.1	Genbank	CDS	38938	39129	.	-	0	ID=cds41;Parent=gene41;Dbxref=NCBI_GP:AAW53427.1;Name=AAW53427.1;Note=identified by similarity to OMNI:NTL01SA0364;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53427.1;transl_table=11	35.0	84.33333333333333	90.0	116.5	121.0	99.5	43.0	38.166666666666664	40.0	70.0	81.5	67.0
sense	CP000029.1	Genbank	CDS	39203	40012	.	-	0	ID=cds42;Parent=gene42;Dbxref=NCBI_GP:AAW53428.1;Name=AAW53428.1;gbkey=CDS;product=lysozyme domain protein;protein_id=AAW53428.1;transl_table=11	26.833333333333336	67.0	46.5	183.86666666666667	141.0	189.75	26.5	29.0	22.75	22.392857142857142	37.64285714285714	16.0
sense	CP000029.1	Genbank	CDS	40397	40693	.	+	0	ID=cds43;Parent=gene43;Dbxref=NCBI_GP:AAW53429.1;Name=AAW53429.1;Note=identified by match to protein family HMM PF01250%3B match to protein family HMM TIGR00166;gbkey=CDS;gene=rpsF;product=ribosomal protein S6;protein_id=AAW53429.1;transl_table=11	13804.333333333334	62696.375	9403.833333333334	12947.25	5591.75	20397.392857142855	8524.5	5360.0	3631.0	2419.5	2805.0	1852.5
sense	CP000029.1	Genbank	CDS	40716	41225	.	+	0	ID=cds44;Parent=gene44;Dbxref=NCBI_GP:AAW53430.1;Name=AAW53430.1;Note=identified by similarity to EGAD:17778%3B match to protein family HMM PF00436%3B match to protein family HMM TIGR00621;gbkey=CDS;gene=ssb;product=single-stranded DNA-binding protein;protein_id=AAW53430.1;transl_table=11	26306.666666666664	137980.78333333333	16804.5	25312.5	10007.5	48085.7	15385.333333333332	9731.0	6292.5	3023.2	4022.0	2665.5
sense	CP000029.1	Genbank	CDS	41270	41512	.	+	0	ID=cds45;Parent=gene45;Dbxref=NCBI_GP:AAW53431.1;Name=AAW53431.1;Note=identified by match to protein family HMM PF01084%3B match to protein family HMM TIGR00165;gbkey=CDS;gene=rpsR;product=ribosomal protein S18;protein_id=AAW53431.1;transl_table=11	48018.64285714286	98382.95952380949	59046.000000000015	39487.416666666664	28824.533333333333	39643.22619047619	31631.833333333325	34464.17619047619	26035.03333333333	7273.0	11459.000000000002	7534.666666666666
sense	CP000029.1	Genbank	CDS	41982	42242	.	-	0	ID=cds46;Parent=gene47;Dbxref=NCBI_GP:AAW53440.1;Name=AAW53440.1;Note=identified by Glimmer2%3B putative;gbkey=CDS;product=hypothetical protein;protein_id=AAW53440.1;transl_table=11	140.0	758.0	199.0	418.0	304.0	630.0	110.0	137.0	125.0	57.0	47.0	55.0
sense	CP000029.1	Genbank	CDS	42464	42718	.	+	0	ID=cds47;Parent=gene48;Dbxref=NCBI_GP:AAW53441.1;Name=AAW53441.1;Note=identified by similarity to OMNI:SA0446%3B match to protein family HMM PF04226;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53441.1;transl_table=11	10108.333333333334	9259.833333333332	13899.95	29353.47619047619	12713.47619047619	14750.625	7739.533333333333	7439.25	6071.5	19764.7	17189.0	21430.916666666664
sense	CP000029.1	Genbank	CDS	42835	42930	.	+	0	ID=cds48;Parent=gene49;Dbxref=NCBI_GP:AAW53442.1;Name=AAW53442.1;Note=identified by Glimmer2%3B putative;gbkey=CDS;product=hypothetical protein;protein_id=AAW53442.1;transl_table=11	476.27777777777777	489.16666666666663	719.3333333333333	1384.3333333333335	723.0	636.0	323.25	346.5	254.5	819.0	635.25	649.5
sense	CP000029.1	Genbank	CDS	43190	43822	.	+	0	ID=cds49;Parent=gene50;Dbxref=NCBI_GP:AAW53443.1;Name=AAW53443.1;Note=identified by match to protein family HMM PF01810;gbkey=CDS;product=efflux protein%2C LysE family;protein_id=AAW53443.1;transl_table=11	387.33333333333337	1040.25	712.75	1372.8333333333335	539.5833333333333	861.0	269.25	269.0	200.5	126.0	96.83333333333334	114.5
sense	CP000029.1	Genbank	CDS	43843	44433	.	+	0	ID=cds50;Parent=gene51;Dbxref=NCBI_GP:AAW53444.1;Name=AAW53444.1;Note=identified by match to protein family HMM PF00300;gbkey=CDS;product=phosphoglycerate mutase family protein;protein_id=AAW53444.1;transl_table=11	312.0	2004.5	348.6428571428571	869.3333333333334	407.0	1579.5	186.14285714285714	197.75	91.5	120.64285714285714	65.0	96.5
sense	CP000029.1	Genbank	CDS	44849	45079	.	-	0	ID=cds51;Parent=gene53;Dbxref=NCBI_GP:AAW53445.1;Name=AAW53445.1;Note=identified by similarity to OMNI:NTL01SA0377;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53445.1;transl_table=11	163.33333333333334	274.0	223.0	246.5	189.5	190.0	79.0	101.0	81.0	270.5769230769231	254.0	250.0
sense	CP000029.1	Genbank	CDS	45180	45278	.	+	0	ID=cds52;Parent=gene54;Dbxref=NCBI_GP:AAW53446.1;Name=AAW53446.1;Note=identified by Glimmer2%3B putative;gbkey=CDS;product=hypothetical protein;protein_id=AAW53446.1;transl_table=11	208.0	256.0	157.0	384.5	230.5	290.5	74.0	61.5	37.0	27.0	34.0	29.0
sense	CP000029.1	Genbank	CDS	45300	45425	.	+	0	ID=cds53;Parent=gene55;Dbxref=NCBI_GP:AAW53447.1;Name=AAW53447.1;Note=identified by Glimmer2%3B putative;gbkey=CDS;product=hypothetical protein;protein_id=AAW53447.1;transl_table=11	92.5	225.0	99.9	257.0	135.0	195.0	54.0	37.2	33.03333333333333	31.5	27.0	25.833333333333332
sense	CP000029.1	Genbank	CDS	45446	46069	.	-	0	ID=cds54;Parent=gene56;Dbxref=NCBI_GP:AAW53448.1;Name=AAW53448.1;Note=identified by similarity to OMNI:SA0449;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53448.1;transl_table=11	80.0	110.08333333333333	105.125	203.74999999999997	144.0	207.15	79.5	99.0	58.16666666666667	438.25	437.2	400.33333333333337
sense	CP000029.1	Genbank	CDS	46212	46340	.	+	0	ID=cds55;Parent=gene57;Dbxref=NCBI_GP:AAW53449.1;Name=AAW53449.1;Note=identified by Glimmer2%3B putative;gbkey=CDS;product=hypothetical protein;protein_id=AAW53449.1;transl_table=11	245.16666666666666	456.0	366.5	915.5	516.0	557.0	105.0	90.0	76.0	30.0	32.5	24.0
sense	CP000029.1	Genbank	CDS	46330	47853	.	-	0	ID=cds56;Parent=gene58;Dbxref=NCBI_GP:AAW53450.1;Name=AAW53450.1;Note=identified by similarity to EGAD:30995%3B match to protein family HMM PF00070;gbkey=CDS;gene=ahpF;product=alkyl hydroperoxide reductase%2C F subunit;protein_id=AAW53450.1;transl_table=11	71662.86666666667	161823.28174603177	42498.541666666664	71264.11071428569	33918.45238095238	100198.66666666666	43918.759523809524	25260.499999999996	18952.0	15894.400000000001	16704.86666666667	12819.083333333332
sense	CP000029.1	Genbank	CDS	47868	48437	.	-	0	ID=cds57;Parent=gene59;Dbxref=NCBI_GP:AAW53451.1;Name=AAW53451.1;Note=identified by similarity to EGAD:37649%3B match to protein family HMM PF00578;gbkey=CDS;gene=ahpC;product=alkyl hydroperoxide reductase%2C C subunit;protein_id=AAW53451.1;transl_table=11	4219.25	19329.25	3506.0	6635.5	2886.0	9311.75	3358.0	3097.5	1980.5	2350.0	2250.0	1910.5
sense	CP000029.1	Genbank	CDS	48882	49661	.	-	0	ID=cds58;Parent=gene60;Dbxref=NCBI_GP:AAW53452.1;Name=AAW53452.1;Note=identified by match to protein family HMM PF01689;gbkey=CDS;product=2-keto-4-pentenoate hydratase%2C putative;protein_id=AAW53452.1;transl_table=11	122.33333333333333	279.75	181.0	1265.45	885.5833333333334	1138.5	124.75	108.5	89.83333333333333	135.0	113.0	116.0
sense	CP000029.1	Genbank	CDS	49802	50557	.	+	0	ID=cds59;Parent=gene61;Dbxref=NCBI_GP:AAW53453.1;Name=AAW53453.1;Note=identified by similarity to EGAD:18715%3B match to protein family HMM PF00881;gbkey=CDS;product=NAD(P)H-flavin oxidoreductase%2C putative;protein_id=AAW53453.1;transl_table=11	729.2833333333334	888.1666666666667	743.3666666666668	1321.75	763.0833333333334	1013.1666666666667	552.8333333333338	344.3166666666666	256.4166666666667	724.0000000000005	537.0833333333335	486.2499999999999
sense	CP000029.1	Genbank	CDS	50679	52067	.	-	0	ID=cds60;Parent=gene62;Dbxref=NCBI_GP:AAW53462.1;Name=AAW53462.1;Note=identified by match to protein family HMM PF00375;gbkey=CDS;product=sodium:dicarboxylate symporter family protein;protein_id=AAW53462.1;transl_table=11	51534.950000000004	79918.08333333334	17517.066666666666	65817.91666666666	26051.283333333333	71695.40833333333	26902.366666666665	9241.033333333333	7860.0	5794.333333333334	4603.083333333334	3673.5
sense	CP000029.1	Genbank	CDS	52376	53278	.	-	0	ID=cds61;Parent=gene63;Dbxref=NCBI_GP:AAW53463.1;Name=AAW53463.1;Note=identified by similarity to OMNI:SA0455;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53463.1;transl_table=11	1411.0	2105.5519230769232	1758.3916666666667	2478.25	1292.75	1866.75	1221.0	1302.0	846.0	1236.75	1143.0714285714284	916.8333333333334
