assembly_accession,accession,ambiguous_bases,checkm_completeness,checkm_contamination,checkm_marker_count,checkm_marker_lineage,checkm_marker_set_count,checkm_strain_heterogeneity,coding_bases,coding_density,contig_count,gc_count,gc_percentage,genome_size,gtdb_genome_representative,gtdb_representative,gtdb_taxonomy,gtdb_type_designation_ncbi_taxa,gtdb_type_designation_ncbi_taxa_sources,gtdb_type_species_of_genus,l50_contigs,l50_scaffolds,longest_contig,longest_scaffold,lsu_23s_contig_len,lsu_23s_count,lsu_23s_length,lsu_23s_query_id,lsu_5s_contig_len,lsu_5s_count,lsu_5s_length,lsu_5s_query_id,lsu_silva_23s_blast_align_len,lsu_silva_23s_blast_bitscore,lsu_silva_23s_blast_evalue,lsu_silva_23s_blast_perc_identity,lsu_silva_23s_blast_subject_id,lsu_silva_23s_taxonomy,mean_contig_length,mean_scaffold_length,mimag_high_quality,mimag_low_quality,mimag_medium_quality,n50_contigs,n50_scaffolds,ncbi_assembly_level,ncbi_assembly_name,ncbi_assembly_type,ncbi_bioproject,ncbi_biosample,ncbi_contig_count,ncbi_contig_n50,ncbi_country,ncbi_date,ncbi_genbank_assembly_accession,ncbi_genome_category,ncbi_genome_representation,ncbi_isolate,ncbi_isolation_source,ncbi_lat_lon,ncbi_molecule_count,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_refseq_category,ncbi_rrna_count,ncbi_scaffold_count,ncbi_scaffold_l50,ncbi_scaffold_n50,ncbi_scaffold_n75,ncbi_scaffold_n90,ncbi_seq_rel_date,ncbi_spanned_gaps,ncbi_species_taxid,ncbi_ssu_count,ncbi_strain_identifiers,ncbi_submitter,ncbi_taxid,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_total_gap_length,ncbi_total_length,ncbi_translation_table,ncbi_trna_count,ncbi_type_material_designation,ncbi_ungapped_length,ncbi_unspanned_gaps,ncbi_wgs_master,protein_count,scaffold_count,ssu_contig_len,ssu_count,ssu_gg_blast_align_len,ssu_gg_blast_bitscore,ssu_gg_blast_evalue,ssu_gg_blast_perc_identity,ssu_gg_blast_subject_id,ssu_gg_taxonomy,ssu_length,ssu_query_id,ssu_silva_blast_align_len,ssu_silva_blast_bitscore,ssu_silva_blast_evalue,ssu_silva_blast_perc_identity,ssu_silva_blast_subject_id,ssu_silva_taxonomy,total_gap_length,trna_aa_count,trna_count,trna_selenocysteine_count,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species
GCF_002243045.1,RS_GCF_002243045.1,0,99.67,2.61,228,p__Euryarchaeota (UID49),153,0.0,2735775,86.44600898467827,106,1307940,41.32876168230944,3164721,RS_GCF_002243045.1,t,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrotolerans,type strain of species,LPSN,f,14,14,225737,225737,2027,1,1961,NZ_MBKP01000085.1,74589,3,329,NZ_MBKP01000017.1,1960,3369,0,97.704,FOUJ01000018.349.3256,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanolobus;Methanolobus profundi,29855,29855,t,f,f,74804,74804,Contig,ASM224304v1,na,PRJNA224116,SAMN05413111,106,74804,Russia: Lake Shira,2017-08-07,GCA_002243045.1,none,full,none,lake sediments,none,0,0,Methanolobus psychrotolerans,2989,representative genome,7,none,none,none,none,none,2017/08/07,0,1874706,1,YSF-03,National Chung Hsing University,1874706,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrotolerans,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrotolerans,0,3164721,11,48,assembly from type material,3164721,0,MBKP00000000.1,3052,106,1799,1,1443,2632,0,99.584,108529,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__,1474,NZ_MBKP01000079.1,1443,2632,0,99.584,AY570664.1.1443,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanolobus;uncultured archaeon,0,19,48,0,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus psychrotolerans
GCA_003194435.1,GB_GCA_003194435.1,0,88.24,1.96,228,p__Euryarchaeota (UID49),153,66.67,1624785,89.97336989596594,47,824316,45.844998748644365,1805851,GB_GCA_003194435.1,t,d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__ANME-1;f__ANME-1;g__G60ANME1;s__G60ANME1 sp003194435,not type material,none,f,9,6,146371,243235,124751,1,2909,PQXC01000004.1,10354,1,118,PQXC01000021.1,2925,3831,0,90.462,CR937008.52600.55543,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;uncultured;uncultured archaeon,38256,47522,f,f,t,81617,88519,Scaffold,ASM319443v1,na,PRJNA418316,SAMN08434988,47,81617,Mexico: Guaymas Basin; Gulf of California,2018-06-06,GCA_003194435.1,derived from metagenome,full,G60ANME1,hydrothermal sediments,27.100437 N 111.124548 W,0,0,Methanophagales archaeon,1828,na,3,38,6,88519,70255,36926,2018/06/06,9,2056316,1,G60ANME1,Max Planck Institute for Marine Microbiolgy,2056316,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanophagales;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanophagales;x__unclassified Methanophagales;s__Methanophagales archaeon,7801,1805851,11,44,none,1798050,0,PQXC00000000.1,1870,38,124751,1,none,none,none,none,none,none,1487,PQXC01000004.1,1487,2747,0,100,KT795322.1.1487,Archaea;Halobacterota;ANME-1;uncultured archaeon,7801,18,44,0,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,G60ANME1,G60ANME1 sp003194435
GCA_003160755.1,GB_GCA_003160755.1,0,81.24,2.97,228,p__Euryarchaeota (UID49),153,66.67,1635336,86.11904103637585,344,821367,43.30475933891949,1898925,GB_GCA_003160755.1,t,d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__ANME-1;f__ANME-1;g__QEXZ01;s__QEXZ01 sp003160755,not type material,none,f,62,56,43019,43019,23090,1,2932,QEXZ01000011.1,11391,1,116,QEXZ01000040.1,2899,5288,0,99.586,AY714848.22300.25198,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;uncultured;uncultured archaeon GZfos27G5,5513,5915,f,f,t,8700,9639,Scaffold,ASM316075v1,na,PRJNA454851,SAMN09045419,344,8700,Denmark: Aarhus Bay Station M5,2018-05-25,GCA_003160755.1,derived from metagenome,full,M5.MMPM,marine sediment,56.1033 N 10.4578 E,0,none,Methanomicrobiales archaeon,0,na,none,321,56,9639,4766,2573,2018/05/25,23,2184052,none,M5.MMPM,Aarhus University,2184052,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanomicrobiales;x__unclassified Methanomicrobiales;s__Methanomicrobiales archaeon,2212,1898925,none,none,none,1896713,0,QEXZ00000000.1,2352,321,23090,1,none,none,none,none,none,none,1479,QEXZ01000011.1,1466,2625,0,98.977,AY714817.10979.12458,Archaea;Halobacterota;ANME-1;ANME-1a;uncultured archaeon GZfos12E1,2212,18,44,0,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,QEXZ01,QEXZ01 sp003160755
GCF_003719335.1,RS_GCF_003719335.1,0,99.85,0.74,468,f__Paenibacillaceae (UID973),170,0.0,5780854,85.43440375595736,67,3091421,45.688716438663086,6766424,RS_GCF_003719335.1,t,d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus amylolyticus_D,not type material,none,f,7,7,873597,873597,2479,8,2467,NZ_RIAS01000037.1,414,5,112,NZ_RIAS01000059.1,2467,4506,0,99.635,ATSZ01000022.555.3485,Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Mannheimia haemolytica MhBrain2012,100989,104098,f,f,t,325177,325177,Scaffold,ASM371933v1,na,PRJNA224116,SAMN10343523,67,325177,none,2018-11-09,GCA_003719335.1,none,full,none,none,none,0,1,Paenibacillus amylolyticus,none,na,24,65,7,325177,177010,102136,2018/11/09,2,1451,10,27C64,University of Georgia,1451,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus amylolyticus,d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus amylolyticus,156,6766424,11,113,none,6766268,0,RIAS00000000.1,5850,65,930,2,none,none,none,none,none,none,914,NZ_RIAS01000043.1,902,1609,0,98.891,AAAA02049656.53.1588,Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Oryza sativa Indica Group (long-grained rice),156,19,116,0,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus amylolyticus D
GCA_013180605.1,GB_GCA_013180605.1,0,80.8,2.94,228,p__Euryarchaeota (UID49),153,16.67,2029810,86.58546209185316,193,999746,42.65679394563376,2344285,GB_GCA_013180605.1,t,d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__ANME-1;f__ANME-1;g__QEXZ01;s__QEXZ01 sp013180605,not type material,none,f,37,37,86823,86823,20232,1,2936,QBUL01000156.1,18095,1,115,QBUL01000148.1,2913,5214,0,98.97,AY714817.7721.10633,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;uncultured;uncultured archaeon GZfos12E1,12143,12403,f,f,t,19786,19786,Scaffold,ASM1318060v1,na,PRJNA431796,SAMN08574220,193,19786,Atlantic Ocean: Gulf of Mexico,2020-05-28,GCA_013180605.1,derived from single cell,full,GoMg1,2 single cells amplified by MDA; marine sediment,21.8999 N 93.4352 W,0,0,ANME-1 cluster archaeon GoMg1,none,na,3,189,37,19786,11245,5473,2020/05/28,4,2081359,1,GoMg1,California Institute of Technology,2081359,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanophagales;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanophagales;x__unclassified Methanophagales;s__ANME-1 cluster archaeon GoMg1,588,2344285,11,34,none,2343697,0,QBUL00000000.1,2616,189,20232,1,none,none,none,none,none,none,1479,QBUL01000156.1,1466,2647,0,99.25,AY714817.10979.12458,Archaea;Halobacterota;ANME-1;ANME-1a;uncultured archaeon GZfos12E1,588,18,38,0,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,QEXZ01,QEXZ01 sp013180605
GCF_004339095.1,RS_GCF_004339095.1,15,99.33,0.24,263,o__Clostridiales (UID1212),149,0.0,2603619,87.25103927373993,19,962989,32.27131673838152,2984055,RS_GCF_004339095.1,t,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__DSM-24629;g__Natranaerovirga;s__Natranaerovirga hydrolytica,type strain of species,LPSN,f,2,2,1207265,1207265,1315,1,1265,NZ_SMGQ01000009.1,27996,1,96,NZ_SMGQ01000002.1,1269,1956,0,94.641,JQGR01000685.61.2966,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;bioreactor metagenome,157055,157055,f,f,t,437775,437775,Contig,ASM433909v1,na,PRJNA224116,SAMN10363438,19,437775,none,2019-03-11,GCA_004339095.1,none,full,none,none,none,0,2,Natranaerovirga hydrolytica,none,representative genome,7,none,none,none,none,none,2019/03/11,0,680378,5,DSM 24176,DOE Joint Genome Institute,680378,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__;g__Natranaerovirga;s__Natranaerovirga hydrolytica,d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;x__Eubacteriales incertae sedis;g__Natranaerovirga;s__Natranaerovirga hydrolytica,0,2984055,11,47,assembly from type material,2984055,0,SMGQ00000000.1,2779,19,1444,2,none,none,none,none,none,none,1437,NZ_SMGQ01000008.1,1422,2571,0,99.297,GQ863487.1.1487,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Natranaerovirga;Natranaerovirga hydrolytica,0,18,47,0,Bacteria,Bacillota A,Clostridia,Lachnospirales,DSM-24629,Natranaerovirga,Natranaerovirga hydrolytica
GCF_013359905.1,RS_GCF_013359905.1,0,99.85,0.92,468,f__Paenibacillaceae (UID973),170,0.0,6215137,85.92241660213988,122,3306294,45.70852910839382,7233429,RS_GCF_013359905.1,t,d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus taichungensis,type strain of species,LPSN,f,5,5,1140002,1140002,1371,13,1354,NZ_JABMCC010000053.1,337,16,112,NZ_JABMCC010000036.1,1353,2499,0,100,AWUJ01000072.48.2976,Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sp. MAEPY1,59290,59290,f,f,t,400372,400372,Contig,ASM1335990v1,na,PRJNA224116,SAMN14931884,122,400372,Taiwan: Taichung City,2020-06-18,GCA_013359905.1,none,full,none,soil,none,0,1,Paenibacillus taichungensis,none,representative genome,82,none,none,none,none,none,2020/06/18,0,484184,33,DSM 19942,Indigo Agriculture,484184,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus taichungensis,d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus taichungensis,0,7233429,11,102,assembly from type material,7233429,0,JABMCC000000000.1,6524,122,860,15,none,none,none,none,none,none,859,NZ_JABMCC010000039.1,859,1587,0,100,KT964811.1.1462,Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sp.,0,19,105,0,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus taichungensis
GCF_904067545.1,RS_GCF_904067545.1,0,100.0,0.0,299,p__Euryarchaeota (UID4),202,0.0,1852941,91.6150522439975,1,1104902,54.62972347986111,2022529,RS_GCF_904067545.1,t,d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus camini,type strain of species,LPSN,f,1,1,2022529,2022529,2022529,1,3011,NZ_LR881183.1,2022529,2,104,NZ_LR881183.1,2984,5465,0,99.732,CP002920.1625737.1628725,Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus sp. 4557,2022529,2022529,t,f,f,2022529,2022529,Complete Genome,T_caminus_IRI35c,na,PRJNA224116,SAMEA104149385,none,none,Atlantic Ocean,2020-09-11,GCA_904067545.1,none,full,none,deep-sea hydrothermal vent,none,1,0,Thermococcus camini,none,representative genome,4,1,1,2022529,2022529,2022529,2020/09/11,0,2016373,1,IRI35c,Universite de Bretagne Occidentale,2016373,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus camini,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus camini,0,2022529,11,46,assembly from type material,2022529,0,none,2174,1,2022529,1,none,none,none,none,none,none,1486,NZ_LR881183.1,1486,2717,0,99.664,AB107768.1.1486,Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus celericrescens,0,19,46,0,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus camini
GCF_019633745.1,RS_GCF_019633745.1,0,98.04,0.65,234,p__Euryarchaeota (UID54),153,0.0,2456041,82.8087127067781,2,1788907,60.31728744890128,2965921,RS_GCF_019633745.1,t,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanofollaceae;g__Methanofollis;s__Methanofollis formosanus,type strain of species,LPSN,f,1,1,2139604,2965921,2965921,1,2899,NZ_CP037968.1,2965921,1,527,NZ_CP037968.1,2893,4564,0,95.161,BCNW01000001.2614601.2617506,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanofollis;Methanofollis ethanolicus,1482914,2965921,t,f,f,2139604,2965921,Chromosome,ASM1963374v1,na,PRJNA224116,SAMN11125589,2,2139604,Taiwan: Wang-gong; Changhua County,2021-08-16,GCA_019633745.1,none,full,none,aquaculture fishpond,none,1,0,Methanofollis formosanus,none,representative genome,4,1,1,2965921,2965921,2965921,2021/08/16,1,299308,1,ML15,National Chung Hsing University,299308,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis;s__Methanofollis formosanus,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis;s__Methanofollis formosanus,93,2965921,11,51,assembly from type material,2965828,0,none,2672,1,2965921,1,none,none,none,none,none,none,1467,NZ_CP037968.1,1286,2364,0,99.844,AY186542.1.1287,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;Methanofollis formosanus,93,19,51,0,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanofollaceae,Methanofollis,Methanofollis formosanus
GCA_002009975.1,GB_GCA_002009975.1,1,100.0,1.24,299,p__Euryarchaeota (UID4),202,0.0,2169339,91.82982008993598,44,900673,38.12621013179272,2362347,GB_GCA_002009975.1,t,d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus_C;s__Thermococcus_C sp002009975,not type material,none,f,6,6,337916,337916,none,0,none,none,none,0,none,none,none,none,none,none,none,none,53689,53689,f,f,t,135395,135395,Contig,ASM200997v1,na,PRJNA269163,SAMN06226319,44,135395,Pacific Ocean,2017-03-02,GCA_002009975.1,derived from metagenome,full,JdFR-02,basaltic crustal fluids,47.76 N 127.76 W,0,none,Thermococcus sp. JdFR-02,0,na,none,none,none,none,none,none,2017/03/02,0,1935003,none,JdFR-02,University of Hawaii,1935003,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;x__unclassified Thermococcus;s__Thermococcus sp. JdFR-02,0,2362347,none,none,none,2362347,0,MTLP00000000.1,2602,44,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,19,45,0,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus C,Thermococcus C sp002009975
GCA_944320495.1,GB_GCA_944320495.1,0,92.02,0.13,187,p__Euryarchaeota (UID3),124,66.67,1582909,89.49086213544369,14,1090105,61.62984496781423,1768794,GB_GCA_944320495.1,t,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp944320495,not type material,none,f,3,3,551930,551930,none,0,none,none,100608,3,104,CALUHR010000002.1,none,none,none,none,none,none,126342,126342,f,f,t,203312,203312,Contig,E16__bin99,na,PRJEB53581,SAMEA110133897,14,203312,none,2022-06-30,GCA_944320495.1,derived from metagenome,full,E16__bin99,chicken caecal content,none,0,none,Candidatus Methanomethylophilaceae archaeon,none,na,none,none,none,none,none,none,2022/06/30,0,2517205,none,E16__bin99,Institut National pour la Recherche Agronomique (FRANCE),2517205,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Candidatus Methanomethylophilaceae;g__;s__,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Candidatus Methanomethylophilaceae;x__unclassified Candidatus Methanomethylophilaceae;s__Candidatus Methanomethylophilaceae archaeon,0,1768794,none,none,none,1768794,0,CALUHR000000000.1,1712,14,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,19,47,0,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp944320495
GCF_012027355.1,RS_GCF_012027355.1,0,100.0,1.03,299,p__Euryarchaeota (UID4),202,0.0,1902570,87.7763122018195,403,1140062,52.59750655241633,2167521,RS_GCF_012027355.1,t,d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus sp012027355,not type material,none,f,1,1,1390874,1390874,1390874,1,3013,NZ_SNUH01000001.1,1390874,2,104,NZ_SNUH01000001.1,3018,5299,0,98.41,FOIW01000003.74556.77570,Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus thioreducens,5378,5378,t,f,f,1390874,1390874,Contig,ASM1202735v1,na,PRJNA224116,SAMN10963479,403,1390874,Pacific Ocean,2020-04-03,GCA_012027355.1,none,full,none,Hydrothermal vent,none,0,0,Thermococcus sp. M36,none,na,10,none,none,none,none,none,2020/04/03,0,1638261,7,M36,Western Washington University,1638261,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;x__unclassified Thermococcus;s__Thermococcus sp. M36,0,2167521,11,50,none,2167521,0,SNUH00000000.1,2374,403,1390874,7,none,none,none,none,none,none,1489,NZ_SNUH01000001.1,1489,2704,0,99.463,CP000855.1278100.1279595,Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus onnurineus NA1,0,19,50,0,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027355
GCF_000013725.1,RS_GCF_000013725.1,0,99.35,0.65,228,p__Euryarchaeota (UID49),153,0.0,2192181,85.13218476508253,1,1049534,40.758095433377136,2575032,RS_GCF_000013725.1,t,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides burtonii,type strain of species,LPSN,f,1,1,2575032,2575032,2575032,3,2907,NC_007955.1,2575032,6,116,NC_007955.1,2907,5369,0,100,CP000300.1018878.1021829,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanococcoides;Methanococcoides burtonii DSM 6242,2575032,2575032,t,f,f,2575032,2575032,Complete Genome,ASM1372v1,na,PRJNA224116,SAMN02598545,none,none,none,2006-04-10,GCA_000013725.1,none,full,none,none,none,1,0,Methanococcoides burtonii DSM 6242,2509,representative genome,12,1,1,2575032,2575032,2575032,2006/04/10,0,29291,3,DSM 6242,DOE Joint Genome Institute,259564,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides burtonii,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides burtonii;x__Methanococcoides burtonii DSM 6242,0,2575032,11,51,assembly from type material,2575032,0,none,2616,1,2575032,3,none,none,none,none,none,none,1475,NC_007955.1,1475,2724,0,100,CP000300.1022125.1023600,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanococcoides;Methanococcoides burtonii DSM 6242,0,19,51,0,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii
GCF_000711905.1,RS_GCF_000711905.1,0,100.0,0.0,228,p__Euryarchaeota (UID49),153,0.0,1368042,90.38433967611952,17,826016,54.6638404376199,1513583,RS_GCF_000711905.1,t,d__Archaea;p__Halobacteriota;c__Methanosarcinia_A;o__Methanosarcinales_A;f__Methermicoccaceae;g__Methermicoccus;s__Methermicoccus shengliensis,type strain of species,LPSN,t,3,3,334505,334505,334505,1,2910,NZ_JONQ01000007.1,334505,1,117,NZ_JONQ01000007.1,2907,5369,0,100,JONQ01000007.4575.7492,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methermicoccaceae;Methermicoccus;Methermicoccus shengliensis DSM 18856,88887,100905,t,f,f,255166,287535,Scaffold,ASM71190v1,na,PRJNA224116,SAMN02746094,17,255166,China: Shengli oilfield,2014-06-25,GCA_000711905.1,none,full,none,none,none,0,0,Methermicoccus shengliensis DSM 18856,1598,representative genome,3,15,3,287535,99814,54766,2014/06/25,2,660064,1,DSM 18856,DOE Joint Genome Institute,1122233,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methermicoccaceae;g__Methermicoccus;s__Methermicoccus shengliensis,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methermicoccaceae;g__Methermicoccus;s__Methermicoccus shengliensis;x__Methermicoccus shengliensis DSM 18856,2500,1513583,11,47,assembly from type material,1511083,0,JONQ00000000.1,1612,15,334505,1,1452,2584,0,98.829,137909,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methermicoccaceae;g__;s__,1483,NZ_JONQ01000007.1,1452,2584,0,98.829,AY835420.1.1448,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methermicoccaceae;Methermicoccus;uncultured archaeon,2500,19,48,0,Archaea,Halobacteriota,Methanosarcinia A,Methanosarcinales A,Methermicoccaceae,Methermicoccus,Methermicoccus shengliensis
