#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_JHVN01000001.1_341-Anoxybacillus_A_tepidamans_A -            415 AHH                  PF14412.9    112   2.7e-13   46.4   0.9   1   1   3.6e-16   5.2e-13   45.5   0.3     8   108   312   402   306   406 0.91 -
NZ_CP098518.1_1834-Haloplanus_sp023703795                -            435 Amidohydro_1         PF01979.23   348     2e-74  247.4   4.7   1   1   7.7e-75   2.4e-74  247.1   4.7     1   347    51   398    51   399 0.93 -
NZ_LIUF01000001.1_961-Haloarcula_rubripromontorii        -            432 Amidohydro_1         PF01979.23   348     2e-74  247.4   4.4   1   1   7.5e-75   2.3e-74  247.2   4.4     1   347    53   400    53   401 0.95 -
NZ_CP034145.1_3464-Haloplanus_aerogenes                  -            430 Amidohydro_1         PF01979.23   348   2.3e-74  247.2   4.9   1   1   8.9e-75   2.7e-74  246.9   4.9     1   347    51   398    51   399 0.93 -
JAFWYK010000001.1_5-Scatovivens_sp017517685              -            426 Amidohydro_1         PF01979.23   348   2.5e-74  247.0   0.6   1   1   9.7e-75     3e-74  246.8   0.6     1   347    55   399    55   400 0.94 -
NZ_BIXZ01000002.1_122-Haloarcula_mannanilytica           -            432 Amidohydro_1         PF01979.23   348   2.7e-74  246.9   5.4   1   1     1e-74   3.1e-74  246.7   5.4     1   347    53   400    53   401 0.95 -
NZ_SOSC01000007.1_96-Halorientalis_salina                -            430 Amidohydro_1         PF01979.23   348   3.2e-74  246.7   3.5   1   1   1.2e-74   3.8e-74  246.5   3.5     1   347    51   398    51   399 0.94 -
NZ_JANHDP010000002.1_186-Natronoarchaeum_rubrum          -            449 Amidohydro_1         PF01979.23   348   3.5e-74  246.6   3.9   1   1   1.4e-74   4.1e-74  246.3   3.9     1   347    69   416    69   417 0.94 -
DPJP01000039.1_7-UBA11051_sp003542955                    -            431 Amidohydro_1         PF01979.23   348     4e-74  246.4   0.5   1   1   1.6e-74     5e-74  246.1   0.5     1   346    57   401    57   403 0.91 -
NZ_VSLZ01000001.1_271-Halorussus_sp010747475             -            432 Amidohydro_1         PF01979.23   348   4.8e-74  246.1   2.4   1   1   1.9e-74   5.7e-74  245.9   2.4     1   347    54   401    54   402 0.94 -
NZ_RKLR01000002.1_342-Halomicroarcula_rubra              -            433 Amidohydro_1         PF01979.23   348   4.8e-74  246.1   4.2   1   1   1.8e-74   5.6e-74  245.9   4.2     1   347    53   400    53   401 0.94 -
NZ_JANHAV010000002.1_241-Halobellus_inordinatus          -            435 Amidohydro_1         PF01979.23   348   5.8e-74  245.9   4.7   1   1   2.2e-74   6.7e-74  245.6   4.7     1   347    57   404    57   405 0.93 -
NZ_SSNL01000003.1_95-Salinigranum_halophilum             -            431 Amidohydro_1         PF01979.23   348   7.7e-74  245.4   2.6   1   1     3e-74     9e-74  245.2   2.6     1   347    53   400    53   401 0.93 -
NZ_OBEJ01000003.1_3-Natronoarchaeum_philippinense        -            432 Amidohydro_1         PF01979.23   348   9.9e-74  245.1   2.9   1   1   3.8e-74   1.2e-73  244.9   2.9     1   347    52   399    52   400 0.94 -
NZ_JANHAW010000001.1_1251-Halobellus_litoreus            -            435 Amidohydro_1         PF01979.23   348   1.1e-73  244.9   4.2   1   1   4.2e-74   1.3e-73  244.7   4.2     1   347    57   404    57   405 0.94 -
NC_013202.1_745-Halomicrobium_mukohataei                 -            432 Amidohydro_1         PF01979.23   348   1.2e-73  244.8   3.6   1   1   4.5e-74   1.4e-73  244.6   3.6     1   347    53   400    53   401 0.93 -
NZ_BBJO01000009.1_199-Halobellus_rufus                   -            435 Amidohydro_1         PF01979.23   348   1.6e-73  244.4   3.5   1   1   6.3e-74   1.9e-73  244.1   3.5     1   347    57   404    57   405 0.94 -
NZ_CP098514.1_2639-Haloplanus_sp023703775                -            430 Amidohydro_1         PF01979.23   348   1.6e-73  244.4   4.6   1   1   6.2e-74   1.9e-73  244.2   4.6     1   348    51   399    51   399 0.94 -
NZ_FNKQ01000003.1_635-Halopelagius_longus                -            434 Amidohydro_1         PF01979.23   348   1.7e-73  244.3   4.8   1   1   6.6e-74     2e-73  244.1   4.8     1   347    56   403    56   404 0.93 -
NZ_QPHM01000001.1_1779-Haloplanus_salinus                -            430 Amidohydro_1         PF01979.23   348     2e-73  244.1   6.1   1   1   7.6e-74   2.3e-73  243.9   6.1     1   347    51   398    51   399 0.93 -
NZ_KE386573.1_3065-Haloplanus_natans                     -            430 Amidohydro_1         PF01979.23   348   2.3e-73  243.9   4.8   1   1   8.8e-74   2.7e-73  243.7   4.8     1   348    51   399    51   399 0.93 -
NZ_KB905378.1_1484-Halomicrobium_katesii                 -            432 Amidohydro_1         PF01979.23   348   2.5e-73  243.7   4.3   1   1   9.6e-74   2.9e-73  243.5   4.3     1   347    53   400    53   401 0.93 -
NZ_FOZK01000005.1_111-Halomicrobium_zhouii               -            437 Amidohydro_1         PF01979.23   348   2.7e-73  243.7   2.7   1   1     1e-73   3.1e-73  243.5   2.7     1   347    54   401    54   402 0.93 -
NZ_CP100400.1_3411-Halorussus_sp024218795                -            432 Amidohydro_1         PF01979.23   348   3.1e-73  243.5   2.5   1   1   1.2e-73   3.6e-73  243.2   2.5     1   347    54   401    54   402 0.94 -
NZ_RDQG01000006.1_30-Halalkalicoccus_subterraneus        -            428 Amidohydro_1         PF01979.23   348   3.5e-73  243.3   5.2   1   1   1.4e-73   4.1e-73  243.0   5.2     1   347    51   398    51   399 0.94 -
NZ_SBIT01000002.1_177-Halorussus_ruber                   -            432 Amidohydro_1         PF01979.23   348   4.2e-73  243.0   5.4   1   1   1.6e-73     5e-73  242.8   5.4     1   347    54   401    54   402 0.93 -
SZNP01000001.1_306-Halorussus_sp005239435                -            432 Amidohydro_1         PF01979.23   348   4.7e-73  242.8   3.0   1   1   1.8e-73   5.6e-73  242.6   3.0     1   347    54   401    54   402 0.95 -
NZ_FNPB01000002.1_184-Halobellus_clavatus                -            440 Amidohydro_1         PF01979.23   348   5.8e-73  242.5   5.0   1   1   2.3e-73   6.9e-73  242.3   5.0     1   347    62   409    62   410 0.93 -
NZ_CP031311.1_277-Halobellus_limi                        -            435 Amidohydro_1         PF01979.23   348   6.7e-73  242.3   4.7   1   1   2.6e-73   7.9e-73  242.1   4.7     1   347    57   404    57   405 0.94 -
NZ_CP064791.1_1179-Halapricum_sp017094465                -            428 Amidohydro_1         PF01979.23   348   6.9e-73  242.3   2.2   1   1   2.6e-73   7.9e-73  242.1   2.2     1   347    50   397    50   398 0.94 -
NZ_SRIF01000002.1_102-Halomicroarcula_amylolytica        -            432 Amidohydro_1         PF01979.23   348   7.1e-73  242.3   4.5   1   1   2.7e-73   8.2e-73  242.1   4.5     1   347    53   400    53   401 0.95 -
NZ_CP101153.1_2367-Haloglomus_sp024298825                -            445 Amidohydro_1         PF01979.23   348   7.5e-73  242.2   4.5   1   1   2.9e-73   8.9e-73  241.9   4.5     1   347    61   410    61   411 0.92 -
NZ_CP084463.1_3063-Halomicrobium_salinisoli              -            433 Amidohydro_1         PF01979.23   348   8.7e-73  242.0   1.4   1   1   3.3e-73     1e-72  241.8   1.4     1   348    54   402    54   402 0.96 -
NC_013158.1_1518-Halorhabdus_utahensis                   -            429 Amidohydro_1         PF01979.23   348   8.8e-73  242.0   3.6   1   1   3.4e-73     1e-72  241.7   3.6     2   347    52   398    51   399 0.94 -
NZ_CP044129.1_3154-Halomicrobium_sp009617995             -            432 Amidohydro_1         PF01979.23   348   1.1e-72  241.6   4.1   1   1   4.2e-73   1.3e-72  241.4   4.1     1   347    53   400    53   401 0.95 -
NZ_FNIA01000001.1_93-Haloarchaeobius_iranensis           -            427 Amidohydro_1         PF01979.23   348   1.1e-72  241.6   5.1   1   1   4.6e-73   1.4e-72  241.3   5.1     1   346    50   396    50   398 0.93 -
PXRO01000004.1_102-Halomicrobium_sp003021685             -            433 Amidohydro_1         PF01979.23   348   1.1e-72  241.6   6.7   1   1   4.3e-73   1.3e-72  241.4   6.7     1   347    53   400    53   401 0.92 -
AOLX01000022.1_24-Haloarcula_argentinensis               -            432 Amidohydro_1         PF01979.23   348   1.1e-72  241.6   4.9   1   1   4.3e-73   1.3e-72  241.4   4.9     1   347    53   400    53   401 0.93 -
NZ_JALLPL010000001.1_455-Haloplanus_sp023276355          -            430 Amidohydro_1         PF01979.23   348   1.2e-72  241.5   2.3   1   1   4.6e-73   1.4e-72  241.3   2.3     1   347    51   398    51   399 0.93 -
NC_006396.1_2629-Haloarcula_marismortui                  -            432 Amidohydro_1         PF01979.23   348   1.2e-72  241.5   5.0   1   1   4.7e-73   1.4e-72  241.3   5.0     1   347    53   400    53   401 0.93 -
NZ_VJXQ01000003.1_206-Halobellus_captivus                -            436 Amidohydro_1         PF01979.23   348   1.3e-72  241.4   3.9   1   1   5.1e-73   1.6e-72  241.1   3.9     1   347    57   404    57   405 0.92 -
NZ_VTOJ01000002.1_1537-Salinigranum_salinum              -            434 Amidohydro_1         PF01979.23   348   1.5e-72  241.2   4.9   1   1   5.7e-73   1.7e-72  241.0   4.9     1   347    54   401    54   402 0.94 -
LKNH01000162.1_6-Halovenus_sp001564135                   -            430 Amidohydro_1         PF01979.23   348   1.5e-72  241.2   3.2   1   1   5.9e-73   1.8e-72  240.9   3.2     1   347    52   399    52   400 0.94 -
NZ_FNQT01000003.1_286-Haloplanus_vescus                  -            429 Amidohydro_1         PF01979.23   348   1.6e-72  241.1   3.9   1   1   6.2e-73   1.9e-72  240.9   3.9     1   347    51   398    51   399 0.92 -
NZ_JANHDI010000001.1_212-Halobellus_rarus                -            435 Amidohydro_1         PF01979.23   348   1.6e-72  241.1   4.1   1   1   6.2e-73   1.9e-72  240.9   4.1     1   347    57   404    57   405 0.93 -
NZ_CP087723.1_92-Halalkaliarchaeum_sp024972735           -            431 Amidohydro_1         PF01979.23   348   1.8e-72  241.0   3.2   1   1   6.9e-73   2.1e-72  240.7   3.2     1   347    53   399    53   400 0.93 -
PXSC01000096.1_6-Natronomonas_sp003023535                -            432 Amidohydro_1         PF01979.23   348   1.9e-72  240.8   3.5   1   1   7.4e-73   2.3e-72  240.6   3.5     1   347    52   399    52   400 0.93 -
NZ_ASGZ01000037.1_15-Halobaculum_tyrrellense             -            432 Amidohydro_1         PF01979.23   348     2e-72  240.8   3.1   1   1   7.6e-73   2.3e-72  240.6   3.1     1   347    53   400    53   401 0.93 -
NZ_RKLT01000004.1_150-Halomicroarcula_nitratireducens    -            432 Amidohydro_1         PF01979.23   348     2e-72  240.8   4.0   1   1   7.5e-73   2.3e-72  240.6   4.0     1   347    53   400    53   401 0.95 -
NZ_BCNB01000006.1_500-Haloarcula_sp001485575             -            432 Amidohydro_1         PF01979.23   348     2e-72  240.8   5.0   1   1   7.6e-73   2.3e-72  240.6   5.0     1   347    53   400    53   401 0.93 -
NZ_CP025066.1_1719-Halalkaliarchaeum_desulfuricum        -            431 Amidohydro_1         PF01979.23   348   2.9e-72  240.3   2.4   1   1   1.1e-72   3.3e-72  240.1   2.4     1   347    53   399    53   400 0.94 -
NZ_BMOU01000007.1_95-Halomicroarcula_pellucida           -            437 Amidohydro_1         PF01979.23   348   2.9e-72  240.3   5.6   1   1   1.1e-72   3.3e-72  240.1   5.6     1   347    53   400    53   401 0.95 -
JAKLPW010000346.1_7-JAKLPW01_sp022013675                 -            655 Amidohydro_1         PF01979.23   348   3.1e-72  240.2   0.5   1   1   1.3e-72   4.1e-72  239.8   0.5     2   348    61   415    60   415 0.91 -
NZ_FOCX01000004.1_238-Halorientalis_persica              -            434 Amidohydro_1         PF01979.23   348   3.3e-72  240.1   3.5   1   1   1.3e-72   3.8e-72  239.9   3.5     1   347    55   402    55   403 0.93 -
NZ_AOLQ01000021.1_115-Haloarcula_vallismortis            -            432 Amidohydro_1         PF01979.23   348   3.3e-72  240.1   4.0   1   1   1.3e-72   3.9e-72  239.8   4.0     1   347    53   400    53   401 0.93 -
NZ_QPMJ01000002.1_1233-Halorussus_rarus                  -            432 Amidohydro_1         PF01979.23   348     4e-72  239.8   3.9   1   1   1.5e-72   4.7e-72  239.6   3.9     1   347    54   401    54   402 0.93 -
NZ_AOLW01000006.1_63-Haloarcula_amylolytica              -            432 Amidohydro_1         PF01979.23   348   4.1e-72  239.8   4.7   1   1   1.5e-72   4.7e-72  239.6   4.7     1   347    53   400    53   401 0.93 -
NZ_CP035119.1_1578-Halorussus_pelagicus                  -            432 Amidohydro_1         PF01979.23   348   4.1e-72  239.8   3.2   1   1   1.6e-72   4.8e-72  239.5   3.2     1   347    54   401    54   402 0.94 -
NZ_RKLQ01000002.1_448-Halomicroarcula_salinisoli         -            432 Amidohydro_1         PF01979.23   348   4.2e-72  239.7   6.6   1   1   1.6e-72   4.9e-72  239.5   6.6     1   347    53   400    53   401 0.95 -
PUNZ01000194.1_10-Halovenus_sp003551945                  -            433 Amidohydro_1         PF01979.23   348   4.4e-72  239.7   4.2   1   1   1.7e-72   5.1e-72  239.4   4.2     1   347    55   402    55   403 0.93 -
NZ_AOLK01000011.1_144-Haloferax_elongans                 -            430 Amidohydro_1         PF01979.23   348   4.5e-72  239.6   4.9   1   1   1.7e-72   5.3e-72  239.4   4.9     1   347    53   400    53   401 0.93 -
NZ_AOIV01000024.1_150-Halogeometricum_pallidum           -            432 Amidohydro_1         PF01979.23   348   4.7e-72  239.6   5.4   1   1   1.8e-72   5.5e-72  239.3   5.4     1   347    54   401    54   402 0.93 -
JAFAYI010000031.1_349-Bog-105_sp019240475                -            488 Amidohydro_1         PF01979.23   348   5.5e-72  239.3   0.2   1   1   2.9e-72   8.7e-72  238.7   0.2     1   348   107   457   107   457 0.95 -
NZ_CP058529.1_2470-Halobaculum_halophilum                -            444 Amidohydro_1         PF01979.23   348   5.7e-72  239.3   5.4   1   1   2.2e-72   6.8e-72  239.0   5.4     1   347    65   412    65   413 0.92 -
NZ_CP096659.1_1002-Halorussus_sp023238205                -            432 Amidohydro_1         PF01979.23   348     6e-72  239.2   3.6   1   1   2.3e-72     7e-72  239.0   3.6     1   347    54   401    54   402 0.94 -
NZ_WRXL01000003.1_201-Haloarcula_salina                  -            432 Amidohydro_1         PF01979.23   348   6.2e-72  239.2   3.6   1   1   2.4e-72   7.2e-72  239.0   3.6     1   347    53   400    53   401 0.94 -
CP040678.1_112-Halostella_pelagica                       -            432 Amidohydro_1         PF01979.23   348   6.3e-72  239.2   3.8   1   1   2.4e-72   7.3e-72  238.9   3.8     1   347    53   400    53   401 0.94 -
JAGXLJ010000001.1_2-Halodesulfurarchaeum_sp018334775     -            428 Amidohydro_1         PF01979.23   348   7.8e-72  238.8   1.4   1   1     3e-72   9.1e-72  238.6   1.4     1   346    51   397    51   399 0.93 -
QPLR01000003.1_300-Halobellus_sp003665935                -            435 Amidohydro_1         PF01979.23   348     8e-72  238.8   5.9   1   1   3.1e-72   9.5e-72  238.6   5.9     1   347    57   404    57   405 0.93 -
NZ_CP028858.1_517-Halococcoides_cellulosivorans          -            429 Amidohydro_1         PF01979.23   348   8.3e-72  238.7   1.5   1   1   3.2e-72   9.6e-72  238.5   1.5     1   347    51   398    51   399 0.95 -
NZ_AOLI01000023.1_2-Haloferax_larsenii                   -            430 Amidohydro_1         PF01979.23   348   8.4e-72  238.7   4.8   1   1   3.3e-72   9.9e-72  238.5   4.8     1   347    53   400    53   401 0.93 -
QGUL01000004.1_13-ZC4RG42_sp003242425                    -            471 Amidohydro_1         PF01979.23   348   9.1e-72  238.6   2.3   1   1   3.7e-72   1.1e-71  238.3   2.3     2   347    95   443    94   444 0.92 -
NZ_AOJN01000063.1_37-Halorubrum_distributum              -            439 Amidohydro_1         PF01979.23   348   9.7e-72  238.5   3.7   1   1   3.7e-72   1.1e-71  238.3   3.7     1   347    59   406    59   407 0.93 -
NZ_RDFA01000009.1_56-Halorientalis_pallida               -            434 Amidohydro_1         PF01979.23   348   9.8e-72  238.5   2.9   1   1   3.7e-72   1.1e-71  238.3   2.9     1   347    55   402    55   403 0.93 -
NZ_FOTC01000003.1_373-Halogranum_rubrum                  -            431 Amidohydro_1         PF01979.23   348   1.1e-71  238.3   4.6   1   1   4.3e-72   1.3e-71  238.1   4.6     1   347    53   400    53   401 0.92 -
NZ_SBIV01000002.1_440-Halorussus_marinus                 -            432 Amidohydro_1         PF01979.23   348   1.2e-71  238.3   4.7   1   1   4.5e-72   1.4e-71  238.0   4.7     1   347    54   401    54   402 0.92 -
NZ_BMPD01000001.1_1053-Haloarcula_sebkhae                -            432 Amidohydro_1         PF01979.23   348   1.2e-71  238.2   4.4   1   1   4.6e-72   1.4e-71  238.0   4.4     1   347    53   400    53   401 0.93 -
JADFQH010000066.1_10-Halalkalicoccus_sp022561895         -            432 Amidohydro_1         PF01979.23   348   1.6e-71  237.9   4.5   1   1   5.9e-72   1.8e-71  237.6   4.5     1   347    54   401    54   402 0.95 -
PXQO01000076.1_56-Halovenus_sp003021285                  -            433 Amidohydro_1         PF01979.23   348   1.6e-71  237.8   1.7   1   1   6.1e-72   1.9e-71  237.6   1.7     1   347    54   401    54   402 0.93 -
NZ_JAGGKE010000011.1_32-Halorubrum_trapanicum            -            439 Amidohydro_1         PF01979.23   348   1.6e-71  237.8   3.0   1   1   6.1e-72   1.9e-71  237.6   3.0     1   347    59   406    59   407 0.92 -
PXRU01000026.1_27-Halobaculum_sp003020945                -            433 Amidohydro_1         PF01979.23   348   2.3e-71  237.3   4.9   1   1   8.9e-72   2.7e-71  237.1   4.9     1   347    54   401    54   402 0.93 -
NZ_LN831302.1_2537-Halobacterium_hubeiense               -            429 Amidohydro_1         PF01979.23   348   2.4e-71  237.3   5.1   1   1     9e-72   2.8e-71  237.0   5.1     1   347    51   398    51   399 0.93 -
NZ_AOLY01000003.1_14-Haloarcula_japonica                 -            432 Amidohydro_1         PF01979.23   348   2.5e-71  237.2   4.8   1   1   9.6e-72   2.9e-71  237.0   4.8     1   347    53   400    53   401 0.92 -
KE356560.1_3428-Haloquadratum_walsbyi_A                  -            450 Amidohydro_1         PF01979.23   348   2.7e-71  237.1   5.8   1   1     1e-71   3.2e-71  236.8   5.8     1   347    72   419    72   420 0.94 -
NZ_JAGGKR010000001.1_658-Methanolinea_B_mesophila        -            439 Amidohydro_1         PF01979.23   348   2.7e-71  237.1   0.0   1   1     1e-71   3.2e-71  236.8   0.0     2   347    59   405    58   406 0.96 -
NZ_CP095487.1_3393-Halorientalis_marina                  -            434 Amidohydro_1         PF01979.23   348   3.1e-71  236.9   3.9   1   1   1.2e-71   3.6e-71  236.6   3.9     1   347    55   402    55   403 0.93 -
NZ_BBMP01000022.1_664-Halococcus_sediminicola            -            429 Amidohydro_1         PF01979.23   348   3.1e-71  236.8   5.6   1   1   1.2e-71   3.7e-71  236.6   5.6     1   346    51   397    51   399 0.94 -
NZ_LOPW02000004.1_225-Haloferax_marisrubri               -            430 Amidohydro_1         PF01979.23   348   3.2e-71  236.8   3.8   1   1   1.2e-71   3.7e-71  236.6   3.8     1   347    53   400    53   401 0.92 -
PXRM01000017.1_99-Haloglomus_sp003020985                 -            441 Amidohydro_1         PF01979.23   348   3.2e-71  236.8   3.0   1   1   1.3e-71   3.9e-71  236.5   3.0     1   347    59   406    59   407 0.93 -
NZ_CP083663.1_1328-Haloprofundus_sp020097815             -            429 Amidohydro_1         PF01979.23   348   3.4e-71  236.8   2.0   1   1   1.3e-71   3.9e-71  236.6   2.0     1   347    51   398    51   399 0.92 -
NZ_CP096658.1_988-Halorussus_sp023238445                 -            432 Amidohydro_1         PF01979.23   348   3.4e-71  236.7   3.4   1   1   1.3e-71     4e-71  236.5   3.4     1   347    54   401    54   402 0.93 -
NZ_CP073695.1_188-Halorubrum_sp000296615                 -            439 Amidohydro_1         PF01979.23   348   3.4e-71  236.7   2.6   1   1   1.3e-71     4e-71  236.5   2.6     1   347    59   406    59   407 0.92 -
NZ_JACKXD010000005.1_247-Halobellus_ruber                -            435 Amidohydro_1         PF01979.23   348   3.7e-71  236.6   3.3   1   1   1.4e-71   4.3e-71  236.4   3.3     1   347    57   404    57   405 0.91 -
NC_015948.1_112-Haloarcula_hispanica                     -            432 Amidohydro_1         PF01979.23   348   3.8e-71  236.6   5.0   1   1   1.4e-71   4.4e-71  236.4   5.0     1   347    53   400    53   401 0.93 -
NZ_CP064787.1_1155-Halapricum_sp017094505                -            429 Amidohydro_1         PF01979.23   348   3.9e-71  236.5   0.6   1   1   1.5e-71   4.5e-71  236.3   0.6     1   347    51   398    51   399 0.94 -
NZ_AOJE01000028.1_34-Halorubrum_saccharovorum            -            451 Amidohydro_1         PF01979.23   348     4e-71  236.5   2.6   1   1   1.6e-71   4.8e-71  236.3   2.6     1   347    70   417    70   418 0.93 -
PXRR01000008.1_73-Halomarina_sp003021975                 -            430 Amidohydro_1         PF01979.23   348   4.9e-71  236.2   2.0   1   1   1.9e-71   5.8e-71  236.0   2.0     1   347    53   399    53   400 0.92 -
NZ_AP017558.1_1622-Halopenitus_persicus_A                -            434 Amidohydro_1         PF01979.23   348   5.1e-71  236.2   2.0   1   1     2e-71     6e-71  235.9   2.0     1   347    55   402    55   403 0.94 -
NZ_SRHV01000005.1_91-Halosimplex_halophilum              -            434 Amidohydro_1         PF01979.23   348   5.1e-71  236.2   3.8   1   1     2e-71     6e-71  235.9   3.8     1   347    53   400    53   401 0.94 -
NZ_JALLPK010000001.1_2773-Halocatena_sp023276375         -            429 Amidohydro_1         PF01979.23   348   5.8e-71  236.0   3.6   1   1   2.2e-71   6.7e-71  235.8   3.6     1   347    53   398    53   399 0.91 -
NZ_CP058335.1_2356-Natronomonas_salina                   -            430 Amidohydro_1         PF01979.23   348   6.3e-71  235.9   4.5   1   1   2.4e-71   7.4e-71  235.6   4.5     1   347    51   398    51   399 0.93 -
NZ_PEND01000002.1_133-Halegenticoccus_soli               -            433 Amidohydro_1         PF01979.23   348   6.7e-71  235.8   3.0   1   1   2.6e-71   7.9e-71  235.5   3.0     1   347    55   402    55   403 0.93 -
NZ_CP095482.1_1258-Halorientalis_litorea                 -            430 Amidohydro_1         PF01979.23   348   7.4e-71  235.6   3.6   1   1   2.8e-71   8.6e-71  235.4   3.6     1   347    51   398    51   399 0.94 -
