query	target	qlen	tlen	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
L5NAY5|unreviewed|Uncharacterized	WP_008634360.1@GCF_000469135.2	262	262	1.000	262	0	1	262	1	262	2.306E-197	619
A0A663A714|unreviewed|Halocin	WP_244289023.1@GCF_008124605.1	254	242	0.995	242	1	13	254	1	242	4.743E-185	584
A0A972G812|unreviewed|Uncharacterized	NOK57773.1@GCA_013122435.1	117	117	1.000	117	0	1	117	1	117	2.136E-86	287
A0A9Q5P106|unreviewed|Uncharacterized	WP_002456424.1@GCF_006742205.1	244	244	0.995	244	1	1	244	1	244	6.737E-193	604
A0A161XFS4|unreviewed|Halocin	WP_082837828.1@GCF_001625445.1	232	266	1.000	232	0	1	232	35	266	7.895E-176	554
M0H930|unreviewed|Halocin	WP_206536420.1@GCF_000336955.1	296	310	1.000	296	0	1	296	15	310	4.004E-227	708
M0FGL7|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.933	301	20	6	306	5	305	7.858E-214	672
A0A9E5D9C8|unreviewed|Uncharacterized	WP_250867346.1@GCF_023684405.1	235	235	1.000	235	0	1	235	1	235	1.189E-177	560
A0A2A4HF10|unreviewed|Uncharacterized	WP_103159623.1@GCF_002901945.1	121	244	0.925	121	9	1	121	124	244	8.047E-91	300
I4EKE5|unreviewed|RHS	WP_008479858.1@GCF_000297255.1	292	292	1.000	292	0	1	292	1	292	2.714E-237	735
L9Y9U7|unreviewed|Halocin	WP_015299281.1@GCF_000230735.2	286	294	1.000	286	0	1	286	9	294	6.469E-216	675
A0AAF0T0E6|unreviewed|Halocin	WP_083864448.1@GCF_000337615.1	170	258	0.911	169	15	2	170	90	258	2.695E-114	373
L0JQ08|unreviewed|Halocin	WP_015299281.1@GCF_000230735.2	294	294	1.000	294	0	1	294	1	294	1.948E-221	691
A0A1W6ALE2|unreviewed|Halocin	WP_007110057.1@GCF_000731985.1	217	248	0.981	217	4	1	217	12	228	4.345E-160	508
M0CHT2|unreviewed|Halocin	WP_008893279.1@GCF_000337495.1	248	248	1.000	248	0	1	248	1	248	3.419E-189	594
A0A6C0VKD2|unreviewed|Uncharacterized	WP_052722646.1@GCF_000969965.1	184	267	0.940	184	11	1	184	84	267	1.994E-130	420
A0A4D6HFK7|unreviewed|Halocin	WP_079979488.1@GCF_004799665.1	277	277	1.000	277	0	1	277	1	277	1.467E-220	686
A0A2W0H8Y2|unreviewed|Uncharacterized	WP_110516892.1@GCF_003226345.1	262	262	1.000	262	0	1	262	1	262	5.080E-199	624
M0GM17|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.950	301	15	6	306	5	305	5.658E-217	681
I3ZTP7|unreviewed|Uncharacterized	WP_014788716.1@GCF_000265525.1	313	313	1.000	313	0	1	313	1	313	3.274E-249	772
A0A1W6ALE1|unreviewed|Halocin	WP_008893279.1@GCF_000337495.1	217	248	0.990	217	2	1	217	12	228	4.458E-162	514
A0A4D6KBW0|unreviewed|Halocin	WP_164731977.1@GCF_000023965.1	316	309	1.000	309	0	8	316	1	309	1.297E-237	740
L9ZDM4|unreviewed|Halocin	WP_007110057.1@GCF_000731985.1	248	248	1.000	248	0	1	248	1	248	1.046E-186	587
M0FJY7|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.933	301	20	6	306	5	305	7.858E-214	672
T0MSV0|unreviewed|Saposin	EQB64365.1@GCA_001856825.1	215	215	1.000	215	0	1	215	1	215	2.412E-164	520
L0JNK8|unreviewed|Halocin	WP_015299009.1@GCF_000230735.2	264	264	1.000	264	0	1	264	1	264	3.182E-202	633
M0CHN6|unreviewed|Halocin	WP_008892994.1@GCF_000337495.1	277	277	1.000	277	0	1	277	1	277	4.222E-213	665
A0A6G2FUG1|unreviewed|Uncharacterized	WP_197427780.1@GCF_900115675.1	296	374	1.000	296	0	1	296	79	374	8.469E-226	704
A0A482Y060|unreviewed|Halocin	WP_007110057.1@GCF_000731985.1	152	248	0.973	152	4	1	152	97	248	8.293E-113	366
A0A509LRT7|unreviewed|Uncharacterized	WP_002456424.1@GCF_006742205.1	244	244	1.000	244	0	1	244	1	244	1.463E-193	606
A0A371KIN0|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.953	301	14	6	306	5	305	2.686E-218	684
A0A8T5C7M9|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	305	305	1.000	305	0	1	305	1	305	2.983E-233	726
C7P188|unreviewed|Halocin	WP_164731977.1@GCF_000023965.1	254	309	1.000	254	0	1	254	56	309	5.439E-195	611
A0A498DZ70|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.953	301	14	6	306	5	305	2.686E-218	684
A0A8J8GIP9|unreviewed|Halocin	WP_174681857.1@GCF_013342145.1	248	248	1.000	248	0	1	248	1	248	1.594E-189	595
A0A8G1J0K7|unreviewed|Uncharacterized	WP_228090750.1@GCF_019710475.1	246	246	1.000	246	0	1	246	1	246	8.312E-189	593
A0A371LSZ9|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	171	305	0.982	171	3	1	171	135	305	3.596E-127	409
A0A3N6M7T8|unreviewed|Halocin	WP_124193256.1@GCF_003841465.1	279	279	1.000	279	0	1	279	1	279	7.661E-210	657
L5NYT2|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.953	301	14	6	306	5	305	2.686E-218	684
Q5HNA8|unreviewed|Uncharacterized	WP_002456424.1@GCF_006742205.1	244	244	1.000	244	0	1	244	1	244	1.463E-193	606
A0A8I0W9I0|unreviewed|Uncharacterized	WP_002456424.1@GCF_006742205.1	244	244	0.991	244	2	1	244	1	244	3.103E-192	602
A0A1I5UQF1|unreviewed|Halocin	WP_197427780.1@GCF_900115675.1	345	374	1.000	345	0	1	345	30	374	2.441E-263	816
A0A919XDK8|unreviewed|Uncharacterized	WP_212922126.1@GCF_018333235.1	119	124	1.000	119	0	1	119	6	124	1.311E-88	293
A0A380FY09|unreviewed|Lipoprotein|taxID:1141106	WP_103159623.1@GCF_002901945.1	227	244	0.911	226	20	2	227	19	244	3.657E-166	527
A0A7Z2T0I4|unreviewed|Uncharacterized	WP_008634360.1@GCF_000469135.2	144	262	1.000	144	0	1	144	119	262	1.266E-105	345
A0A498EAK4|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.953	301	14	6	306	5	305	2.686E-218	684
Q9HHM0|unreviewed|Halocin	WP_136361702.1@GCF_008124605.1	253	296	1.000	250	0	1	250	1	250	3.143E-192	603
A0A1W6ALE0|unreviewed|Halocin	WP_007110057.1@GCF_000731985.1	217	248	0.976	217	5	1	217	12	228	1.999E-159	506
A0A8T8DWK0|unreviewed|Halocin	WP_083870254.1@GCF_000337495.1	315	315	0.993	315	2	1	315	1	315	1.245E-243	757
B0R494|unreviewed|Probable	WP_244289023.1@GCF_008124605.1	254	242	0.942	242	14	13	254	1	242	8.229E-172	547
A0A4D6GZZ5|unreviewed|Halocin	WP_136361702.1@GCF_008124605.1	296	296	1.000	296	0	1	296	1	296	2.847E-230	716
M0N127|unreviewed|Halocin	WP_161606962.1@GCF_000336935.1	168	281	0.994	168	1	1	168	114	281	1.680E-128	412
I4EKF2|unreviewed|DUF6531	WP_008479876.1@GCF_000297255.1	1438	1438	1.000	1438	0	1	1438	1	1438	0.000E+00	3522
L9ZA08|unreviewed|Halocin	WP_083864448.1@GCF_000337615.1	241	258	1.000	241	0	1	241	18	258	5.790E-181	570
A0A1G8NNL8|unreviewed|Halocin	WP_091587091.1@GCF_002886255.1	265	265	1.000	265	0	1	265	1	265	2.502E-203	636
A0A4D6GVY6|unreviewed|Putative	WP_244289023.1@GCF_008124605.1	242	242	1.000	242	0	1	242	1	242	2.232E-186	585
A0A0E3NKG2|unreviewed|Uncharacterized	WP_052722646.1@GCF_000969965.1	267	267	1.000	267	0	1	267	1	267	2.177E-202	634
A0A895AJK3|unreviewed|Halocin	WP_136361702.1@GCF_008124605.1	296	296	1.000	296	0	1	296	1	296	2.847E-230	716
L9VJX3|unreviewed|Uncharacterized	WP_006092146.1@GCF_000383975.1	274	274	1.000	274	0	1	274	1	274	2.691E-208	652
A0A371KPK0|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.953	301	14	6	306	5	305	2.686E-218	684
