query	target	qlen	tlen	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
NZ_FNCA01000005.1_84	A0A7Z7FCV1	276	276	1.000	276	0	1	276	1	276	6.281E-208	652
NZ_CAGS01000398.1_8	I4EKE7	181	177	0.994	177	1	5	181	1	177	6.071E-143	455
NZ_JABBPK010000001.1_711	R9C692	142	142	1.000	142	0	1	142	1	142	8.220E-106	346
NZ_LR134263.1_321	A0A447YVF0	121	121	1.000	121	0	1	121	1	121	6.977E-96	315
NZ_CP102602.1_1598	A0A8J8DYP0	323	323	0.959	323	13	1	323	1	323	2.164E-249	775
NZ_VSLZ01000004.1_181	A0A6G3ZMD2	212	212	1.000	212	0	1	212	1	212	6.141E-161	510
NC_013745.1_182	D2S212	314	314	1.000	314	0	1	314	1	314	5.884E-239	744
NZ_AOII01000036.1_36	L0JNK8	264	264	0.996	264	1	1	264	1	264	1.808E-201	632
CP002989.1_262	A0A6G2FUG1	296	296	0.986	296	4	1	296	1	296	6.848E-223	696
NZ_JRNX01000089.1_3	A0A0B0D932	198	198	1.000	198	0	1	198	1	198	2.797E-150	479
NZ_AOIJ01000052.1_25	L9Z1R6	114	133	1.000	114	0	1	114	20	133	1.740E-83	279
NZ_AP019721.1_929	A0A0H2VGU6	244	244	1.000	244	0	1	244	1	244	2.645E-193	606
NZ_CP013659.2_504	A0A0U2Z4M8	261	261	1.000	261	0	1	261	1	261	1.666E-195	615
NC_013966.1_286	A0A8T5C7M9	305	305	1.000	305	0	1	305	1	305	5.395E-233	726
NC_019962.1_2078	L0JNK8	264	264	1.000	264	0	1	264	1	264	5.756E-202	633
