query	target	qlen	tlen	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
NZ_AOME01000068.1_17	WP_161606962.1@GCF_000336935.1	281	281	1.000	281	0	1	281	1	281	2.334E-216	675
CP100465.1_75	CP100465.1_75@GCA_024227995.1	247	248	1.000	247	0	1	247	1	247	2.079E-190	597
NZ_FNWL01000002.1_725	WP_175459731.1@GCF_900108095.1	299	289	1.000	289	0	11	299	1	289	7.868E-221	690
NC_019962.1_3778	WP_015299281.1@GCF_000230735.2	294	294	1.000	294	0	1	294	1	294	1.948E-221	691
NZ_CP009503.1_1446	WP_052722646.1@GCF_000969965.1	267	267	1.000	267	0	1	267	1	267	2.177E-202	634
NZ_ML974127.1_156	WP_135852295.1@GCF_004765815.2	287	287	1.000	287	0	1	287	1	287	1.598E-216	677
AOIR01000031.1_72	ELZ16389.1@GCA_000337115.1	273	273	1.000	273	0	1	273	1	273	1.119E-209	655
JAGLZA010000417.1_6	MCK4529253.1@GCA_023131835.1	250	279	1.000	250	0	1	250	30	279	3.134E-192	603
DARA01000066.1_3	DARA01000066.1_3@GCA_002503135.1	180	181	1.000	180	0	1	180	1	180	4.113E-138	441
NZ_BAFM01000006.1_110	WP_195156013.1@GCF_000334895.1	227	227	1.000	227	0	1	227	1	227	1.243E-171	542
NC_019962.1_2078	WP_015299009.1@GCF_000230735.2	264	264	1.000	264	0	1	264	1	264	3.182E-202	633
NC_013743.1_2014	WP_012943185.1@GCF_000025325.1	264	264	1.000	264	0	1	264	1	264	1.013E-202	634
NZ_VRYN01000036.1_1	WP_136361702.1@GCF_008124605.1	296	296	1.000	296	0	1	296	1	296	2.847E-230	716
WYDT01000002.1_38	NOK57773.1@GCA_013122435.1	117	117	1.000	117	0	1	117	1	117	2.136E-86	287
NZ_JAJFAY010000003.1_196	WP_231186491.1@GCF_021083305.1	285	285	1.000	285	0	1	285	1	285	1.342E-222	693
NZ_JABUQZ010000001.1_3948	WP_174682227.1@GCF_013342145.1	316	316	1.000	316	0	1	316	1	316	3.117E-245	761
WAKV01000040.1_2	WAKV01000040.1_2@GCA_015523185.1	312	313	1.000	312	0	1	312	1	312	1.941E-248	770
NZ_CAGS01000400.1_2	WP_008479876.1@GCF_000297255.1	1457	1438	1.000	1438	0	20	1457	1	1438	0.000E+00	3522
NZ_CAGS01000398.1_8	WP_238538535.1@GCF_000297255.1	181	181	1.000	181	0	1	181	1	181	5.096E-147	466
NZ_CP031310.1_2352	WP_079979488.1@GCF_004799665.1	277	277	1.000	277	0	1	277	1	277	1.467E-220	686
NC_019974.1_1502	WP_157224598.1@GCF_000328685.1	241	264	1.000	241	0	1	241	24	264	1.275E-182	575
NZ_AOIJ01000052.1_25	WP_241432498.1@GCF_000337175.1	114	114	1.000	114	0	1	114	1	114	9.622E-84	279
CP002989.1_262	WP_009762310.1@GCF_000230955.2	296	296	1.000	296	0	1	296	1	296	5.784E-226	704
NZ_CP044129.1_444	WP_153552385.1@GCF_009617995.1	265	265	1.000	265	0	1	265	1	265	5.297E-202	633
NZ_CP048117.1_3818	WP_008634360.1@GCF_000469135.2	262	262	1.000	262	0	1	262	1	262	2.306E-197	619
NZ_CP099993.1_2066	WP_253478286.1@GCF_024138125.1	289	289	1.000	289	0	1	289	1	289	5.194E-228	709
NZ_JABBPK010000001.1_711	WP_016202224.1@GCF_012933555.1	142	142	1.000	142	0	1	142	1	142	4.544E-106	346
NZ_PPQK01000076.1_1	WP_103159623.1@GCF_002901945.1	244	244	1.000	244	0	1	244	1	244	2.118E-192	603
NZ_AQXI01000005.1_93	WP_139025500.1@GCF_000376445.1	287	287	1.000	287	0	1	287	1	287	7.662E-219	683
CP040678.1_2475	CP040678.1_2475@GCA_005954745.1	295	296	1.000	295	0	1	295	1	295	7.558E-227	707
NZ_BORP01000008.1_88	WP_212922126.1@GCF_018333235.1	125	124	0.991	124	1	2	125	1	124	9.351E-92	303
NZ_LWHG01000021.1_1133	WP_082837828.1@GCF_001625445.1	266	266	1.000	266	0	1	266	1	266	1.891E-201	631
NZ_VRYN01000005.1_8	WP_244289023.1@GCF_008124605.1	254	242	0.995	242	1	13	254	1	242	4.743E-185	584
NC_013745.1_182	WP_012945653.1@GCF_000025325.1	314	314	1.000	314	0	1	314	1	314	3.253E-239	744
DAJC01000023.1_19	DAJC01000023.1_20@GCA_002498845.1	203	204	1.000	203	0	1	203	1	203	1.014E-157	499
PWKY01000076.1_62	PWKY01000076.1_62@GCA_003560595.1	153	154	1.000	153	0	1	153	1	153	2.304E-128	410
JHUT02000017.1_13	OAQ51225.1@GCA_000690595.2	241	241	1.000	241	0	1	241	1	241	1.258E-181	572
NC_015435.1_643	WP_048057428.1@GCF_000204925.1	122	122	1.000	122	0	1	122	1	122	1.928E-87	291
NZ_AOIS01000013.1_6	WP_008892994.1@GCF_000337495.1	284	277	1.000	277	0	8	284	1	277	1.031E-212	665
JANXDV010000019.1_2	MCS7130230.1@GCA_025058955.1	264	263	1.000	263	0	2	264	1	263	3.348E-206	644
