assembly_accession,accession,ambiguous_bases,checkm_completeness,checkm_contamination,checkm_marker_count,checkm_marker_lineage,checkm_marker_set_count,checkm_strain_heterogeneity,coding_bases,coding_density,contig_count,gc_count,gc_percentage,genome_size,gtdb_genome_representative,gtdb_representative,gtdb_taxonomy,gtdb_type_designation_ncbi_taxa,gtdb_type_designation_ncbi_taxa_sources,gtdb_type_species_of_genus,l50_contigs,l50_scaffolds,longest_contig,longest_scaffold,lsu_23s_contig_len,lsu_23s_count,lsu_23s_length,lsu_23s_query_id,lsu_5s_contig_len,lsu_5s_count,lsu_5s_length,lsu_5s_query_id,lsu_silva_23s_blast_align_len,lsu_silva_23s_blast_bitscore,lsu_silva_23s_blast_evalue,lsu_silva_23s_blast_perc_identity,lsu_silva_23s_blast_subject_id,lsu_silva_23s_taxonomy,mean_contig_length,mean_scaffold_length,mimag_high_quality,mimag_low_quality,mimag_medium_quality,n50_contigs,n50_scaffolds,ncbi_assembly_level,ncbi_assembly_name,ncbi_assembly_type,ncbi_bioproject,ncbi_biosample,ncbi_contig_count,ncbi_contig_n50,ncbi_country,ncbi_date,ncbi_genbank_assembly_accession,ncbi_genome_category,ncbi_genome_representation,ncbi_isolate,ncbi_isolation_source,ncbi_lat_lon,ncbi_molecule_count,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_refseq_category,ncbi_rrna_count,ncbi_scaffold_count,ncbi_scaffold_l50,ncbi_scaffold_n50,ncbi_scaffold_n75,ncbi_scaffold_n90,ncbi_seq_rel_date,ncbi_spanned_gaps,ncbi_species_taxid,ncbi_ssu_count,ncbi_strain_identifiers,ncbi_submitter,ncbi_taxid,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_total_gap_length,ncbi_total_length,ncbi_translation_table,ncbi_trna_count,ncbi_type_material_designation,ncbi_ungapped_length,ncbi_unspanned_gaps,ncbi_wgs_master,protein_count,scaffold_count,ssu_contig_len,ssu_count,ssu_gg_blast_align_len,ssu_gg_blast_bitscore,ssu_gg_blast_evalue,ssu_gg_blast_perc_identity,ssu_gg_blast_subject_id,ssu_gg_taxonomy,ssu_length,ssu_query_id,ssu_silva_blast_align_len,ssu_silva_blast_bitscore,ssu_silva_blast_evalue,ssu_silva_blast_perc_identity,ssu_silva_blast_subject_id,ssu_silva_taxonomy,total_gap_length,trna_aa_count,trna_count,trna_selenocysteine_count,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species
GCF_010747475.1,RS_GCF_010747475.1,0,97.72,1.28,359,f__Halobacteriaceae (UID84),235,0.0,3773344,85.59138184929488,25,2863447,64.95203871743945,4408556,RS_GCF_010747475.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Halorussus;s__Halorussus sp010747475,not type material,none,f,3,3,1378052,1378052,1415,6,1335,NZ_VSLZ01000016.1,255439,2,114,NZ_VSLZ01000005.1,1334,1969,0,93.403,JDTH01000003.346.3250,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;Haladaptatus cibarius D43,176342,176342,f,f,t,727344,727344,Contig,ASM1074747v1,na,PRJNA224116,SAMN12606368,25,727344,none,2020-02-18,GCA_010747475.1,none,full,none,brine pond sediments,22.36 N 54.21 E,0,0,Halorussus sp. MSC15.2,none,na,11,none,none,none,none,none,2020/02/18,0,2283638,3,MSC15.2,University of Canterbury,2283638,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;x__unclassified Halorussus;s__Halorussus sp. MSC15.2,0,4408556,11,49,none,4408556,0,VSLZ00000000.1,4511,25,1486,1,none,none,none,none,none,none,1397,NZ_VSLZ01000015.1,1347,2394,0,98.738,KX585237.1.1372,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorussus;Halorussus sp.,0,19,48,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp010747475
GCF_024138125.1,RS_GCF_024138125.1,0,99.93,1.49,359,f__Halobacteriaceae (UID84),235,0.0,3072645,85.4338360415068,4,2396238,66.62657235327484,3596520,RS_GCF_024138125.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Halorussus;s__Halorussus sp024138125,not type material,none,f,1,1,3037152,3037152,3037152,2,2899,NZ_CP099993.1,3037152,2,116,NZ_CP099993.1,2901,3740,0,90.072,LTAZ01000003.276097.279004,Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;Halalkalicoccus;Halalkalicoccus paucihalophilus,899130,899130,t,f,f,3037152,3037152,Complete Genome,ASM2413812v1,na,PRJNA224116,SAMN29182972,none,none,China:Yuncheng,2022-07-05,GCA_024138125.1,none,full,none,Substrate,none,4,0,Halorussus sp. YCN54,none,na,6,4,1,3037152,3037152,342099,2022/07/05,0,2953750,2,YCN54,Jiangsu University,2953750,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;x__unclassified Halorussus;s__Halorussus sp. YCN54,0,3596520,11,48,none,3596520,0,none,3594,4,3037152,2,none,none,none,none,none,none,1472,NZ_CP099993.1,1472,2414,0,96.264,JQ237117.1.1472,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorussus;Halorussus amylolyticus,0,19,47,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp024138125
GCF_004799665.1,RS_GCF_004799665.1,0,99.5,0.85,359,f__Halobacteriaceae (UID84),235,0.0,3090429,89.52430088040286,1,2200123,63.733699569184274,3452056,RS_GCF_004799665.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halapricum;s__Halapricum salinum,type strain of species,LPSN,t,1,1,3452056,3452056,3452056,1,2902,NZ_CP031310.1,3452056,1,116,NZ_CP031310.1,2897,5350,0,100,BBMO01000002.1136424.1139330,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halapricum;Halapricum salinum,3452056,3452056,t,f,f,3452056,3452056,Complete Genome,ASM479966v1,na,PRJNA224116,SAMN09711547,none,none,South Korea,2019-04-18,GCA_004799665.1,none,full,none,solar saltern in Gomso Bay,none,1,0,Halapricum salinum,none,na,3,1,1,3452056,3452056,3452056,2019/04/18,0,1457250,1,CBA1105,Wuhan University,1457250,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halapricum;s__Halapricum salinum,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halapricum;s__Halapricum salinum,0,3452056,11,45,assembly from type material,3452056,0,none,3452,1,3452056,1,none,none,none,none,none,none,1472,NZ_CP031310.1,1472,2713,0,99.932,KF314042.1.1472,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halapricum;Halapricum salinum,0,19,45,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,Halapricum salinum
GCF_005406125.1,RS_GCF_005406125.1,0,99.47,0.4,395,f__Halobacteriaceae (UID85),250,0.0,3674321,87.12558124094497,33,2617892,62.07551330600127,4217270,RS_GCF_005406125.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula mannanilytica,type strain of species,LPSN,f,3,3,1401891,1401891,1401891,1,2913,NZ_BIXZ01000001.1,1401891,3,117,NZ_BIXZ01000001.1,2913,5186,0,98.798,BCNA01000003.135344.138267,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Haloarcula;Haloarcula sp. CBA1128,127796,127796,t,f,f,305109,305109,Contig,ASM540612v1,na,PRJNA224116,SAMD00159535,33,305109,none,2019-04-16,GCA_005406125.1,none,full,none,none,none,0,0,Haloarcula mannanilytica,none,representative genome,7,none,none,none,none,none,2019/04/16,0,2509225,3,MD130-1,"Functional Genome group, Center for Gene Research, Nagoya University",2509225,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula mannanilytica,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula mannanilytica,0,4217270,11,46,assembly from type material,4217270,0,BIXZ00000000.1,4295,33,1401891,1,none,none,none,none,none,none,1472,NZ_BIXZ01000001.1,1472,2630,0,98.845,KU198855.1.1472,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Haloarcula;Haloarcula rubripromontorii,0,19,45,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula mannanilytica
GCF_023276375.1,RS_GCF_023276375.1,0,98.87,5.82,359,f__Halobacteriaceae (UID84),235,0.0,4366097,82.10400085449449,7,2869167,53.9543875959896,5317764,RS_GCF_023276375.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halocatena;s__Halocatena sp023276375,not type material,none,f,1,1,3915224,3915224,3915224,1,2900,NZ_JALLPK010000001.1,3915224,1,103,NZ_JALLPK010000001.1,2910,3408,0,88.007,CP019067.2014150.2017049,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorientalis;Halorientalis sp. IM1011,759680,759680,f,f,t,3915224,3915224,Contig,ASM2327637v1,na,PRJNA224116,SAMN27554123,7,3915224,China: Jiangsu,2022-05-08,GCA_023276375.1,none,full,none,sea mud,none,0,0,Halocatena sp. DFN5,none,na,3,none,none,none,none,none,2022/05/08,0,2934937,1,DFN5,Jiangsu University,2934937,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocatena;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocatena;x__unclassified Halocatena;s__Halocatena sp. DFN5,0,5317764,11,46,none,5317764,0,JALLPK000000000.1,5438,7,3915224,1,none,none,none,none,none,none,1471,NZ_JALLPK010000001.1,1464,2460,0,96.995,LT009694.1.1465,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomarina;Halomarina sp. SPP-AMP-1,0,19,46,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halocatena,Halocatena sp023276375
GCF_000023965.1,RS_GCF_000023965.1,0,99.93,0.0,395,f__Halobacteriaceae (UID85),250,0.0,2896494,86.92048761999419,2,2183712,65.53071121902298,3332349,RS_GCF_000023965.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__Halomicrobium mukohataei,type strain of species,LPSN,t,1,1,3110487,3110487,3110487,3,2907,NC_013202.1-#2,221862,3,117,NC_013201.1,2902,5360,0,100,CP001688.615167.618077,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium;Halomicrobium mukohataei DSM 12286,1666174,1666174,t,f,f,3110487,3110487,Complete Genome,ASM2396v1,na,PRJNA224116,SAMN00002610,none,none,none,2009-09-03,GCA_000023965.1,none,full,none,none,none,2,0,Halomicrobium mukohataei DSM 12286,3284,representative genome,9,2,1,3110487,3110487,3110487,2009/09/03,0,57705,3,DSM 12286,US DOE Joint Genome Institute (JGI-PGF),485914,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__Halomicrobium mukohataei,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__Halomicrobium mukohataei;x__Halomicrobium mukohataei DSM 12286,0,3332349,11,47,assembly from type material,3332349,0,none,3386,2,3110487,3,none,none,none,none,none,none,1473,NC_013202.1,1473,2721,0,100,CP001688.618477.619949,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium;Halomicrobium mukohataei DSM 12286,0,19,47,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei
GCF_009617995.1,RS_GCF_009617995.1,0,99.53,0.0,395,f__Halobacteriaceae (UID85),250,0.0,2891020,86.84268785721731,2,2182159,65.54937457776752,3329031,RS_GCF_009617995.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__Halomicrobium sp009617995,not type material,none,f,1,1,3105114,3105114,3105114,3,2903,NZ_CP044129.1,3105114,3,117,NZ_CP044129.1,2898,5166,0,98.827,AQZY01000017.99201.102107,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium;Halomicrobium katesii DSM 19301,1664515,1664515,t,f,f,3105114,3105114,Complete Genome,ASM961799v1,na,PRJNA224116,SAMN12757031,none,none,Italy: Trapani; Sicily,2019-11-07,GCA_009617995.1,none,full,none,ENVO:01001050,37.85 N 12.48 E,2,0,Halomicrobium sp. LC1Hm,none,na,9,2,1,3105114,3105114,3105114,2019/11/07,0,2610902,3,LC1Hm,C.N.R. - Institute for Biological Resources and Marine Biotechnology (IRBIM),2610902,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;x__unclassified Halomicrobium;s__Halomicrobium sp. LC1Hm,0,3329031,11,48,none,3329031,0,none,3391,2,3105114,3,none,none,none,none,none,none,1473,NZ_CP044129.1-#2,1473,2647,0,99.117,CP001689.16033.17504,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium;Halomicrobium mukohataei DSM 12286,0,19,47,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium sp009617995
GCF_900880625.1,RS_GCF_900880625.1,0,98.73,0.73,395,f__Halobacteriaceae (UID85),250,0.0,2908345,86.4934287067019,6,2062005,61.32349582335069,3362504,RS_GCF_900880625.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus rudnickae,type strain of species,LPSN,f,1,1,2288495,2288495,2288495,1,2903,NZ_CAAHFB010000001.1,2288495,1,116,NZ_CAAHFB010000001.1,2891,4929,0,97.44,CP001687.1667809.1670714,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorhabdus;Halorhabdus utahensis DSM 12940,560417,560417,t,f,f,2288495,2288495,Contig,WSM64,na,PRJNA224116,SAMEA5537954,6,2288495,none,2019-04-01,GCA_900880625.1,none,full,WSM64,none,none,0,0,Halorhabdus rudnickae,none,representative genome,3,none,none,none,none,none,2019/04/01,0,1775544,1,WSM64,FISABIO - Public Health,1775544,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus rudnickae,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus rudnickae,0,3362504,11,46,assembly from type material,3362504,0,CAAHFB000000000.1,3486,6,2288495,1,none,none,none,none,none,none,1471,NZ_CAAHFB010000001.1,1472,2593,0,98.505,MG097858.1.1473,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorhabdus;Halorhabdus sp.,0,19,46,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus rudnickae
GCF_008124605.1,RS_GCF_008124605.1,0,99.42,0.0,359,f__Halobacteriaceae (UID84),235,0.0,2091250,88.4282374989006,40,1573784,66.54725418958508,2364912,RS_GCF_008124605.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum,type strain of species,LPSN,t,2,2,966710,966710,966710,1,2898,NZ_VRYN01000001.1,966710,1,117,NZ_VRYN01000001.1,2898,5347,0,99.965,AM774415.1865624.1868534,Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;Halobacterium salinarum R1,59122,59122,t,f,f,544557,544557,Contig,ASM812460v1,na,PRJNA224116,SAMN04244564,40,544557,none,2019-08-29,GCA_008124605.1,none,full,none,none,none,0,0,Halobacterium salinarum DSM 3754,none,na,3,none,none,none,none,none,2019/08/29,0,2242,1,DSM 3754,DOE Joint Genome Institute,2597657,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum;x__Halobacterium salinarum DSM 3754,0,2364912,11,48,assembly from type material,2364912,0,VRYN00000000.1,2452,40,966710,1,none,none,none,none,none,none,1473,NZ_VRYN01000001.1,1473,2721,0,100,AE004437.1875505.1876977,Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;Halobacterium salinarum NRC-1,0,19,48,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum
GCF_000230955.2,RS_GCF_000230955.2,0,98.65,0.43,359,f__Halobacteriaceae (UID84),235,0.0,2787520,88.14125265607609,2,2100957,66.43216255185672,3162560,RS_GCF_000230955.2,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium sp000230955,not type material,none,f,1,1,2846968,2846968,2846968,1,2899,NZ_CP007060.1,2846968,1,117,NZ_CP007060.1,2887,5332,0,100,CP007060.193411.196299,Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;Halobacterium sp. DL1,1581280,1581280,t,f,f,2846968,2846968,Complete Genome,ASM23095v3,na,PRJNA224116,SAMN02261380,none,none,none,2014-01-13,GCA_000230955.3,none,full,none,not provided; submitted under MIGS 2.1,none,2,0,Halobacterium sp. DL1,3242,na,3,2,1,2846968,2846968,2846968,2014/01/13,0,751944,1,DL1,JGI,751944,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;x__unclassified Halobacterium;s__Halobacterium sp. DL1,0,3162560,11,47,none,3162560,0,none,3301,2,2846968,1,none,none,none,none,none,none,1473,NZ_CP007060.1,1473,2721,0,100,CP007060.191367.192843,Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;Halobacterium sp. DL1,0,19,47,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium sp000230955
GCF_000334895.1,RS_GCF_000334895.1,1,98.51,0.04,359,f__Halobacteriaceae (UID84),235,0.0,2993720,86.10739753009152,58,2295464,66.02370562888602,3476728,RS_GCF_000334895.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus agarilyticus,not type material,none,f,9,9,320600,320600,146612,1,2901,NZ_BAFM01000010.1,146612,1,106,NZ_BAFM01000010.1,2901,5358,0,100,BAFM01000010.107378.110287,Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;Halococcus agarilyticus,59943,59943,t,f,f,147353,147353,Contig,ASM33489v1,na,PRJNA224116,SAMD00011631,58,147353,none,2013-01-29,GCA_000334895.1,none,full,none,none,none,0,0,Halococcus agarilyticus,3371,representative genome,3,none,none,none,none,none,2013/01/29,0,1232219,1,197A,Japan Agency for Marine-Earth Science and Technology,1232219,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus agarilyticus,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus agarilyticus,0,3476728,11,46,none,3476728,0,BAFM00000000.1,3475,58,146612,1,1472,2665,0,99.389,1139618,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halococcus;s__,1474,NZ_BAFM01000010.1,1474,2723,0,100,AB748562.1.1474,Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;Halococcus agarilyticus,0,19,46,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus agarilyticus
GCF_000336935.1,RS_GCF_000336935.1,291,98.44,0.99,359,f__Halobacteriaceae (UID84),235,0.0,3588321,85.44060837414496,109,2664401,63.44577785937493,4199784,RS_GCF_000336935.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus salifodinae,type strain of species,LPSN,f,10,10,402253,402253,79843,1,2927,NZ_AOME01000075.1,79843,1,106,NZ_AOME01000075.1,2921,5395,0,100,AOME01000075.29916.32837,Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;Halococcus salifodinae DSM 8989,38530,38530,t,f,f,105665,105665,Contig,ASM33693v1,na,PRJNA224116,SAMN02471636,109,105665,none,2013-02-04,GCA_000336935.1,none,full,none,none,none,0,0,Halococcus salifodinae DSM 8989,4082,representative genome,3,none,none,none,none,none,2013/02/04,0,36738,1,DSM 8989,"University of California, Davis",1227456,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus salifodinae,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus salifodinae;x__Halococcus salifodinae DSM 8989,0,4199784,11,52,assembly from type material,4199784,0,AOME00000000.1,4323,109,79843,1,1472,2699,0,99.796,1139618,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halococcus;s__,1474,NZ_AOME01000075.1,1474,2723,0,100,AB663371.1.1474,Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;Halococcus salifodinae,0,19,52,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus salifodinae
GCF_021431925.1,RS_GCF_021431925.1,0,98.49,1.33,417,f__Halobacteriaceae (UID96),263,0.0,2910342,87.65768245865664,4,2282152,68.73699219486514,3320122,RS_GCF_021431925.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__Halobaculum sp021431925,not type material,none,f,1,1,2886087,2886087,2886087,2,2921,NZ_CP090371.1-#2,2886087,2,113,NZ_CP090371.1,2922,4743,0,96.099,FQWV01000016.1707.4609,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;Halobaculum gomorrense,830030,830030,t,f,f,2886087,2886087,Complete Genome,ASM2143192v1,na,PRJNA224116,SAMN24046656,none,none,South Korea,2022-01-11,GCA_021431925.1,none,full,none,solar salt,none,4,0,Halobaculum sp. CBA1158,none,na,6,4,1,2886087,2886087,263782,2022/01/11,0,2904243,2,CBA1158,World Institute of Kimchi,2904243,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halobaculum;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halobaculum;x__unclassified Halobaculum;s__Halobaculum sp. CBA1158,0,3320122,11,47,none,3320122,0,none,3382,4,2886087,2,none,none,none,none,none,none,1472,NZ_CP090371.1,1475,2534,0,97.763,AB663364.1.1472,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;Halobaculum gomorrense,0,19,47,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobaculum,Halobaculum sp021431925
GCF_000336775.1,RS_GCF_000336775.1,120,99.06,0.0,417,f__Halobacteriaceae (UID96),263,0.0,3507449,86.44739066803177,30,2671865,65.85486746777705,4057322,RS_GCF_000336775.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax gibbonsii,type strain of species,LPSN,f,6,6,846450,846450,126143,2,1843,NZ_AOLJ01000013.1,230556,2,115,NZ_AOLJ01000019.1,1664,2933,0,98.558,AOLF01000016.1.2585,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloferax;Haloferax sp. ATCC BAA-644,135244,135244,f,f,t,232176,232176,Contig,ASM33677v1,na,PRJNA224116,SAMN02471685,30,232176,none,2013-02-04,GCA_000336775.1,none,full,none,none,none,0,0,Haloferax gibbonsii ATCC 33959,3941,na,6,none,none,none,none,none,2013/02/04,0,35746,1,ATCC 33959,"University of California, Davis",1227459,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax gibbonsii,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax gibbonsii;x__Haloferax gibbonsii ATCC 33959,0,4057322,11,58,assembly from type material,4057322,0,AOLJ00000000.1,4022,30,101479,1,1471,2591,0,98.64,651042,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloferax;s__,1555,NZ_AOLJ01000012.1,1442,2660,0,100,AOLJ01000012.98386.99827,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloferax;Haloferax gibbonsii ATCC 33959,0,19,59,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax gibbonsii
