id,uniprot_id,gtdb_id,db_proka_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_organism_name,length,source
A0A6G3ZMD2,A0A6G3ZMD2,NZ_VSLZ01000004.1_181,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp010747475,Halorussus sp. MSC15.2,212.0,Wider GTDB 214
WP_253478286.1@GCF_024138125.1,,NZ_CP099993.1_2066,WP_253478286.1@GCF_024138125.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp024138125,Halorussus sp. YCN54,289.0,DB prokaryotes (GTDB 214 subset)
A0A4D6HFK7,A0A4D6HFK7,NZ_CP031310.1_2352,WP_079979488.1@GCF_004799665.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,Halapricum salinum,Halapricum salinum,277.0,DB prokaryotes (GTDB 214 subset)
A0A4C2ENS6,A0A4C2ENS6,NZ_BIXZ01000012.1_61,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula mannanilytica,Haloarcula mannanilytica,249.0,Wider GTDB 214
WP_248907559.1@GCF_023276375.1,,NZ_JALLPK010000001.1_2583,WP_248907559.1@GCF_023276375.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halocatena,Halocatena sp023276375,Halocatena sp. DFN5,281.0,DB prokaryotes (GTDB 214 subset)
WP_164731977.1@GCF_000023965.1,,NC_013202.1_958,WP_164731977.1@GCF_000023965.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei,Halomicrobium mukohataei DSM 12286,309.0,DB prokaryotes (GTDB 214 subset)
WP_153552385.1@GCF_009617995.1,,NZ_CP044129.1_444,WP_153552385.1@GCF_009617995.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium sp009617995,Halomicrobium sp. LC1Hm,265.0,DB prokaryotes (GTDB 214 subset)
WP_135663906.1@GCF_900880625.1,,,WP_135663906.1@GCF_900880625.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus rudnickae,Halorhabdus rudnickae,114.0,DB prokaryotes (GTDB 214 subset)
NZ_CAAHFB010000001.1_1648,,NZ_CAAHFB010000001.1_1648,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus rudnickae,,260.0,Wider GTDB 214
A0A663A714,A0A663A714,NZ_VRYN01000005.1_8,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,Halobacterium salinarum (strain ATCC 33171 / DSM 3754 / JCM 8978 / NBRC 102687 / NCIMB 764 / 91-R6),254.0,Wider GTDB 214
A0A895AJK3,A0A895AJK3,NZ_VRYN01000036.1_1,WP_136361702.1@GCF_008124605.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,Halobacterium salinarum DSM 3754,296.0,DB prokaryotes (GTDB 214 subset)
WP_244289023.1@GCF_008124605.1,,,WP_244289023.1@GCF_008124605.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,Halobacterium salinarum DSM 3754,242.0,DB prokaryotes (GTDB 214 subset)
WP_009762310.1@GCF_000230955.2,,NZ_CP007061.1_33,WP_009762310.1@GCF_000230955.2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium sp000230955,Halobacterium sp. DL1,296.0,DB prokaryotes (GTDB 214 subset)
WP_195156013.1@GCF_000334895.1,,NZ_BAFM01000006.1_110,WP_195156013.1@GCF_000334895.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus agarilyticus,Halococcus agarilyticus,227.0,DB prokaryotes (GTDB 214 subset)
WP_161606962.1@GCF_000336935.1,,NZ_AOME01000068.1_17,WP_161606962.1@GCF_000336935.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus salifodinae,Halococcus salifodinae DSM 8989,281.0,DB prokaryotes (GTDB 214 subset)
WP_234299077.1@GCF_021431925.1,,,WP_234299077.1@GCF_021431925.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobaculum,Halobaculum sp021431925,Halobaculum sp. CBA1158,312.0,DB prokaryotes (GTDB 214 subset)
WP_239639938.1@GCF_000336775.1,,,WP_239639938.1@GCF_000336775.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax gibbonsii,Haloferax gibbonsii ATCC 33959,270.0,DB prokaryotes (GTDB 214 subset)
NZ_AOLJ01000018.1_115,,NZ_AOLJ01000018.1_115,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax gibbonsii,,321.0,Wider GTDB 214
WP_206536420.1@GCF_000336955.1,,NZ_AOLI01000017.1_204,WP_206536420.1@GCF_000336955.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax larsenii,Haloferax larsenii JCM 13917,310.0,DB prokaryotes (GTDB 214 subset)
A0A8T5C7M9,A0A8T5C7M9,NC_013966.1_286,WP_004043226.1@GCF_000025685.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax volcanii,Haloferax volcanii DS2,305.0,DB prokaryotes (GTDB 214 subset)
WP_197427780.1@GCF_900115675.1,,,WP_197427780.1@GCF_900115675.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina pelagica,Halolamina pelagica,374.0,DB prokaryotes (GTDB 214 subset)
NZ_FOXI01000014.1_10,,NZ_FOXI01000014.1_10,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina pelagica,Halolamina pelagica,345.0,Wider GTDB 214
CP002989.1_262,,CP002989.1_262,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina sp000224475,Halobacterium sp. DL1,296.0,DB prokaryotes (GTDB 214 subset)
AEN07551.1@GCA_000224475.1,,,AEN07551.1@GCA_000224475.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina sp000224475,halophilic archaeon DL31,296.0,DB prokaryotes (GTDB 214 subset)
A0A1I5UQF1,A0A1I5UQF1,NZ_AP017570.1_62,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum trapanicum A,Halolamina pelagica,345.0,Wider GTDB 214
WP_049926653.1@GCF_000455345.1,,NZ_HG315690.1_1402,WP_049926653.1@GCF_000455345.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Halopiger A,Halopiger A goleimassiliensis,Halopiger goleimassiliensis,263.0,DB prokaryotes (GTDB 214 subset)
WP_174681857.1@GCF_013342145.1,,,WP_174681857.1@GCF_013342145.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena gelatinilytica,Haloterrigena sp. SYSU A558-1,248.0,DB prokaryotes (GTDB 214 subset)
WP_174682227.1@GCF_013342145.1,,NZ_JABUQZ010000001.1_3948,WP_174682227.1@GCF_013342145.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena gelatinilytica,Haloterrigena sp. SYSU A558-1,316.0,DB prokaryotes (GTDB 214 subset)
NZ_JABUQZ010000001.1_3516,,NZ_JABUQZ010000001.1_3516,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena gelatinilytica,,283.0,Wider GTDB 214
WP_211338378.1@GCF_003977755.1,,,WP_211338378.1@GCF_003977755.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena salifodinae,Haloterrigena salifodinae,248.0,DB prokaryotes (GTDB 214 subset)
NZ_RQWN01000003.1_527,,NZ_RQWN01000003.1_527,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena salifodinae,,283.0,Wider GTDB 214
WP_008892994.1@GCF_000337495.1,,,WP_008892994.1@GCF_000337495.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena salina,Haloterrigena salina JCM 13891,277.0,DB prokaryotes (GTDB 214 subset)
WP_008893279.1@GCF_000337495.1,,,WP_008893279.1@GCF_000337495.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena salina,Haloterrigena salina JCM 13891,248.0,DB prokaryotes (GTDB 214 subset)
WP_083870254.1@GCF_000337495.1,,NZ_AOIS01000027.1_81,WP_083870254.1@GCF_000337495.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena salina,Haloterrigena salina JCM 13891,315.0,DB prokaryotes (GTDB 214 subset)
NZ_AOIS01000013.1_6,,NZ_AOIS01000013.1_6,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena salina,,284.0,Wider GTDB 214
NZ_AOIS01000017.1_52,,NZ_AOIS01000017.1_52,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena salina,,283.0,Wider GTDB 214
D2RT16,D2RT16,NC_013743.1_2014,WP_012943185.1@GCF_000025325.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena turkmenica,Haloterrigena turkmenica DSM 5511,264.0,DB prokaryotes (GTDB 214 subset)
D2S212,D2S212,NC_013745.1_182,WP_012945653.1@GCF_000025325.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena turkmenica,Haloterrigena turkmenica DSM 5511,314.0,DB prokaryotes (GTDB 214 subset)
WP_161958287.1@GCF_003430825.1,,,WP_161958287.1@GCF_003430825.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrarchaeobaculum,Natrarchaeobaculum sulfurireducens,Natrarchaeobaculum sulfurireducens,162.0,DB prokaryotes (GTDB 214 subset)
A0A3N6M7T8,A0A3N6M7T8,NZ_REFZ01000024.1_27,WP_124193256.1@GCF_003841465.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrarchaeobius,Natrarchaeobius chitinivorans A,Natrarchaeobius chitinivorans,279.0,DB prokaryotes (GTDB 214 subset)
A0A1W6ALC8,A0A1W6ALC8,NZ_JNCS01000004.1_296,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema altunense,Natrinema altunense,283.0,Wider GTDB 214
WP_007110057.1@GCF_000731985.1,,,WP_007110057.1@GCF_000731985.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema altunense,Natrinema altunense,248.0,DB prokaryotes (GTDB 214 subset)
WP_241432498.1@GCF_000337175.1,,NZ_AOIJ01000052.1_25,WP_241432498.1@GCF_000337175.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema gari,Natrinema gari JCM 14663,114.0,DB prokaryotes (GTDB 214 subset)
A0A7D5KJY3,A0A7D5KJY3,NZ_CP058601.1_2884,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema halophilum,Natrinema halophilum,286.0,Wider GTDB 214
A0A7D5KXX8,A0A7D5KXX8,NZ_CP058601.1_2716,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema halophilum,Natrinema halophilum,296.0,Wider GTDB 214
OAQ51225.1@GCA_000690595.2,,JHUT02000017.1_13,OAQ51225.1@GCA_000690595.2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema mahii,Haloterrigena mahii,241.0,DB prokaryotes (GTDB 214 subset)
L9ZA08,L9ZA08,NZ_AOII01000014.1_48,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pallidum,Natrinema pallidum DSM 3751,241.0,Wider GTDB 214
WP_083864448.1@GCF_000337615.1,,,WP_083864448.1@GCF_000337615.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pallidum,Natrinema pallidum DSM 3751,258.0,DB prokaryotes (GTDB 214 subset)
WP_083864503.1@GCF_000337615.1,,NZ_AOII01000036.1_36,WP_083864503.1@GCF_000337615.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pallidum,Natrinema pallidum DSM 3751,264.0,DB prokaryotes (GTDB 214 subset)
L0JJ00,L0JJ00,NC_019962.1_354,WP_015298689.1@GCF_000230735.2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pellirubrum,Natrinema pellirubrum DSM 15624,273.0,DB prokaryotes (GTDB 214 subset)
L0JNK8,L0JNK8,NC_019962.1_2078,WP_015299009.1@GCF_000230735.2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pellirubrum,Natrinema pellirubrum DSM 15624,264.0,DB prokaryotes (GTDB 214 subset)
L0JQ08,L0JQ08,NC_019962.1_3778,WP_015299281.1@GCF_000230735.2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pellirubrum,Natrinema pellirubrum DSM 15624,294.0,DB prokaryotes (GTDB 214 subset)
WP_081597641.1@GCF_000230735.2,,NC_019962.1_2354,WP_081597641.1@GCF_000230735.2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pellirubrum,Natrinema pellirubrum DSM 15624,270.0,DB prokaryotes (GTDB 214 subset)
NZ_CP084472.1_3305,,NZ_CP084472.1_3305,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema sp020405225,,288.0,Wider GTDB 214
ELZ16389.1@GCA_000337115.1,,AOIR01000031.1_72,ELZ16389.1@GCA_000337115.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,Haloterrigena thermotolerans DSM 11552,273.0,DB prokaryotes (GTDB 214 subset)
AOIR01000038.1_26,,AOIR01000038.1_26,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,,298.0,Wider GTDB 214
L0JZR0,L0JZR0,NC_019974.1_1502,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronococcus,Natronococcus occultus,Natronococcus occultus SP4,241.0,Wider GTDB 214
WP_157224598.1@GCF_000328685.1,,,WP_157224598.1@GCF_000328685.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronococcus,Natronococcus occultus,Natronococcus occultus SP4,264.0,DB prokaryotes (GTDB 214 subset)
A0A1H6FZD9,A0A1H6FZD9,NZ_FNWL01000002.1_725,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,Natronorubrum sediminis,Natronorubrum sediminis,299.0,Wider GTDB 214
WP_175459731.1@GCF_900108095.1,,,WP_175459731.1@GCF_900108095.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,Natronorubrum sediminis,Natronorubrum sediminis,289.0,DB prokaryotes (GTDB 214 subset)
L9VJX3,L9VJX3,NZ_KB913017.1_495,WP_006092146.1@GCF_000383975.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,Natronorubrum tibetense,Natronorubrum tibetense GA33,274.0,DB prokaryotes (GTDB 214 subset)
CP040678.1_2475@GCA_005954745.1,,,CP040678.1_2475@GCA_005954745.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,QS-9-68-17,Halostella,Halostella pelagica,Halostella pelagica,295.0,DB prokaryotes (GTDB 214 subset)
CP040678.1_2475,,CP040678.1_2475,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,QS-9-68-17,Halostella,Halostella pelagica,,295.0,Wider GTDB 214
SKSD01000001.1_94@GCA_007118145.1,,,SKSD01000001.1_94@GCA_007118145.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,SKSH01,SKSH01,SKSH01 sp007118145,Halobacteriales archaeon,273.0,DB prokaryotes (GTDB 214 subset)
SKSD01000001.1_94,,SKSD01000001.1_94,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,SKSH01,SKSH01,SKSH01 sp007118145,,273.0,Wider GTDB 214
DARA01000066.1_3@GCA_002503135.1,,,DARA01000066.1_3@GCA_002503135.1,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,UBA207,UBA207 sp002503135,Methanomicrobiaceae archaeon UBA207,180.0,DB prokaryotes (GTDB 214 subset)
DARA01000066.1_3,,DARA01000066.1_3,,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,UBA207,UBA207 sp002503135,,180.0,Wider GTDB 214
NZ_FZMP01000010.1_36,,NZ_FZMP01000010.1_36,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens nitroreducens A,,223.0,Wider GTDB 214
WP_250867346.1@GCF_023684405.1,,,WP_250867346.1@GCF_023684405.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides seepicolus,Methanococcoides seepicolus,235.0,DB prokaryotes (GTDB 214 subset)
NZ_JAGSOI010000007.1_24,,NZ_JAGSOI010000007.1_24,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides seepicolus,,250.0,Wider GTDB 214
A0A7Z7FCV1,A0A7Z7FCV1,NZ_FNCA01000005.1_84,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus vulcani,Methanolobus vulcani,276.0,Wider GTDB 214
JAMXHR010000010.1_984,,JAMXHR010000010.1_984,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri C,,266.0,Wider GTDB 214
A0A0E3NKG2,A0A0E3NKG2,NZ_CP009503.1_1446,WP_052722646.1@GCF_000969965.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp000969965,Methanosarcina sp. WWM596,267.0,DB prokaryotes (GTDB 214 subset)
A0A2A2HTT2,A0A2A2HTT2,NZ_LMVP01000201.1_31,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina spelaei,Methanosarcina spelaei,182.0,Wider GTDB 214
I3ZTP7,I3ZTP7,NC_018015.1_899,WP_014788716.1@GCF_000265525.1,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus cleftensis,Thermococcus cleftensis,313.0,DB prokaryotes (GTDB 214 subset)
WAKV01000040.1_2,,WAKV01000040.1_2,,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp015523185,,312.0,Wider GTDB 214
NZ_CP102602.1_1598,,NZ_CP102602.1_1598,,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp024707485,,323.0,Wider GTDB 214
NZ_AJLF01000002.1_27,,NZ_AJLF01000002.1_27,,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus zilligii,,329.0,Wider GTDB 214
WAKV01000040.1_2@GCA_015523185.1,,,WAKV01000040.1_2@GCA_015523185.1,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp015523185,Thermococcus sp.,312.0,DB prokaryotes (GTDB 214 subset)
PWKY01000076.1_62@GCA_003560595.1,,,PWKY01000076.1_62@GCA_003560595.1,Archaea,Thermoplasmatota,Thermoplasmata,PWKY01,PWKY01,PWKY01,PWKY01 sp003560595,Thermoplasmata archaeon,153.0,DB prokaryotes (GTDB 214 subset)
PWKY01000076.1_62,,PWKY01000076.1_62,,Archaea,Thermoplasmatota,Thermoplasmata,PWKY01,PWKY01,PWKY01,PWKY01 sp003560595,,153.0,Wider GTDB 214
EQB64365.1@GCA_001856825.1,,,EQB64365.1@GCA_001856825.1,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp001856825,Thermoplasmatales archaeon I-plasma,215.0,DB prokaryotes (GTDB 214 subset)
ATMD01000005.1_21,,ATMD01000005.1_21,,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp001856825,,206.0,Wider GTDB 214
A0A1N5WFV7,A0A1N5WFV7,NZ_LT671858.1_1752,WP_148690163.1@GCF_900083515.1,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma divulgatum,Cuniculiplasma divulgatum,206.0,DB prokaryotes (GTDB 214 subset)
WP_021792159.1@GCF_000011185.1,,,WP_021792159.1@GCF_000011185.1,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,Thermoplasma volcanium GSS1,215.0,DB prokaryotes (GTDB 214 subset)
NC_002689.2_1603,,NC_002689.2_1603,,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,,230.0,Wider GTDB 214
DAJC01000023.1_20@GCA_002498845.1,,,DAJC01000023.1_20@GCA_002498845.1,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,UBA509,UBA509 sp002498845,Thermoplasmatales archaeon UBA509,203.0,DB prokaryotes (GTDB 214 subset)
DAJC01000023.1_19,,DAJC01000023.1_19,,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,UBA509,UBA509 sp002498845,,203.0,Wider GTDB 214
WP_048057428.1@GCF_000204925.1,,NC_015435.1_643,WP_048057428.1@GCF_000204925.1,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera cuprina,Metallosphaera cuprina Ar-4,122.0,DB prokaryotes (GTDB 214 subset)
