Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Taxonomic lineage
A0A4D6KBW0,unreviewed,A0A4D6KBW0_9EURY,Halocin C8-like bacteriocin domain-containing protein,E5139_07995,Halomicrobium mukohataei,316.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Halomicrobium (genus)"
A0A509LRT7,unreviewed,A0A509LRT7_STAEP,Uncharacterized protein,F9B59_13235 H3963_06005,Staphylococcus epidermidis,244.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Staphylococcaceae (family), Staphylococcus (genus)"
A0A6C0VKD2,unreviewed,A0A6C0VKD2_METMZ,Uncharacterized protein,FQU78_11785,Methanosarcina mazei (Methanosarcina frisia),184.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanosarcinales (order), Methanosarcinaceae (family), Methanosarcina (genus)"
A0A7Z2T0I4,unreviewed,A0A7Z2T0I4_9BACI,Uncharacterized protein,M662_19200,Bacillus sp. SB49,144.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), unclassified Bacillus (in: firmicutes) (no rank)"
A0A8T8DWK0,unreviewed,A0A8T8DWK0_9EURY,Halocin C8,JMJ58_11585,Haloterrigena salifodinae,315.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Haloterrigena (genus)"
A0A8T8E6W5,unreviewed,A0A8T8E6W5_9EURY,Halocin C8,JMJ58_09420,Haloterrigena salifodinae,248.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Haloterrigena (genus)"
A0A972G812,unreviewed,A0A972G812_9CHLR,Uncharacterized protein,GFH27_549287n77,Chloroflexi bacterium AL-W,117.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Chloroflexota (phylum), unclassified Chloroflexota (no rank)"
A0A9Q5P106,unreviewed,A0A9Q5P106_9STAP,Uncharacterized protein,HMPREF2922_11810,Staphylococcus sp. HMSC073E10,244.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Staphylococcaceae (family), Staphylococcus (genus), unclassified Staphylococcus (no rank)"
C7P188,unreviewed,C7P188_HALMD,Halocin C8-like bacteriocin domain-containing protein,Hmuk_0967,Halomicrobium mukohataei (strain ATCC 700874 / DSM 12286 / JCM 9738 / NCIMB 13541) (Haloarcula mukohataei),254.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Halomicrobium (genus), Halomicrobium mukohataei (species)"
D2RT16,unreviewed,D2RT16_HALTV,Halocin C8,Htur_2012,Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / JCM 9101 / NCIMB 13204 / VKM B-1734 / 4k) (Halococcus turkmenicus),264.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Haloterrigena (genus), Haloterrigena turkmenica (species)"
D4GQY8,unreviewed,D4GQY8_HALVD,Halocin,HVO_A0311,Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii),305.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)"
L0JJ00,unreviewed,L0JJ00_NATP1,Twin-arginine translocation signal domain-containing protein,Natpe_0364,Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157),273.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), Natrinema pellirubrum (species)"
L5NYT2,unreviewed,L5NYT2_9EURY,Halocin C8 (TBD),D320_05356,Haloferax sp. BAB-2207,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
L9VJX3,unreviewed,L9VJX3_9EURY,Uncharacterized protein,C496_20115,Natronorubrum tibetense GA33,274.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natronorubrum (genus), Natronorubrum tibetense (species)"
L9Z1R6,unreviewed,L9Z1R6_9EURY,Halocin C8,C486_11866,Natrinema gari JCM 14663,133.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), Natrinema gari (species)"
M0GM17,unreviewed,M0GM17_HALL2,Halocin C8 (TBD),C456_13553,Haloferax lucentense (strain DSM 14919 / JCM 9276 / NCIMB 13854 / Aa 2.2) (Haloferax alicantei),306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), Haloferax lucentense (species)"
Q978B7,unreviewed,Q978B7_THEVO,TVG1550926 protein,TVG1550926,Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1),233.0,"cellular organisms (no rank), Archaea (superkingdom), Candidatus Thermoplasmatota (phylum), Thermoplasmata (class), Thermoplasmatales (order), Thermoplasmataceae (family), Thermoplasma (genus), Thermoplasma volcanium (species)"
A0A0K0KFP9,unreviewed,A0A0K0KFP9_9EURY,Halocin C8,proC8,Natrinema sp. SWI15,283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), unclassified Natrinema (no rank)"
A0A0K1IUZ8,unreviewed,A0A0K1IUZ8_HALGI,Halocin C8 (TBD),ABY42_10530,Haloferax gibbonsii,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus)"
A0A161XFS4,unreviewed,A0A161XFS4_9EURY,Halocin C8,A4G99_10995,Haladaptatus sp. R4,232.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haladaptataceae (family), Haladaptatus (genus), unclassified Haladaptatus (no rank)"
A0A1W6ALB1,unreviewed,A0A1W6ALB1_9EURY,Halocin C8,halC8,Natrinema thermotolerans,283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A1W6ALE1,unreviewed,A0A1W6ALE1_9EURY,Halocin C8,halC8,Natrinema pallidum,217.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A1W6ALE4,unreviewed,A0A1W6ALE4_9EURY,Halocin C8,halC8,Natrinema thermotolerans,283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A1Z3U3W1,unreviewed,A0A1Z3U3W1_9STAP,Uncharacterized protein,CJ235_01245,Staphylococcus pettenkoferi,244.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Staphylococcaceae (family), Staphylococcus (genus)"
A0A233VLU4,unreviewed,A0A233VLU4_FINMA,Bacteriocin,B9N55_03170,Finegoldia magna (Peptostreptococcus magnus),234.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Tissierellia (class), Tissierellales (order), Peptoniphilaceae (family), Finegoldia (genus)"
A0A2A2HTT2,unreviewed,A0A2A2HTT2_9EURY,Uncharacterized protein,ASJ81_05655,Methanosarcina spelaei,182.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanosarcinales (order), Methanosarcinaceae (family), Methanosarcina (genus)"
A0A2W0H8Y2,unreviewed,A0A2W0H8Y2_9BACI,Uncharacterized protein,CR205_03255,Alteribacter lacisalsi,262.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Alteribacter (genus)"
A0A345NIG9,unreviewed,A0A345NIG9_9MICO,Uncharacterized protein,DV701_00280,Ornithinimicrobium avium,194.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Ornithinimicrobiaceae (family), Ornithinimicrobium (genus)"
A0A4D6GVY6,unreviewed,A0A4D6GVY6_HALS9,Putative halocin,HBSAL_05165,Halobacterium salinarum (strain ATCC 33171 / DSM 3754 / JCM 8978 / NBRC 102687 / NCIMB 764 / 91-R6),242.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), Halobacterium salinarum (species)"
A0A663A714,unreviewed,A0A663A714_HALS9,Halocin C8-like bacteriocin domain-containing protein,APQ99_01956,Halobacterium salinarum (strain ATCC 33171 / DSM 3754 / JCM 8978 / NBRC 102687 / NCIMB 764 / 91-R6),254.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), Halobacterium salinarum (species)"
A0A6C0UTI0,unreviewed,A0A6C0UTI0_9EURY,Halocin C8 (TBD),G3A49_05400 GOC85_08870,Haloferax alexandrinus,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus)"
A0A7C3YPM0,unreviewed,A0A7C3YPM0_9EURY,Uncharacterized protein,ENX77_02695,Geoglobus ahangari,50.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Geoglobus (genus)"
A0A7D5KXX8,unreviewed,A0A7D5KXX8_9EURY,Uncharacterized protein,HYG82_13055,Natrinema halophilum,296.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A7Y0K5F6,unreviewed,A0A7Y0K5F6_9BACI,Uncharacterized protein,HHU08_03800,Niallia alba,142.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Niallia (genus)"
A0A841HDW6,unreviewed,A0A841HDW6_HALSI,Halocin C8-like bacteriocin domain-containing protein,HNR49_001912,Halobacterium salinarum (Halobacterium halobium),253.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus)"
A0A8I0W9I0,unreviewed,A0A8I0W9I0_STAEP,Uncharacterized protein,I3V53_09975,Staphylococcus epidermidis,244.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Staphylococcaceae (family), Staphylococcus (genus)"
A0A8J8DY53,unreviewed,A0A8J8DY53_9EURY,Uncharacterized protein,E3E35_00770,Thermococcus sp. GR7,326.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Thermococcus (genus), unclassified Thermococcus (no rank)"
A0A8J8DYP0,unreviewed,A0A8J8DYP0_9EURY,Transmembrane protein,E3E32_06970,Thermococcus sp. GR6,323.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Thermococcus (genus), unclassified Thermococcus (no rank)"
A0A8J8EMF9,unreviewed,A0A8J8EMF9_9EURY,CGP-CTERM sorting domain-containing protein,E3E34_04910,Thermococcus sp. GR4,326.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Thermococcus (genus), unclassified Thermococcus (no rank)"
A0A9E5D9C8,unreviewed,A0A9E5D9C8_9EURY,Uncharacterized protein,KDK67_02940,Methanococcoides seepicolus,235.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanosarcinales (order), Methanosarcinaceae (family), Methanococcoides (genus)"
B0R494,unreviewed,B0R494_HALS3,Probable halocin (Homolog to halocin C8),OE_2232F,Halobacterium salinarum (strain ATCC 29341 / DSM 671 / R1),254.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), Halobacterium salinarum (species), Halobacterium salinarum NRC-34001 (strain)"
L0JNK8,unreviewed,L0JNK8_NATP1,Halocin C8,Natpe_2122,Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157),264.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), Natrinema pellirubrum (species)"
L0JQ08,unreviewed,L0JQ08_NATP1,Halocin C8,Natpe_3861,Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157),294.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), Natrinema pellirubrum (species)"
M0H5W0,unreviewed,M0H5W0_HALGM,Halocin C8 (TBD),C454_11968,Haloferax gibbonsii (strain ATCC 33959 / DSM 4427 / JCM 8863 / NBRC 102184 / NCIMB 2188 / Ma 2.38),306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), Haloferax gibbonsii (species)"
A0A0B0D932,unreviewed,A0A0B0D932_9BACI,Uncharacterized protein,LD39_03395,Halobacillus sp. BBL2006,198.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Halobacillus (genus), unclassified Halobacillus (no rank)"
A0A0K0KG39,unreviewed,A0A0K0KG39_9EURY,Halocin C8,proC8,Natrinema sp. SSI3,283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), unclassified Natrinema (no rank)"
A0A0U2Z4M8,unreviewed,A0A0U2Z4M8_9BACL,Uncharacterized protein,AUC31_06050,Planococcus rifietoensis,261.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Planococcaceae (family), Planococcus (genus)"
A0A1E9A322,unreviewed,A0A1E9A322_9STAP,Uncharacterized protein,HMPREF2802_05255,Staphylococcus sp. HMSC071G07,244.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Staphylococcaceae (family), Staphylococcus (genus), unclassified Staphylococcus (no rank)"
A0A1M7C1A1,unreviewed,A0A1M7C1A1_HALPU,Halocin C8-like bacteriocin domain-containing protein,SAMN05444342_4243,Haladaptatus paucihalophilus DX253,287.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haladaptataceae (family), Haladaptatus (genus), Haladaptatus paucihalophilus (species)"
A0A1W6ALD1,unreviewed,A0A1W6ALD1_9EURY,Halocin C8,halC8,Natrinema ejinorense,283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A1W6ALD9,unreviewed,A0A1W6ALD9_9EURY,Halocin C8,halC8,Haloterrigena salina,275.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Haloterrigena (genus)"
A0A1W6ALE0,unreviewed,A0A1W6ALE0_9EURY,Halocin C8,halC8,Natrinema hispanicum,217.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A2A4HF10,unreviewed,A0A2A4HF10_9STAP,Uncharacterized protein,B4W69_02145,Staphylococcus delphini,121.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Staphylococcaceae (family), Staphylococcus (genus), Staphylococcus intermedius group (no rank)"
A0A2W5SWS7,unreviewed,A0A2W5SWS7_9CORY,Secreted protein,DI525_02595,Corynebacterium kroppenstedtii,52.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Corynebacteriaceae (family), Corynebacterium (genus)"
A0A371KPK0,unreviewed,A0A371KPK0_9EURY,Halocin C8 (TBD),C5B89_16775,Haloferax sp. Atlit-47N,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
A0A371LX49,unreviewed,A0A371LX49_9EURY,Halocin C8 (TBD),C5C07_13085,Haloferax sp. Atlit-4N,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
A0A3A5JHE5,unreviewed,A0A3A5JHE5_9EURY,Halocin C8,D3261_02790,Halococcus sp. IIIV-5B,322.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halococcaceae (family), Halococcus (genus), unclassified Halococcus (no rank)"
A0A3A5JJX3,unreviewed,A0A3A5JJX3_9EURY,Tat pathway signal sequence domain protein,D3261_03045,Halococcus sp. IIIV-5B,271.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halococcaceae (family), Halococcus (genus), unclassified Halococcus (no rank)"
A0A3N6M7T8,unreviewed,A0A3N6M7T8_NATCH,Halocin C8,EA472_20435,Natrarchaeobius chitinivorans,279.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrarchaeobius (genus)"
A0A482Y2L7,unreviewed,A0A482Y2L7_9EURY,Halocin C8,ELS17_06575,Natrinema altunense,301.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A498DZ70,unreviewed,A0A498DZ70_9EURY,Halocin C8 (TBD),DVK03_17270,Haloferax sp. Atlit-109R,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
A0A4C2ENS6,unreviewed,A0A4C2ENS6_9EURY,Halocin C8-like bacteriocin domain-containing protein,Harman_38800,Haloarcula mannanilytica,249.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Haloarcula (genus)"
A0A4P9TFS7,unreviewed,A0A4P9TFS7_9EURY,Halocin C8,FGF80_10715,Natrinema pallidum,298.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A558GC35,unreviewed,A0A558GC35_HALVO,Halocin C8 (TBD),FQA18_07030,Haloferax volcanii (Halobacterium volcanii),306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus)"
A0A5Q0UL39,unreviewed,A0A5Q0UL39_9EURY,Uncharacterized protein,LC1Hm_0465,Halomicrobium sp. LC1Hm,237.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Halomicrobium (genus), unclassified Halomicrobium (no rank)"
A0A7D5KJY3,unreviewed,A0A7D5KJY3_9EURY,Halocin C8,HYG82_13830,Natrinema halophilum,286.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A7K4FLI4,unreviewed,A0A7K4FLI4_9ARCH,Saposin B-type domain-containing protein,HLB00_03385,Ferroplasma acidiphilum,215.0,"cellular organisms (no rank), Archaea (superkingdom), Candidatus Thermoplasmatota (phylum), Thermoplasmata (class), Thermoplasmatales (order), Ferroplasmaceae (family), Ferroplasma (genus)"
A0A895AV76,unreviewed,A0A895AV76_9EURY,Halocin C8,JRZ79_03215,Halobacterium sp. BOL4-2,264.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), unclassified Halobacterium (no rank)"
A0A8G1J0K7,unreviewed,A0A8G1J0K7_9ACTN,Uncharacterized protein,K3N28_01745,Glycomyces sp. TRM65418,246.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Actinomycetota (phylum), Actinomycetes (class), Glycomycetales (order), Glycomycetaceae (family), Glycomyces (genus), unclassified Glycomyces (no rank)"
I4EKE5,unreviewed,I4EKE5_9BACT,RHS repeat-associated core domain-containing protein,NITHO_4570009,Nitrolancea hollandica Lb,292.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Thermomicrobiota (phylum), Thermomicrobia (class), Sphaerobacterales (order), Sphaerobacterineae (suborder), Sphaerobacteraceae (family), Nitrolancea (genus), Nitrolancea hollandica (species)"
L0JLR2,unreviewed,L0JLR2_NATP1,Halocin C8,Natpe_2403,Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157),298.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), Natrinema pellirubrum (species)"
