protein_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,length
NZ_JABUQZ010000001.1_3948,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena gelatinilytica,316
NZ_SBIS02000007.1_351,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus salinus,288
NZ_AOIS01000027.1_81,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena salina,315
NZ_VRYN01000036.1_1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,296
NZ_CP035119.1_2349,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus pelagicus,288
NZ_ML974127.1_156,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus salinus,287
NZ_VRYN01000005.1_8,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,254
NZ_LT962470.1_288,Bacteria,Bacillota A,Clostridia,Tissierellales,Peptoniphilaceae,Ezakiella,Ezakiella peruensis,81
NZ_BMKZ01000020.1_51,Bacteria,Bacillota,Bacilli,Caldalkalibacillales,Caldalkalibacillaceae,Caldalkalibacillus,Caldalkalibacillus thermarum,252
NZ_CP048117.1_3818,Bacteria,Bacillota,Bacilli,Bacillales D,Halobacillaceae,Halobacillus,Halobacillus sp001592845,262
NZ_JRNX01000089.1_3,Bacteria,Bacillota,Bacilli,Bacillales D,Halobacillaceae,Halobacillus,Halobacillus sp000786645,198
NZ_BORP01000008.1_88,Bacteria,Bacillota,Bacilli,Bacillales D,Amphibacillaceae,Paucisalibacillus,Paucisalibacillus bavariensis,125
NZ_CP039247.1_1995,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium endometrii,276
NZ_UHDI01000001.1_44,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum,242
NZ_LT800499.1_1151,Bacteria,Bacillota,Bacilli,Bacillales D,Halobacillaceae,Halobacillus A,Halobacillus A massiliensis,261
JALFAQ010000035.1_29,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum A,206
NZ_JAJFAX010000001.1_346,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Glycomyces,Glycomyces sp019710475,246
NZ_NTUP01000066.1_457,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae B,Rossellomorea,Rossellomorea sp002561455,257
NZ_JAIEZV010000002.1_369,Bacteria,Bacillota,Bacilli,Bacillales D,Halobacillaceae,Halobacillus,Halobacillus sp019599545,259
NZ_PDOF01000001.1_643,Bacteria,Bacillota,Bacilli,Bacillales H,Salisediminibacteriaceae,Alteribacter,Alteribacter lacisalsi,262
NZ_JAAMTH010000001.1_3313,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus sp018283455,257
NZ_MDDN01000001.1_396,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus xylanilyticus A,90
NZ_PPPX01000001.1_513,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus argensis,244
NZ_LR134263.1_321,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus delphini,121
NZ_PPQK01000076.1_1,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus chromogenes,244
NZ_JAAMTH010000001.1_858,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus sp018283455,261
DBQX01000110.1_12,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,UBA1383,UBA1383 sp002305415,197
RZYE01000484.1_2,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,UBA1383,UBA1383 sp009930425,243
NZ_CP013659.2_504,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus rifietoensis,261
NZ_AP019721.1_929,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,244
CALTXP010000111.1_2,Bacteria,Bacillota A,Clostridia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus sp943913325,244
NZ_PPQH01000083.1_2,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus intermedius,227
NZ_AKCS01000005.1_499,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae G,Bacillus A,Bacillus A bingmayongensis,99
NZ_KZ614149.1_2911,Bacteria,Bacillota,Bacilli,Bacillales H,Marinococcaceae,Alteribacillus,Alteribacillus bidgolensis,265
PWKY01000076.1_62,Archaea,Thermoplasmatota,Thermoplasmata,PWKY01,PWKY01,PWKY01,PWKY01 sp003560595,153
NZ_CP102602.1_1598,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp024707485,323
WANV01000005.1_21,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp015521605,309
NZ_SNUQ01000006.1_59,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027555,318
NC_018015.1_899,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus cleftensis,313
NZ_CP102602.1_1520,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp024707485,345
NZ_SNUQ01000001.1_754,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027555,320
NZ_CP015101.1_1973,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus barossii,329
WAKV01000040.1_2,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp015523185,312
NZ_SNUU01000001.1_919,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027645,363
NZ_SNUS01000001.1_792,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027635,359
WANV01000005.1_24,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp015521605,360
NZ_AJLF01000002.1_27,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus zilligii,329
NC_015680.1_542,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus yayanosii,358
NZ_SNUH01000001.1_1237,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027355,360
NZ_CP007264.1_1736,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus nautili,363
NC_018015.1_833,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus cleftensis,264
NZ_CP099582.1_1545,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus A,Thermococcus A aggregans,351
NC_015680.1_233,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus yayanosii,328
NZ_JAGGKB010000001.1_746,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus stetteri,238
NZ_SNUJ01000004.1_62,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027395,342
NC_011529.1_1908,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus onnurineus,320
NZ_CP014855.1_1276,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus gorgonarius,334
NZ_AJLF01000002.1_232,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus zilligii,330
NZ_LR881183.1_452,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus camini,232
NZ_CP015193.1_1732,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus chitonophagus,295
NC_018015.1_835,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus cleftensis,342
NC_011529.1_99,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus onnurineus,276
NZ_CP015105.1_258,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus thioreducens,258
NZ_SNUJ01000001.1_764,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027395,235
NC_000961.1_285,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,205
NZ_SNUJ01000001.1_513,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027395,127
NZ_CP102602.1_1596,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp024707485,164
NZ_CP013011.1_1454,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Pyrodictiaceae,Pyrodictium,Pyrodictium delaneyi,328
NZ_SNUJ01000001.1_514,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027395,169
NZ_SNUH01000001.1_1468,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027355,183
NZ_JAGGKB010000002.1_198,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus stetteri,183
CP002098.1_1166,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Ignisphaeraceae,Ignisphaera,Ignisphaera aggregans,331
NZ_SNUE01000028.1_2,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus A,Thermococcus A sp012027425,93
NC_000961.1_284,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,99
NC_000917.1_1621,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,207
NC_000917.1_1619,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,346
WAOL01000058.1_5,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,NBVN01,WAOL01,WAOL01 sp015521295,350
WAMH01000162.1_10,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp015522395,157
JANXDV010000019.1_2,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp025058955,264
NZ_CP102602.1_1518,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp024707485,91
NZ_SNUJ01000001.1_763,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp012027395,88
NZ_JAGGKB010000001.1_364,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus stetteri,88
NZ_LR881183.1_451,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus camini,63
CP002098.1_1994,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Ignisphaeraceae,Ignisphaera,Ignisphaera aggregans,279
NZ_CP102602.1_1791,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp024707485,261
DRGF01000082.1_2,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp011050175,48
NZ_CP008887.1_463,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus eurythermalis,261
NZ_CP015193.1_1116,Archaea,Methanobacteriota B,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus chitonophagus,67
NZ_CP058601.1_2716,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema halophilum,296
NZ_AOIP01000048.1_1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrialba,Natrialba aegyptia,285
NC_019962.1_354,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pellirubrum,273
NC_013745.1_182,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena turkmenica,314
DAVR01000029.1_14,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus sp002507545,154
DAVR01000028.1_20,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus sp002507545,200
DARA01000066.1_3,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,UBA207,UBA207 sp002503135,180
NZ_JAGSOI010000007.1_24,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides seepicolus,250
NZ_KB913017.1_495,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,Natronorubrum tibetense,274
NZ_CP009503.1_1446,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp000969965,267
NZ_FZMP01000010.1_36,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens nitroreducens A,223
JAMXHR010000010.1_984,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri C,266
JAEORN010000026.1_37,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,MP5-2226,MP5-2226 sp016840825,493
QMYO01000248.1_5,Archaea,Thermoproteota,Bathyarchaeia,B26-1,BA1,B1-G15,B1-G15 sp003662715,493
NC_013202.1_958,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei,309
SKSD01000001.1_94,Archaea,Halobacteriota,Halobacteria,Halobacteriales,SKSH01,SKSH01,SKSH01 sp007118145,273
NZ_AOII01000014.1_48,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pallidum,241
JHUT02000017.1_13,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema mahii,241
CP040678.1_2475,Archaea,Halobacteriota,Halobacteria,Halobacteriales,QS-9-68-17,Halostella,Halostella pelagica,295
NZ_FNCA01000005.1_84,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus vulcani,276
NZ_LMVP01000201.1_31,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina spelaei,182
NZ_LMVP01000201.1_32,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina spelaei,90
NZ_CP032683.1_2352,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina flavescens,245
JAEWQJ010000035.1_11,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp023399215,251
DALS01000026.1_12,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp002499445,243
NZ_CP032683.1_2347,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina flavescens,204
JAMXHR010000010.1_977,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri C,204
NZ_CP032683.1_2342,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina flavescens,250
NZ_CP009503.1_1439,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp000969965,214
NZ_CP009512.1_2422,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,258
NZ_SCHL01000009.1_39,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp004099695,200
NZ_CP009515.1_926,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina lacustris,226
NZ_CP009516.1_2432,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina horonobensis,204
NZ_CP009515.1_922,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina lacustris,258
NZ_CP009526.1_1429,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri B,258
DADO01000133.1_10,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp002509325,73
DUGT01000202.1_8,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp11020u,213
AOIR01000038.1_26,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,298
NC_019962.1_2354,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pellirubrum,270
NZ_CP068159.1_483,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium riegelii,254
CALUAK010000087.1_2,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp943914015,122
NZ_HG315690.1_1402,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Halopiger A,Halopiger A goleimassiliensis,263
NZ_JAJFAY010000003.1_196,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp021083305,285
NZ_AQXI01000005.1_93,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus paucihalophilus,287
NZ_JABBPK010000001.1_711,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Niallia,Niallia alba,142
NZ_SMAN01000028.1_8,Bacteria,Bacillota,Bacilli,Bacillales D,Alkalibacillaceae,Melghiribacillus,Melghiribacillus thermohalophilus,154
NZ_JAGYHC010000001.1_64,Bacteria,Bacillota,Bacilli,Bacillales D,Amphibacillaceae,Virgibacillus H,Virgibacillus H sp019837165,155
NC_013743.1_2014,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena turkmenica,264
NZ_AOII01000036.1_36,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pallidum,264
NC_019962.1_2078,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema pellirubrum,264
NZ_JALLPK010000001.1_2583,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halocatena,Halocatena sp023276375,281
NC_019974.1_1502,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronococcus,Natronococcus occultus,241
NZ_CP059154.1_3011,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema sp013456555,301
NZ_CP044129.1_3125,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium sp009617995,323
NC_013202.1_715,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei,334
NZ_LT671858.1_1752,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma divulgatum,206
ATMD01000005.1_21,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp001856825,206
NC_002689.2_1603,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,230
DAJC01000023.1_19,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,UBA509,UBA509 sp002498845,203
NC_015435.1_643,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera cuprina,122
NZ_QJSM01000022.1_5,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma sp003205235,79
NZ_AP018929.1_988,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Sulfolobaceae,Sulfuracidifex,Sulfuracidifex tepidarius,219
NZ_CP077717.1_2767,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Sulfolobaceae,Saccharolobus,Saccharolobus shibatae,219
NZ_AP018929.1_939,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Sulfolobaceae,Sulfuracidifex,Sulfuracidifex tepidarius,220
JAJYRA010000076.1_6,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma sp021794355,203
NZ_AP024597.1_2609,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Sulfolobaceae,Stygiolobus,Stygiolobus caldivivus,221
JAJYUV010000042.1_12,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp021792355,213
JAKAYB010000044.1_4,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAKAYB01,JAKAYB01 sp021826925,213
JAKAYB010000100.1_4,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAKAYB01,JAKAYB01 sp021826925,213
JAJYZU010000061.1_2,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAKAFX01,JAKAFX01 sp021799755,213
JAKAYB010000044.1_8,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAKAYB01,JAKAYB01 sp021826925,213
NC_002689.2_1623,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,213
NZ_LT671858.1_1721,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma divulgatum,213
NZ_LT549890.1_2204,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Sulfolobaceae,Saccharolobus,Saccharolobus solfataricus,63
NZ_CP077717.1_967,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Sulfolobaceae,Saccharolobus,Saccharolobus shibatae,83
NZ_AP025226.1_426,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Sulfolobaceae,Saccharolobus,Saccharolobus caldissimus,113
JAMCUL010000017.1_19,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma sp023381355,213
NZ_CP019964.1_817,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,Micrarchaeaceae,Mancarchaeum,Mancarchaeum acidiphilum,213
NZ_JAEKIW010000006.1_102,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus neptunius,231
JANJXX010000017.1_2,Archaea,Thermoproteota,JANJXX01,JANJXX01,JANJXX01,JANJXX01,JANJXX01 sp024720975,152
WYER01000004.1_42,Archaea,Thermoproteota,Nitrososphaeria,Conexivisphaerales,UBA164,UBA164,UBA164 sp009903795,57
NZ_CP020772.1_367,Bacteria,Bacillota,Bacilli,Bacillales D,Halobacillaceae,Halobacillus,Halobacillus mangrovi,44
WYDT01000002.1_38,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,AL-N1,AL-N1 sp013122435,117
DAVR01000028.1_21,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus sp002507545,139
