query,target,evalue,bits,tstart,tend,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,sboA,albA,albC,contig_id
NP_391619.1,CAAFLX010000013.1_12,7.814e-86,292,1,238,Bacteria,Bacillota A,Clostridia,Christensenellales,CAG-917,CAG-475,CAG-475 sp900763875,False,False,True,CAAFLX010000013.1
WP_088863145.1,CAAFWR010000053.1_13,1.575e-27,130,129,309,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter A,Methanobrevibacter A sp900766745,False,True,False,CAAFWR010000053.1
NP_391619.1,CAAGHL010000056.1_14,7.651000000000001e-32,136,512,733,Bacteria,Bacillota A,Clostridia,Christensenellales,CAG-314,Fimimonas,Fimimonas sp900769665,False,False,True,CAAGHL010000056.1
NP_391619.1,CAAGIQ010000080.1_2,2.844e-29,128,25,257,Bacteria,Bacillota,Bacilli,RFN20,CAG-288,HGM10890,HGM10890 sp900769965,False,False,True,CAAGIQ010000080.1
NP_391619.1,CAAGME010000002.1_7,5.9980000000000004e-30,130,515,716,Bacteria,Bacillota A,Clostridia,Christensenellales,Borkfalkiaceae,UBA4636,UBA4636 sp900770945,False,False,True,CAAGME010000002.1
NP_391619.1,CAAGMZ010000019.1_185,1.71e-25,117,13,212,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio A,Butyrivibrio A sp900771195,False,False,True,CAAGMZ010000019.1
NP_391619.1,CAAGRM010000094.1_2,8.709e-28,124,9,191,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter sp900772675,False,False,True,CAAGRM010000094.1
NP_391617.1,CABGHH010000004.1_2,1.391e-30,139,118,454,Archaea,Halobacteriota,Methanoliparia,Methanoliparales,Methanoliparaceae,Methanolliviera,Methanolliviera sp902158745,False,True,False,CABGHH010000004.1
WP_051482183.1,CABHOW010000005.1_38,4.976e-31,133,4,224,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Sediminibacterium sp902168225,False,False,True,CABHOW010000005.1
NP_391619.1,CABKMX010000256.1_1,3.444e-59,215,1,169,Bacteria,Bacillota A,Clostridia,Christensenellales,UBA3700,Ornithoclostridium,Ornithoclostridium faecigallinarum,False,False,True,CABKMX010000256.1
WP_051482183.1,CABMCA010000047.1_67,4.86e-39,156,7,202,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp902384525,False,False,True,CABMCA010000047.1
WP_051482183.1,CABMHZ010000291.1_25,1.243e-38,155,3,199,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp902386115,False,False,True,CABMHZ010000291.1
WP_051482183.1,CABMIB010000059.1_14,4.349e-38,154,5,202,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp902386135,False,False,True,CABMIB010000059.1
NP_391617.1,CABMIH010000041.1_33,4.821999999999999e-94,327,102,462,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp902386205,False,True,False,CABMIH010000041.1
WP_051482183.1,CABMIH010000065.1_13,5.947e-38,153,5,202,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp902386205,False,False,True,CABMIH010000065.1
NP_391617.1,CABMII010000161.1_70,8.856e-81,288,112,462,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp902386255,False,True,False,CABMII010000161.1
NP_391619.1,CACWLH010000096.1_4,7.062e-24,113,17,213,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia sp902761625,False,False,True,CACWLH010000096.1
NP_391619.1,CACWVN010000044.1_7,4.5920000000000005e-87,296,1,232,Bacteria,Bacillota A,Clostridia,Christensenellales,CAG-74,UBA2862,UBA2862 sp902764285,False,False,True,CACWVN010000044.1
WP_051482183.1,CACWZK010000011.1_4,2.999e-32,137,4,191,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,UBA3766,UBA3766 sp902765365,False,False,True,CACWZK010000011.1
NP_391619.1,CACXBF010000020.1_36,8.621e-87,295,1,239,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,Pseudoruminococcus,Pseudoruminococcus sp902765855,False,False,True,CACXBF010000020.1
NP_391619.1,CACXBO010000181.1_10,1.303e-87,297,1,232,Bacteria,Bacillota A,Clostridia,Oscillospirales,Oscillospiraceae,RUG626,RUG626 sp902765975,False,False,True,CACXBO010000181.1
NP_391619.1,CACXGJ010000073.1_1,4.2449999999999996e-83,284,1,237,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902767125,False,False,True,CACXGJ010000073.1
NP_391619.1,CACXMR010000024.1_10,2.913e-92,311,1,238,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902768825,False,False,True,CACXMR010000024.1
NP_391619.1,CACYCV010000130.1_1,1.551e-92,312,1,238,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902772955,False,False,True,CACYCV010000130.1
WP_157895742.1,CACYDF010000025.1_5,1.951e-31,134,4,206,Bacteria,Bacillota,Bacilli,RFN20,CAG-288,Enterosoma,Enterosoma sp902773085,False,False,True,CACYDF010000025.1
NP_391619.1,CACYDP010000026.1_4,8.263e-93,312,11,250,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902773135,False,False,True,CACYDP010000026.1
NP_391619.1,CACYDW010000134.1_3,3.2819999999999997e-90,305,1,238,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902773325,False,False,True,CACYDW010000134.1
WP_088863145.1,CACYHU010000006.1_58,1.1919999999999999e-67,249,130,439,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,Flexilinea sp902774215,False,True,False,CACYHU010000006.1
NP_391619.1,CACYSH010000045.1_4,1.467e-85,291,6,241,Bacteria,Bacillota A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus D,Ruminococcus D sp902776945,False,False,True,CACYSH010000045.1
NP_391617.1,CACYWZ010000008.1_4,1.799e-17,98,12,179,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema D,Treponema D sp902778325,False,True,False,CACYWZ010000008.1
NP_391619.1,CACYXZ010000173.1_2,3.0380000000000002e-86,293,6,242,Bacteria,Bacillota A,Clostridia,Oscillospirales,Oscillospiraceae,HGM13006,HGM13006 sp902778525,False,False,True,CACYXZ010000173.1
NP_391619.1,CACZBB010000033.1_11,2.4379999999999998e-23,111,13,212,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,UBA1066,UBA1066 sp902779245,False,False,True,CACZBB010000033.1
NP_391619.1,CACZNV010000081.1_5,1.188e-27,124,4,209,Bacteria,Bacillota A,Clostridia,UBA1212,UBA1212,UBA1212,UBA1212 sp902782645,False,False,True,CACZNV010000081.1
NP_391617.1,CACZOU010000054.1_11,1.289e-27,130,124,460,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp900322125,False,True,False,CACZOU010000054.1
NP_391619.1,CACZPF010000542.1_2,4.5920000000000005e-87,296,1,232,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia A,Blautia A sp902782975,False,False,True,CACZPF010000542.1
NP_391619.1,CACZQX010000046.1_2,9.875e-29,127,1,211,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,RUG12871,RUG12871 sp902783445,False,False,True,CACZQX010000046.1
NP_391619.1,CACZSO010000221.1_9,4.5920000000000005e-87,296,1,232,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,UBA1267,UBA1267 sp902783795,False,False,True,CACZSO010000221.1
NP_391619.1,CACZZB010000014.1_5,2.808e-82,282,1,237,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902785555,False,False,True,CACZZB010000014.1
NP_391619.1,CACZZU010000044.1_4,1.092e-82,283,1,237,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902785765,False,False,True,CACZZU010000044.1
NP_391619.1,CADACB010000002.1_96,1.9279999999999998e-91,308,1,238,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902786345,False,False,True,CADACB010000002.1
WP_088863145.1,CADACE010000012.1_51,2.757e-71,260,130,437,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,Flexilinea sp902786265,False,True,False,CADACE010000012.1
NP_391619.1,CADARP010000018.1_8,4.5920000000000005e-87,296,1,232,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1425,UBA1425 sp902790325,False,False,True,CADARP010000018.1
WP_088863145.1,CADATZ010000036.1_34,1.667e-19,105,131,379,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,Flexilinea sp902791025,False,True,False,CADATZ010000036.1
NP_391619.1,CADBFJ010000064.1_3,1.427e-26,121,13,205,Bacteria,Bacillota A,Clostridia,Oscillospirales,CAG-272,UMGS1865,UMGS1865 sp902793915,False,False,True,CADBFJ010000064.1
WP_042691587.1,CADBKS010000110.1_11,3.3890000000000003e-96,333,115,458,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,Flexilinea sp902795255,False,True,False,CADBKS010000110.1
WP_051482183.1,CADBMH010000215.1_3,8.599e-33,138,2,204,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,Butyribacter,Butyribacter sp902795705,False,False,True,CADBMH010000215.1
NP_391619.1,CADBMV010000007.1_7,1.969e-88,300,1,238,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,UBA636,UBA636 sp902795865,False,False,True,CADBMV010000007.1
NP_391619.1,CADBNB010000205.1_3,3.6969999999999996e-88,299,1,236,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-411,CAG-411 sp902795895,False,False,True,CADBNB010000205.1
NP_391619.1,CADBND010000040.1_2,1.437e-88,300,1,238,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,UBA636,UBA636 sp902795875,False,False,True,CADBND010000040.1
NP_391619.1,CADBPB010000022.1_2,1.2540000000000001e-25,118,1,205,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,UBA636,UBA636 sp902796525,False,False,True,CADBPB010000022.1
NP_391619.1,CADBPE010000208.1_3,2.126e-92,311,1,238,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902796475,False,False,True,CADBPE010000208.1
NP_391619.1,CADBPF010000090.1_2,2.6560000000000004e-26,120,17,210,Bacteria,Bacillota A,Clostridia,Oscillospirales,SIG627,RUG14179,RUG14179 sp902796545,False,False,True,CADBPF010000090.1
NP_391619.1,CADBRK010000097.1_12,5.469e-92,310,1,238,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,RUG592,RUG592 sp902797065,False,False,True,CADBRK010000097.1
WP_051482183.1,CADBRM010000022.1_4,5.947e-38,153,48,250,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp902797085,False,False,True,CADBRM010000022.1
NP_391619.1,CADBUH010000078.1_7,8.709e-28,124,16,210,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia sp902797775,False,False,True,CADBUH010000078.1
NP_391617.1,CADBUL010000001.1_5,1.276e-21,111,121,381,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UMGS1279,UMGS1279 sp902797875,False,True,False,CADBUL010000001.1
NP_391619.1,CADCCP010000003.1_10,2.808e-82,282,1,237,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902800005,False,False,True,CADCCP010000003.1
NP_391619.1,CADCDE010000007.1_26,8.794e-84,286,1,237,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902800065,False,False,True,CADCDE010000007.1
NP_391619.1,CADCJK010000051.1_9,7.22e-82,281,1,237,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902801715,False,False,True,CADCJK010000051.1
NP_391619.1,CADCOE010000021.1_1,7.22e-82,281,1,237,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902802985,False,False,True,CADCOE010000021.1
NP_391619.1,CADCOT010000075.1_3,7.062e-24,113,17,213,Bacteria,Spirochaetota,Spirochaetia,Sphaerochaetales,Sphaerochaetaceae,RUG14846,RUG14846 sp902803145,False,False,True,CADCOT010000075.1
NP_391619.1,CADCOV010000275.1_1,2.108e-12,79,9,104,Bacteria,Bacillota A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium B,Eubacterium B sp902803185,False,False,True,CADCOV010000275.1
NP_391619.1,CADCPT010000228.1_1,1.651e-83,286,1,237,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902803385,False,False,True,CADCPT010000228.1
NP_391617.1,CADCPT010000261.1_1,7.453000000000001e-20,106,89,229,Bacteria,Bacillota A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1213,UBA1213 sp902803385,False,True,False,CADCPT010000261.1
WP_051482183.1,CADCPU010000331.1_6,2.8439999999999997e-37,151,5,204,Bacteria,Bacillota A,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Saccharofermentans,Saccharofermentans sp902803365,False,False,True,CADCPU010000331.1
NP_391619.1,CADCPY010000105.1_13,1.437e-88,300,1,238,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,RUG14871,RUG14871 sp902803495,False,False,True,CADCPY010000105.1
NP_391619.1,CADCQK010000182.1_17,3.352e-87,296,1,232,Bacteria,Bacillota A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-103,CAG-103 sp902803575,False,False,True,CADCQK010000182.1
NP_391619.1,CADCRE010000029.1_3,1.748e-90,306,1,238,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,UBA636,UBA636 sp902803785,False,False,True,CADCRE010000029.1
NP_391619.1,CADCTO010000209.1_1,2.187e-70,248,2,232,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,CADCTO01,CADCTO01 sp902805585,False,False,True,CADCTO010000209.1
WP_051482183.1,CADCTP010000331.1_14,6.384999999999999e-88,298,5,231,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,CADCTP01,CADCTP01,CADCTP01 sp902805565,False,False,True,CADCTP010000331.1
WP_051482183.1,CADCUT010000132.1_27,7.758e-90,303,8,233,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter D,Rubrobacter D sp902805975,False,False,True,CADCUT010000132.1
WP_051482183.1,CADCUT010000142.1_15,1.0149999999999999e-39,158,27,227,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter D,Rubrobacter D sp902805975,False,False,True,CADCUT010000142.1
WP_051482183.1,CADCVI010000143.1_29,1.226e-84,288,27,248,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,SCSIO-52915,SCSIO-52915 sp902806105,False,False,True,CADCVI010000143.1
WP_051482183.1,CADCWJ010000157.1_4,1.381e-82,282,38,259,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,UBA6265,CADCWJ01,CADCWJ01 sp902806365,False,False,True,CADCWJ010000157.1
WP_051482183.1,CADCWN010000365.1_4,2.798e-86,293,8,235,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,CADCWN01,CADCWN01,CADCWN01 sp902806415,False,False,True,CADCWN010000365.1
WP_157895742.1,CADCWP010000111.1_5,2.532e-69,244,1,215,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,Truepera sp902806425,False,False,True,CADCWP010000111.1
WP_051482183.1,CADDYR010000256.1_4,1.556e-80,276,23,244,Bacteria,Chloroflexota,Chloroflexia,Thermobaculales,Thermobaculaceae,CADDYR01,CADDYR01 sp902810765,False,False,True,CADDYR010000256.1
WP_157895742.1,CADDYT010000025.1_5,3.8310000000000003e-70,246,7,234,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,CADDYT01,CADDYT01 sp902810755,False,False,True,CADDYT010000025.1
NP_391619.1,CADDZA010000118.1_4,2.515e-59,216,8,180,Bacteria,Bacillota B,DSM-12270,Thermacetogeniales,Thermacetogeniaceae,DULK01,DULK01 sp902812435,False,False,True,CADDZA010000118.1
NP_391619.1,CADDZD010000083.1_3,2.126e-92,311,1,241,Bacteria,Bacillota B,DSM-12270,Thermacetogeniales,Thermacetogeniaceae,DULK01,DULK01 sp902812385,False,False,True,CADDZD010000083.1
WP_051482183.1,CADDZO010000040.1_13,1.749e-44,172,22,224,Bacteria,Dormibacterota,Dormibacteria,Dormibacterales,Dormibacteraceae,CADDZO01,CADDZO01 sp902812395,False,False,True,CADDZO010000040.1
NP_391619.1,CADDZR010000059.1_2,4.338000000000001e-25,116,32,209,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA183,CADDZR01,CADDZR01 sp902812495,False,False,True,CADDZR010000059.1
WP_042691587.1,CADEEV010000012.1_69,2.74e-54,210,18,325,Bacteria,Acidobacteriota,Vicinamibacteria,Fen-336,Fen-336,CADEEV01,CADEEV01 sp902826455,False,True,False,CADEEV010000012.1
WP_051482183.1,CAIJLK010000094.1_14,1.4280000000000002e-31,135,4,224,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Sediminibacterium sp903821465,False,False,True,CAIJLK010000094.1
NP_391617.1,CAIJPN010000141.1_21,5.653e-49,194,33,343,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,EnvOPS12,CAIJPN01,CAIJPN01 sp903822545,False,True,False,CAIJPN010000141.1
WP_051482183.1,CAIJZG010000336.1_2,5.599000000000001e-32,136,4,224,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Sediminibacterium sp903825065,False,False,True,CAIJZG010000336.1
WP_088863145.1,CAIKBD010000067.1_5,2.1850000000000003e-20,108,21,199,Bacteria,Chloroflexota,Anaerolineae,UBA4142,UBA4142,CAIKBD01,CAIKBD01 sp903825565,False,True,False,CAIKBD010000067.1
WP_051482183.1,CAIKEH010000042.1_143,3.089e-71,250,2,214,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,SXYR01,SXYR01 sp903826405,False,False,True,CAIKEH010000042.1
WP_088863145.1,CAIKMQ010000028.1_4,3.7600000000000005e-71,259,138,442,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,PNON01,PNON01 sp903828565,False,True,False,CAIKMQ010000028.1
NP_391617.1,CAIKND010000157.1_17,2.288e-53,207,18,380,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,Terracidiphilus sp903828675,False,True,False,CAIKND010000157.1
WP_051482183.1,CAIKZP010000093.1_20,1.404e-60,219,4,183,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Sediminibacterium sp903831935,False,False,True,CAIKZP010000093.1
WP_051482183.1,CAILAF010000565.1_2,6.943e-76,263,3,224,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,CAILAF01,CAILAF01 sp903832075,False,False,True,CAILAF010000565.1
