query	target	evalue	bits	tstart	tend
WP_157895742.1	WP_069113064.1@GCF_900106035.1	4.460E-40	159	5	206
WP_157895742.1	MCC6832578.1@GCA_020848615.1	4.460E-40	159	6	230
WP_157895742.1	OYT29243.1@GCA_002254885.1	4.460E-40	159	61	276
WP_157895742.1	WP_053205263.1@GCF_001270745.1	6.100E-40	158	5	217
WP_157895742.1	WP_131893490.1@GCF_004349065.1	6.100E-40	158	3	217
WP_157895742.1	MBO0871633.1@GCA_017354595.1	8.343E-40	158	5	217
WP_157895742.1	WP_035769147.1@GCF_000430705.1	8.343E-40	158	6	217
WP_157895742.1	DJWH01000011.1_12@GCA_002441525.1	1.141E-39	158	1	227
WP_157895742.1	MBX6354630.1@GCA_019689695.1	1.561E-39	157	5	210
WP_157895742.1	WP_020524668.1@GCF_000379685.1	1.561E-39	157	5	225
WP_157895742.1	JAEOTF010000020.1_4@GCA_016840025.1	1.561E-39	157	5	220
WP_157895742.1	WP_046768606.1@GCF_900105925.1	1.561E-39	157	3	217
WP_157895742.1	WP_218159626.1@GCF_900111005.1	2.135E-39	157	2	214
WP_157895742.1	JAEZHT010000057.1_31@GCA_023436805.1	2.135E-39	157	1	227
WP_157895742.1	WP_112225990.1@GCF_003269295.1	2.920E-39	156	2	238
WP_157895742.1	WP_198681011.1@GCF_003265345.1	2.920E-39	156	2	238
WP_157895742.1	WP_134321663.1@GCF_004382795.1	2.920E-39	156	1	213
WP_157895742.1	WP_026876422.1@GCF_000515395.1	2.920E-39	156	5	217
WP_157895742.1	MCO6496098.1@GCA_024103425.1	5.461E-39	156	1	238
WP_157895742.1	WP_184786371.1@GCF_014202425.1	5.461E-39	156	5	216
WP_157895742.1	WP_247755839.1@GCF_023094165.1	5.461E-39	156	18	218
WP_157895742.1	MCO4774196.1@GCA_023954745.1	1.021E-38	155	3	232
WP_157895742.1	UCG01985.1@GCA_020353515.1	1.021E-38	155	6	219
WP_157895742.1	MPZ95105.1@GCA_009379735.1	1.021E-38	155	5	225
WP_157895742.1	JAKAPV010000026.1_1@GCA_021806845.1	1.021E-38	155	30	231
WP_157895742.1	WAMJ01000238.1_27@GCA_015522385.1	1.397E-38	154	1	217
WP_157895742.1	WP_054290612.1@GCF_001302585.1	1.910E-38	154	4	206
WP_157895742.1	WP_014739996.1@GCF_000306785.1	1.910E-38	154	5	217
WP_157895742.1	PLJM01000008.1_6@GCA_003139695.1	2.612E-38	154	11	229
WP_157895742.1	JHVP01000003.1_343@GCA_000620205.1	2.612E-38	154	5	217
WP_157895742.1	WP_086783121.1@GCF_017876755.1	3.573E-38	153	5	205
WP_157895742.1	WP_163739400.1@GCF_010550675.1	3.573E-38	153	5	217
WP_157895742.1	MCP4870992.1@GCA_024229515.1	6.681E-38	153	6	235
WP_157895742.1	DJIF01000084.1_88@GCA_002433485.1	6.681E-38	153	9	234
WP_157895742.1	WP_110335927.1@GCF_003202235.1	9.136E-38	152	5	216
WP_157895742.1	WP_179719567.1@GCF_013408985.1	1.249E-37	152	5	217
WP_157895742.1	WP_091674675.1@GCF_900111885.1	1.249E-37	152	5	210
WP_157895742.1	MBA3310390.1@GCA_013811715.1	1.249E-37	152	4	216
WP_157895742.1	PLYD01000222.1_5@GCA_003151665.1	1.249E-37	152	11	229
WP_157895742.1	WP_185000072.1@GCF_014204915.1	1.249E-37	152	18	218
WP_157895742.1	WP_121191513.1@GCF_003634695.1	1.708E-37	151	4	206
WP_157895742.1	WP_129667982.1@GCF_004138495.1	1.708E-37	151	5	225
WP_157895742.1	MCL4473280.1@GCA_023382335.1	2.336E-37	151	5	206
WP_157895742.1	WP_192749358.1@GCF_014873875.1	2.336E-37	151	4	217
WP_157895742.1	MBN2603858.1@GCA_016936135.1	4.367E-37	150	1	216
WP_157895742.1	MBA2552844.1@GCA_013696785.1	4.367E-37	150	40	222
WP_157895742.1	WP_097299240.1@GCF_002487355.1	5.972E-37	150	3	217
WP_157895742.1	JAEOTQ010000020.1_29@GCA_016839785.1	5.972E-37	150	6	217
WP_157895742.1	DYEY01000069.1_15@GCA_020725465.1	5.972E-37	150	5	210
WP_157895742.1	QEY74428.1@GCA_008807415.1	5.972E-37	150	1	215
WP_157895742.1	MBA3990048.1@GCA_013821195.1	5.972E-37	150	4	216
WP_157895742.1	OLC31296.1@GCA_001917855.1	8.165E-37	149	7	208
WP_157895742.1	ADJ26847.1@GCA_000143165.1	8.165E-37	149	6	219
WP_157895742.1	WP_163818956.1@GCF_010550695.1	8.165E-37	149	5	225
WP_157895742.1	WP_222851440.1@GCF_010122465.1	8.165E-37	149	25	245
WP_157895742.1	DIUU01000009.1_11@GCA_002423145.1	1.116E-36	149	1	204
WP_157895742.1	WP_182804855.1@GCF_014168535.1	1.116E-36	149	1	215
WP_157895742.1	WP_129129960.1@GCF_004118265.1	1.116E-36	149	1	215
WP_157895742.1	WFRC01000317.1_12@GCA_015486685.1	1.116E-36	149	3	226
WP_157895742.1	PTD94342.1@GCA_003034855.1	1.526E-36	149	5	219
WP_157895742.1	JAFMLG010000020.1_17@GCA_017852335.1	2.087E-36	148	1	204
WP_157895742.1	NUS44072.1@GCA_013362555.1	2.853E-36	148	4	217
WP_157895742.1	NJD76389.1@GCA_012026835.1	3.901E-36	147	5	217
WP_157895742.1	WFSJ01000024.1_99@GCA_015486055.1	3.901E-36	147	1	226
WP_157895742.1	MBA3417469.1@GCA_013812145.1	3.901E-36	147	20	233
WP_157895742.1	WP_183244304.1@GCF_014201515.1	5.334E-36	147	1	223
WP_157895742.1	WP_035047469.1@GCF_002742685.1	5.334E-36	147	1	223
WP_157895742.1	MBR58507.1@GCA_002728755.1	5.334E-36	147	4	217
WP_157895742.1	JAHFDG010000051.1_28@GCA_023249105.1	7.292E-36	147	3	206
WP_157895742.1	JAEYWX010000013.1_69@GCA_023428755.1	7.292E-36	147	1	215
WP_157895742.1	JAEOSR010000104.1_3@GCA_016840285.1	9.969E-36	146	5	218
WP_157895742.1	WP_065083745.1@GCF_002091755.1	9.969E-36	146	1	215
WP_157895742.1	WP_137246590.1@GCF_005233835.1	9.969E-36	146	5	217
WP_157895742.1	WP_021094840.1@GCF_000833605.1	1.363E-35	146	1	223
WP_157895742.1	DDEN01000056.1_181@GCA_002336115.1	1.363E-35	146	1	215
WP_157895742.1	UCG03452.1@GCA_020353515.1	1.363E-35	146	5	218
WP_157895742.1	JAEOUE010000183.1_22@GCA_016839515.1	1.363E-35	146	5	218
WP_157895742.1	MBI3962663.1@GCA_016199255.1	1.363E-35	146	4	216
WP_157895742.1	MCL2755780.1@GCA_009784375.1	1.863E-35	145	7	220
WP_157895742.1	MCE8427712.1@GCA_021409285.1	1.863E-35	145	3	217
WP_157895742.1	DIWE01000036.1_48@GCA_002423435.1	1.863E-35	145	1	242
WP_157895742.1	DDFJ01000001.1_304@GCA_002337125.1	1.863E-35	145	1	215
WP_157895742.1	CAJUAN010000021.1_8@GCA_910584715.1	2.547E-35	145	4	234
WP_157895742.1	WP_035065623.1@GCF_001187595.1	2.547E-35	145	1	223
WP_157895742.1	JAEYMU010000040.1_44@GCA_023407175.1	2.547E-35	145	4	218
WP_157895742.1	VVB88320.1@GCA_902386135.1	3.482E-35	145	3	205
WP_157895742.1	JAEOTQ010000203.1_10@GCA_016839785.1	3.482E-35	145	5	217
WP_157895742.1	KXK27565.1@GCA_001567355.1	3.482E-35	145	5	217
WP_157895742.1	WP_144888000.1@GCF_007830055.1	4.759E-35	144	1	215
WP_157895742.1	CAITQQ010000192.1_7@GCA_903894575.1	4.759E-35	144	1	219
WP_157895742.1	DDYT01000062.1_45@GCA_002348095.1	4.759E-35	144	1	222
WP_157895742.1	PWB52750.1@GCA_003104905.1	6.506E-35	144	6	218
WP_157895742.1	AKG53376.1@GCA_001005265.1	6.506E-35	144	5	218
WP_157895742.1	WP_151681104.1@GCF_008974185.1	8.894E-35	143	1	217
WP_157895742.1	MCI1956230.1@GCA_022650455.1	8.894E-35	143	1	216
WP_157895742.1	MBY0477918.1@GCA_019752045.1	8.894E-35	143	1	215
WP_157895742.1	JAEOTI010000088.1_3@GCA_016839955.1	8.894E-35	143	7	220
WP_157895742.1	JAEOTF010000020.1_15@GCA_016840025.1	8.894E-35	143	42	256
WP_157895742.1	AST07426.1@GCA_002243705.1	1.216E-34	143	1	223
WP_157895742.1	MBU1145718.1@GCA_018818595.1	1.216E-34	143	1	215
WP_157895742.1	JALHRP010000028.1_11@GCA_022841365.1	1.216E-34	143	1	215
WP_157895742.1	PUNE01000107.1_16@GCA_003551665.1	1.216E-34	143	5	206
WP_157895742.1	WP_089393943.1@GCF_900187975.1	1.216E-34	143	1	204
WP_157895742.1	CAIYEO010000065.1_2@GCA_903925195.1	1.216E-34	143	8	233
WP_157895742.1	DLGX01000068.1_2@GCA_002482925.1	1.216E-34	143	10	211
WP_157895742.1	JAAFJQ010000141.1_8@GCA_013298185.1	1.216E-34	143	4	205
WP_157895742.1	WP_066020900.1@GCF_001705235.1	1.662E-34	143	1	230
WP_157895742.1	WP_073274490.1@GCF_900142215.1	1.662E-34	143	1	217
WP_157895742.1	WP_033166864.1@GCF_000702945.1	1.662E-34	143	1	220
WP_157895742.1	MBE6677296.1@GCA_015064945.1	1.662E-34	143	4	218
WP_157895742.1	WP_102331700.1@GCF_014672715.2	1.662E-34	143	6	218
WP_157895742.1	MCO6451920.1@GCA_024102915.1	1.662E-34	143	5	217
WP_157895742.1	WP_026961613.1@GCF_000430585.1	2.271E-34	142	4	237
WP_157895742.1	WP_066325437.1@GCF_001634285.1	2.271E-34	142	1	223
WP_157895742.1	MBU0707501.1@GCA_018814765.1	3.105E-34	142	1	217
WP_157895742.1	WP_205006461.1@GCF_016908935.1	3.105E-34	142	1	220
WP_157895742.1	JAEOSY010000081.1_3@GCA_016840125.1	3.105E-34	142	7	220
WP_157895742.1	WP_197660879.1@GCF_015999265.1	3.105E-34	142	4	217
WP_157895742.1	JAEOSP010000289.1_2@GCA_016840305.1	3.105E-34	142	6	219
WP_157895742.1	WP_205341257.1@GCF_905120345.1	3.105E-34	142	1	215
WP_157895742.1	JAABSI010000043.1_19@GCA_011390455.1	3.105E-34	142	1	204
WP_157895742.1	MCL5407098.1@GCA_023485405.1	3.105E-34	142	1	227
WP_157895742.1	DYEA01000016.1_132@GCA_020725885.1	3.105E-34	142	4	231
WP_157895742.1	MBS3801384.1@GCA_018334795.1	3.105E-34	142	65	280
WP_157895742.1	CAILKQ010000061.1_16@GCA_903834825.1	4.243E-34	141	1	223
WP_157895742.1	JAEOTI010000044.1_2@GCA_016839955.1	4.243E-34	141	6	217
WP_157895742.1	NLT56294.1@GCA_012719445.1	4.243E-34	141	4	205
WP_157895742.1	WP_062440971.1@GCF_001570585.1	4.243E-34	141	5	217
WP_157895742.1	WP_152178587.1@GCF_009184895.1	4.243E-34	141	4	217
WP_157895742.1	WP_049992853.1@GCF_004799665.1	4.243E-34	141	1	217
WP_157895742.1	MBW6469301.1@GCA_019429145.1	5.800E-34	141	5	225
WP_157895742.1	MBW6454274.1@GCA_019429025.1	5.800E-34	141	1	204
WP_157895742.1	JAABRX010000027.1_6@GCA_011390675.1	5.800E-34	141	1	204
WP_157895742.1	HHU59677.1@GCA_012839015.1	7.927E-34	141	1	197
WP_157895742.1	WP_184393524.1@GCF_014200805.1	7.927E-34	141	3	230
WP_157895742.1	KYK32015.1@GCA_001595915.1	7.927E-34	141	1	216
WP_157895742.1	MBQ8378360.1@GCA_017451665.1	7.927E-34	141	4	228
WP_157895742.1	WP_234124412.1@GCF_021432385.1	7.927E-34	141	1	204
WP_157895742.1	JAEXNT010000074.1_80@GCA_023439545.1	7.927E-34	141	1	204
WP_157895742.1	MBX9784774.1@GCA_019747705.1	7.927E-34	141	1	215
WP_157895742.1	JAEZCV010000192.1_12@GCA_023429985.1	7.927E-34	141	4	222
WP_157895742.1	JAEOTC010000221.1_2@GCA_016840035.1	7.927E-34	141	5	217
WP_157895742.1	MBM4392551.1@GCA_016875435.1	7.927E-34	141	9	221
WP_157895742.1	MCL2846460.1@GCA_009784555.1	1.083E-33	140	6	218
WP_157895742.1	WP_183252252.1@GCF_014201465.1	1.481E-33	140	1	226
WP_157895742.1	WP_183182907.1@GCF_014196205.1	1.481E-33	140	1	226
WP_157895742.1	WP_010630386.1@GCF_000377985.1	1.481E-33	140	1	204
WP_157895742.1	WP_138197726.1@GCF_005765165.1	1.481E-33	140	1	217
WP_157895742.1	WP_236202037.1@GCF_021603645.1	1.481E-33	140	1	231
WP_157895742.1	MCK4877070.1@GCA_023135215.1	1.481E-33	140	21	238
WP_157895742.1	WP_007140080.1@GCF_000226975.2	1.481E-33	140	30	242
WP_157895742.1	HCB66619.1@GCA_003518475.1	2.024E-33	139	1	221
WP_157895742.1	WP_043965360.1@GCF_000836725.1	2.024E-33	139	1	223
WP_157895742.1	WP_183248871.1@GCF_014201585.1	2.024E-33	139	1	223
WP_157895742.1	WP_165803578.1@GCF_003096635.1	2.024E-33	139	1	224
WP_157895742.1	WP_013485198.1@GCF_000178115.2	2.024E-33	139	1	217
WP_157895742.1	WP_008161996.1@GCF_000337735.1	2.024E-33	139	1	215
WP_157895742.1	CAIUOC010000008.1_20@GCA_903900685.1	2.024E-33	139	6	222
WP_157895742.1	WP_185256010.1@GCF_014218355.1	2.766E-33	139	1	204
WP_157895742.1	MBK5210977.1@GCA_016649875.1	2.766E-33	139	1	217
WP_157895742.1	JALQUD010000078.1_4@GCA_023268595.1	2.766E-33	139	7	218
WP_157895742.1	JAJZRZ010000102.1_4@GCA_021850085.1	2.766E-33	139	3	214
WP_157895742.1	SKTZ01000015.1_13@GCA_007122335.1	2.766E-33	139	22	226
WP_157895742.1	DJJW01000084.1_9@GCA_002434335.1	3.780E-33	139	1	220
WP_157895742.1	CAJBBV010000003.1_4@GCA_903951405.1	3.780E-33	139	1	223
WP_157895742.1	MBE0417785.1@GCA_014859265.1	3.780E-33	139	5	215
WP_157895742.1	MBN92924.1@GCA_002724675.1	5.165E-33	138	7	233
WP_157895742.1	WP_188880728.1@GCF_014647315.1	5.165E-33	138	4	233
WP_157895742.1	MBN2823030.1@GCA_016938135.1	5.165E-33	138	2	200
WP_157895742.1	WP_155604976.1@GCF_009725205.1	5.165E-33	138	1	217
WP_157895742.1	WP_053240740.1@GCF_021043395.1	5.165E-33	138	1	204
WP_157895742.1	WP_062349309.1@GCF_001570565.1	5.165E-33	138	5	206
WP_157895742.1	MCR3957076.1@GCA_024649995.1	5.165E-33	138	1	221
WP_157895742.1	LKNC01000027.1_4@GCA_001564255.1	5.165E-33	138	1	217
WP_157895742.1	NPD88319.1@GCA_013166775.1	5.165E-33	138	21	238
WP_157895742.1	CAJTSV010000061.1_2@GCA_910579075.1	5.165E-33	138	14	232
WP_157895742.1	JABCTZ010000025.1_68@GCA_018238155.1	5.165E-33	138	28	241
WP_157895742.1	JAJXWJ010000033.1_23@GCA_021781655.1	7.059E-33	138	1	217
WP_157895742.1	WFSJ01000013.1_38@GCA_015486055.1	9.646E-33	138	2	207
WP_157895742.1	UCB57952.1@GCA_020341795.1	9.646E-33	138	1	216
WP_157895742.1	WP_079422408.1@GCF_002029235.1	9.646E-33	138	1	217
WP_157895742.1	WP_004621744.1@GCF_000175795.2	9.646E-33	138	1	224
WP_157895742.1	WP_202767362.1@GCF_016765615.1	9.646E-33	138	1	217
WP_157895742.1	JAEZSL010000004.1_16@GCA_023443925.1	9.646E-33	138	1	204
WP_157895742.1	JAEZGM010000021.1_60@GCA_023416955.1	9.646E-33	138	1	242
WP_157895742.1	PKM90148.1@GCA_002841605.1	9.646E-33	138	25	228
WP_157895742.1	WP_200271471.1@GCF_016595795.1	1.318E-32	137	1	204
WP_157895742.1	JAEWGW010000004.1_119@GCA_023388055.1	1.318E-32	137	1	204
WP_157895742.1	GAV30819.1@GCA_001950395.1	1.318E-32	137	41	268
WP_157895742.1	WP_024831484.1@GCF_000526495.1	1.801E-32	137	1	242
WP_157895742.1	JAEZUC010000158.1_7@GCA_023443515.1	1.801E-32	137	1	204
WP_157895742.1	CAISDV010000169.1_19@GCA_903884185.1	1.801E-32	137	3	216
WP_157895742.1	DDFK01000001.1_349@GCA_002337145.1	1.801E-32	137	5	229
WP_157895742.1	JAGXFW010000026.1_123@GCA_024637035.1	1.801E-32	137	5	226
WP_157895742.1	JAGXHO010000264.1_2@GCA_024636105.1	1.801E-32	137	1	204
WP_157895742.1	WP_148858400.1@GCF_008122205.1	1.801E-32	137	19	232
WP_157895742.1	WP_106581564.1@GCF_003014485.1	2.461E-32	136	3	230
WP_157895742.1	WP_200897644.1@GCF_000971965.1	2.461E-32	136	5	237
WP_157895742.1	CALWZD010000132.1_9@GCA_944385945.1	2.461E-32	136	1	204
WP_157895742.1	WP_183277990.1@GCF_014193895.1	2.461E-32	136	1	204
WP_157895742.1	NJD53301.1@GCA_012026795.1	2.461E-32	136	3	217
WP_157895742.1	MBS5933971.1@GCA_018372435.1	2.461E-32	136	1	204
WP_157895742.1	WP_206868277.1@GCF_017312485.1	2.461E-32	136	1	204
WP_157895742.1	DIGJ01000002.1_63@GCA_002419585.1	2.461E-32	136	1	204
WP_157895742.1	JAEWIS010000028.1_17@GCA_023386955.1	2.461E-32	136	1	204
WP_157895742.1	JAJZPO010000019.1_25@GCA_021811155.1	2.461E-32	136	1	223
WP_157895742.1	JAEWDK010000006.1_366@GCA_023390175.1	2.461E-32	136	1	217
WP_157895742.1	CAJWLF010000001.1_122@GCA_913043205.1	2.461E-32	136	5	218
WP_157895742.1	JAJRYJ010000049.1_2@GCA_024275795.1	2.461E-32	136	7	223
WP_157895742.1	CALWVF010000032.1_93@GCA_944384925.1	2.461E-32	136	11	226
WP_157895742.1	MBQ8639064.1@GCA_017472605.1	2.461E-32	136	1	218
WP_157895742.1	DLMY01000020.1_58@GCA_002478275.1	2.461E-32	136	5	243
WP_157895742.1	MBN2065941.1@GCA_016932245.1	2.461E-32	136	52	266
WP_157895742.1	WP_184078923.1@GCF_014201195.1	3.363E-32	136	5	230
WP_157895742.1	CAJKFC010000016.1_26@GCA_905199135.1	3.363E-32	136	1	230
WP_157895742.1	MBQ9764848.1@GCA_017456585.1	3.363E-32	136	1	218
WP_157895742.1	MCR3907014.1@GCA_024650045.1	3.363E-32	136	1	221
WP_157895742.1	JAEWCZ010000066.1_573@GCA_023390335.1	3.363E-32	136	1	204
WP_157895742.1	MCL1945289.1@GCA_009787385.1	3.363E-32	136	4	217
WP_157895742.1	CAIMFK010000012.1_198@GCA_903840315.1	3.363E-32	136	5	222
WP_157895742.1	JAAFIG010000019.1_5@GCA_013298595.1	3.363E-32	136	4	206
WP_157895742.1	JAEOTQ010000119.1_24@GCA_016839785.1	3.363E-32	136	8	243
WP_157895742.1	NLC17578.1@GCA_012512255.1	4.595E-32	136	4	228
WP_157895742.1	ERI93756.1@GCA_000466585.1	4.595E-32	136	1	204
WP_157895742.1	WP_076609118.1@GCF_900156475.1	4.595E-32	136	1	215
WP_157895742.1	MCB0349946.1@GCA_020434645.1	4.595E-32	136	2	221
WP_157895742.1	JAABTL010000030.1_10@GCA_011389865.1	4.595E-32	136	1	204
WP_157895742.1	PXBQ01000186.1_5@GCA_003566875.1	4.595E-32	136	5	207
WP_157895742.1	WP_156172284.1@GCF_000971985.1	6.279E-32	135	5	237
WP_157895742.1	MCS6795788.1@GCA_025054975.1	6.279E-32	135	1	215
WP_157895742.1	MBX2930788.1@GCA_019638475.1	6.279E-32	135	4	217
WP_157895742.1	JAKAKY010000088.1_10@GCA_021824365.1	6.279E-32	135	3	233
WP_157895742.1	MBU2601529.1@GCA_018830645.1	6.279E-32	135	5	226
WP_157895742.1	UCH61026.1@GCA_020354045.1	6.279E-32	135	4	206
WP_157895742.1	EEG30274.1@GCA_000158655.1	6.279E-32	135	16	226
WP_157895742.1	JAHEIN010000001.1_49@GCA_024639335.1	6.279E-32	135	19	230
WP_157895742.1	WP_036689287.1@GCF_000722545.1	8.579E-32	135	3	234
WP_157895742.1	RJQ41833.1@GCA_003599855.1	8.579E-32	135	5	211
WP_157895742.1	MBN8664259.1@GCA_017303835.1	8.579E-32	135	1	215
WP_157895742.1	JAEWCQ010000007.1_50@GCA_023390555.1	8.579E-32	135	6	221
WP_157895742.1	WP_092701722.1@GCF_900100385.1	8.579E-32	135	1	215
WP_157895742.1	CAITDW010000060.1_10@GCA_903891235.1	8.579E-32	135	8	219
WP_157895742.1	WP_021621049.1@GCF_000466385.1	1.172E-31	134	4	231
WP_157895742.1	WP_174703724.1@GCF_001421015.2	1.172E-31	134	5	237
WP_157895742.1	WP_202747049.1@GCF_016765585.1	1.172E-31	134	1	204
WP_157895742.1	MBS6865609.1@GCA_018380115.1	1.172E-31	134	30	225
WP_157895742.1	UQFH01000006.1_79@GCA_900540185.1	1.172E-31	134	8	231
WP_157895742.1	JAKJAC010000085.1_13@GCA_022707705.1	1.172E-31	134	5	206
WP_157895742.1	JAEOSR010000112.1_13@GCA_016840285.1	1.172E-31	134	6	238
WP_157895742.1	JAEOTF010000020.1_11@GCA_016840025.1	1.172E-31	134	10	243
WP_157895742.1	PWI48801.1@GCA_003144275.1	1.172E-31	134	8	241
WP_157895742.1	KYK24741.1@GCA_001595945.1	1.172E-31	134	51	266
WP_157895742.1	WP_204433457.1@GCF_016907055.1	1.601E-31	134	1	204
WP_157895742.1	WP_242948320.1@GCF_900111985.1	1.601E-31	134	4	218
WP_157895742.1	JAEWMH010000207.1_15@GCA_023393235.1	1.601E-31	134	1	204
WP_157895742.1	MBU0997751.1@GCA_018816905.1	1.601E-31	134	1	225
WP_157895742.1	TEX48351.1@GCA_004379135.1	1.601E-31	134	6	234
WP_157895742.1	WP_173034394.1@GCF_011764545.1	1.601E-31	134	4	224
WP_157895742.1	MCO5172615.1@GCA_023954415.1	1.601E-31	134	1	215
WP_157895742.1	SKTJ01000038.1_2@GCA_007122565.1	1.601E-31	134	6	206
WP_157895742.1	WP_091761822.1@GCF_900111375.1	1.601E-31	134	13	213
WP_157895742.1	MBN1192498.1@GCA_016926975.1	1.601E-31	134	2	205
WP_157895742.1	WP_086889029.1@GCF_002156705.1	1.601E-31	134	1	215
WP_157895742.1	WP_017591106.1@GCF_000341105.1	2.188E-31	134	5	230
WP_157895742.1	WP_010233039.1@GCF_000246895.1	2.188E-31	134	1	204
WP_157895742.1	JAEWQV010000005.1_51@GCA_023399055.1	2.188E-31	134	1	204
WP_157895742.1	JAEWAA010000579.1_2@GCA_023391955.1	2.188E-31	134	1	204
WP_157895742.1	JAHEZD010000069.1_23@GCA_023251255.1	2.188E-31	134	5	229
WP_157895742.1	WP_008515979.1@GCF_000174415.1	2.188E-31	134	5	206
WP_157895742.1	MCJ7471581.1@GCA_022865545.1	2.188E-31	134	6	207
WP_157895742.1	WP_062200943.1@GCF_001375675.1	2.989E-31	133	3	205
WP_157895742.1	HHW90879.1@GCA_012840805.1	2.989E-31	133	4	228
WP_157895742.1	MBE6837390.1@GCA_015066705.1	2.989E-31	133	4	216
WP_157895742.1	DCJK01000021.1_77@GCA_002320005.1	2.989E-31	133	1	227
WP_157895742.1	WP_039127379.1@GCF_000814325.1	2.989E-31	133	1	204
WP_157895742.1	MBK9646655.1@GCA_016717595.1	2.989E-31	133	7	212
WP_157895742.1	MBN2247383.1@GCA_016933785.1	2.989E-31	133	1	224
WP_157895742.1	MBN2847499.1@GCA_016938395.1	2.989E-31	133	1	224
WP_157895742.1	MCK6515646.1@GCA_023150775.1	2.989E-31	133	7	212
WP_157895742.1	MCL0059289.1@GCA_023271515.1	2.989E-31	133	11	213
WP_157895742.1	JAEOTM010000188.1_5@GCA_016839815.1	2.989E-31	133	29	241
WP_157895742.1	WP_073157514.1@GCF_900129355.1	4.084E-31	133	1	204
WP_157895742.1	GKU24158.1@GCA_024341905.1	4.084E-31	133	1	204
WP_157895742.1	WP_179751865.1@GCF_013407955.1	4.084E-31	133	4	226
WP_157895742.1	WP_251761409.1@GCF_023721715.1	4.084E-31	133	1	215
WP_157895742.1	MBX9893236.1@GCA_019745155.1	4.084E-31	133	1	215
WP_157895742.1	WP_068246995.1@GCF_001623405.1	4.084E-31	133	3	233
WP_157895742.1	MTI94633.1@GCA_009711825.1	4.084E-31	133	5	205
WP_157895742.1	JANJUA010000033.1_8@GCA_024710825.1	4.084E-31	133	4	206
WP_157895742.1	WP_239601323.1@GCF_022352215.1	4.084E-31	133	6	220
WP_157895742.1	WP_167957559.1@GCF_012070565.1	4.084E-31	133	4	224
WP_157895742.1	WP_090588333.1@GCF_900099735.1	4.084E-31	133	4	227
WP_157895742.1	WP_203656523.1@GCF_016861975.1	4.084E-31	133	6	237
